,Name,Rating,Followers,Online,Peak,id
0,FaceRig,80.11%,"113,112",907,"3,554",274920
1,Source Filmmaker,91.33%,"106,628","1,221","3,975",1840
2,Blender,94.92%,"76,255","3,123","5,133",365670
3,Action! - Gameplay Recording and Streaming,82.53%,"15,836",364,737,228180
4,ShareX,91.82%,"14,994",760,"1,173",400040
5,Fuse,62.03%,"14,110",18,504,257400
6,VTube Studio,84.29%,"12,414","1,077","1,867",1325860
7,AppGameKit Classic: Easy Game Development,79.33%,"11,925",2,"1,007",325180
8,Animaze by FaceRig,53.01%,"9,302",254,664,1364390
9,VEGAS Pro 14 Edit Steam Edition,79.61%,"7,220",122,278,528200
10,Stream Avatars,90.35%,"7,184","1,412","1,825",665300
11,"Movavi Video Suite 17 - Video Making Software - Video Editor, Video Converter, Screen Capture, and more",78.14%,"6,731",119,757,795630
12,VEGAS Movie Studio 13 Platinum - Steam Powered,71.95%,"6,700",60,295,330070
13,PrprLive,84.86%,"5,781",384,"1,623",1279610
14,Wakaru ver. beta,82.48%,"5,264",13,71,870820
15,VUP- VTuber & Animation & motion capture & 3D & Live2D,79.17%,"4,803",107,207,1207050
16,001 Game Creator,70.59%,"4,765",9,42,347400
17,Oats Studios - Volume 1 Assets,84.51%,"4,122",0,8,652150
18,Movavi Video Editor Plus 2020 - Video Editing Software,79.66%,"3,968",64,180,1182920
19,FPS Monitor – hardware in-game & desktop overlays,82.35%,"3,929",103,321,966610
20,Marmoset Hexels 3,83.88%,"3,781",11,100,428340
21,Houdini Indie,84.13%,"3,566",52,111,502570
22,Camtasia - Subscription,68.45%,"3,399",0,59,253050
23,GeoVox,50.00%,"3,391",0,8,368470
24,"MovieMator Video Editor Pro - Movie Maker, Video Editing Software",58.41%,"3,103",17,42,919280
25,LIV,83.94%,"2,791",59,111,755540
26,RutonyChat,74.72%,"2,755",342,784,524660
27,"Movavi Video Suite 18 - Video Making Software - Edit, Convert, Capture Screen, and more",75.36%,"2,570",52,261,973600
28,Virtual DJ - Broadcaster Edition,49.53%,"2,547",1,35,224380
29,Mixcraft 8 Home Studio,84.16%,"2,404",38,105,218760
30,3DF Zephyr Lite Steam Edition,82.56%,"2,162",3,18,438450
31,Tvori,68.39%,"2,099",0,11,517170
32,D3DGear - Game Recording and Streaming Software,73.37%,"2,070",5,60,372390
33,FaceFun,45.31%,"1,999",0,3,939920
34,Live3D - Comic & Animation & VTuber Maker - Virtual Production,39.06%,"1,907",2,26,908450
35,Facerig Studio for Individual Creators,43.95%,"1,855",0,10,571690
36,Cmoar VR Cinema,58.77%,"1,826",0,19,527160
37,Multiplicity,45.98%,"1,773",0,12,620040
38,PlayClaw 5 - Game Recording and Streaming,67.53%,"1,726",4,101,237370
39,VEGAS Pro 15 Edit Steam Edition,61.45%,"1,707",19,69,689790
40,Simple VR Video Player,69.71%,"1,695",10,53,500500
41,"Movavi Video Suite 2020 Steam Edition - - Video Making Software - Edit, Convert, Capture Screen, and more",73.72%,"1,665",81,213,1182930
42,VEGAS Movie Studio 14 Platinum Steam Edition,62.83%,"1,664",22,102,523120
43,VTuber Maker,80.11%,"1,617",66,159,1368950
44,CyberLink PowerDirector 15 Ultimate,68.83%,"1,614",1,18,501620
45,CyberLink PowerDirector 15 Ultra,66.14%,"1,603",1,22,501630
46,Movavi Video Editor 14 Plus,80.23%,"1,599",8,64,870420
47,DP Animation Maker,68.05%,"1,577",2,8,341960
