,Name,Rating,Followers,Online,Peak,id
0,Slay the Spire,96.40%,"178,205","7,038","33,086",646570
1,Artifact,46.90%,"152,783",18,"60,646",583950
2,Griftlands,92.45%,"53,119",301,"7,693",601840
3,Shadowverse CCG,73.85%,"43,993","1,254","24,167",453480
4,"Gremlins, Inc.",83.56%,"41,507",103,"1,716",369990
5,Tainted Grail: Conquest,86.68%,"31,549",251,"3,294",1199030
6,One Step From Eden,90.76%,"30,293",78,"2,360",960690
7,Monster Train,94.05%,"27,112",757,"14,073",1102190
8,Gordian Quest,89.22%,"26,402",109,"1,619",981430
9,Deep Sky Derelicts,73.76%,"26,006",27,664,698640
10,Dicey Dungeons,87.50%,"23,893",459,"2,994",861540
11,Yu-Gi-Oh! Legacy of the Duelist,81.57%,"22,896",127,"1,627",480650
12,Ratropolis,85.44%,"21,009",72,"1,470",1108370
13,NEOVERSE,82.29%,"19,957",32,917,994220
14,KARDS - The WWII Card Game,82.47%,"19,662",492,"2,918",544810
15,Infinity Wars: Animated Trading Card Game,75.23%,"19,517",2,"1,635",257730
16,The Lord of the Rings: Adventure Card Game - Definitive Edition,71.85%,"18,818",5,619,509580
17,Thea 2: The Shattering,78.17%,"18,507",109,"1,349",606230
18,Duelyst,79.84%,"17,647",0,"2,372",291410
19,Warhammer Underworlds: Online,61.88%,"16,994",12,793,1022310
20,Trials of Fire,84.48%,"16,327",35,"1,765",1038370
21,Last Day of Rome,52.61%,"15,396",0,314,1015090
22,Children of Zodiarcs,67.98%,"15,160",4,429,436290
23,Black Book,86.27%,"14,811",808,"1,338",1138660
24,Eternal Card Game,76.85%,"14,645",286,"2,894",531640
25,月圆之夜 (Night of Full Moon),84.31%,"14,306",81,"1,768",769560
26,Overdungeon,77.58%,"13,688",15,"2,205",919370
27,Last Evil,90.01%,"13,528",60,734,823910
28,Banners of Ruin,78.11%,"13,524",505,"1,136",1075740
29,Chrono Ark,85.59%,"12,864",116,"1,162",1188930
30,觅长生,82.94%,"12,846",175,"1,093",1189490
31,SUPER DRAGON BALL HEROES WORLD MISSION,81.52%,"10,903",11,"1,970",798510
32,Deck of Ashes,73.80%,"10,316",6,268,1016730
33,SteamWorld Quest: Hand of Gilgamech,84.15%,"8,852",21,"1,061",804010
