,Name,Rating,Followers,Online,Peak,id
0,Assetto Corsa,89.38%,"136,976","5,100","11,691",244210
1,AI＊Shoujo/AI＊少女,74.01%,"72,519",54,599,1250650
2,From the Depths,87.43%,"66,625",476,"1,700",268650
3,"Warhammer 40,000: Gladius - Relics of War",78.11%,"47,113",387,"3,451",489630
5,Starmancer,59.20%,"35,543",297,916,1062000
6,The Turing Test,84.77%,"32,477",21,536,499520
7,Per Aspera,69.07%,"30,952",61,"4,342",803050
8,Screeps: World,85.52%,"30,828",64,359,464350
9,STEINS;GATE 0,92.32%,"30,661",28,787,825630
11,SUPERHOT VR,73.96%,"23,063",106,839,617830
12,Event[0],76.88%,"22,584",1,396,470260
13,Observation,77.51%,"19,277",11,"1,034",906100
14,Panzer Corps 2,78.09%,"19,051",579,"3,480",1072040
15,Ghost Hunters Corp,70.83%,"17,936",726,"3,791",1618540
16,Radio Commander,73.95%,"16,188",9,660,871530
17,Ruinarch,78.95%,"15,484",8,"1,075",909320
18,5D Chess With Multiverse Time Travel,93.03%,"14,714",75,649,1349230
19,Field of Glory: Empires,78.25%,"13,270",28,471,1011390
20,VTOL VR,92.91%,"11,920",89,217,667970
21,Main Assembly,83.77%,"10,671",36,295,1078920
22,GLADIABOTS - AI Combat Arena,85.96%,"10,586",4,284,871930
23,In Other Waters,84.99%,"10,249",4,166,890720
25,ICBM,86.85%,"9,585",36,700,1178220
26,Ecosystem,77.03%,"9,363",9,158,1133120
27,Crest - an indirect god sim,65.63%,"8,172",2,60,341710
28,Re-Legion,56.96%,"7,906",0,253,782140
31,Close Combat: The Bloody First,50.12%,"6,107",6,311,811880
32,Counter Terrorist Agency,51.41%,"6,028",0,226,936490
33,Kill It With Fire,89.84%,"6,015",344,472,1179210
34,Natural Instincts,75.85%,"5,951",6,97,1168610
36,Combat Mission Shock Force 2,80.70%,"5,743",31,242,1369370
37,Star Sonata 2,67.68%,"5,499",15,170,304690
40,BLACK DAY,59.70%,"5,019",0,30,696650
42,Chessaria: The Tactical Adventure (Chess),69.79%,"4,447",0,19,575340
44,Heavenworld,62.90%,"4,341",2,69,1280370
45,VR HOT,62.44%,"4,145",14,35,1571340
46,AO Tennis 2,66.76%,"3,840",38,435,1072500
47,SIMULACRA 2,82.18%,"3,583",9,318,1011190
48,There is No GreenDam,91.35%,"3,472",0,41,1109460
49,Galactic Civilizations® II: Ultimate Edition,72.46%,"3,451",35,"3,946",202200
50,Wobbledogs,92.07%,"3,254",74,304,1424330
51,Vilmonic,70.13%,"3,254",0,11,458330
52,Deisim,85.05%,"3,186",1,20,525680
53,OFF GRID : Stealth Hacking,-,"3,159",0,3,526720
54,Saiko no sutoka,89.70%,"3,106",21,82,1546860
55,假如我是人工智能 Big Brother Is Shaping You,81.24%,"2,881",0,91,933940
56,Power & Revolution 2020 Edition,63.74%,"2,853",104,296,1379930
57,Last Labyrinth（ラストラビリンス）,71.79%,"2,751",0,58,979400
58,Haunt Chaser,80.33%,"2,656",45,155,1450180
59,Warbox,82.01%,"2,611",42,112,1550710
61,Death Squared,85.11%,"2,415",3,66,471810
62,Rumu,84.70%,"2,368",0,49,723270
63,Dealer's Life,87.49%,"2,271",16,200,982270
64,GolfTopia,88.00%,"2,255",6,77,1144020
66,The Conquest of Go,82.08%,"2,214",1,91,1264970
68,Elea - Episode 1,62.42%,"2,155",0,15,812020
69,Kill It With Fire: HEATWAVE,87.10%,"2,062",29,279,1366290
70,Girl Mod | GIRLS VR (create + pose in VR),48.75%,"2,028",0,4,879610
71,Essays on Empathy,73.08%,"2,020",1,36,1586880
72,Tennis Manager 2021,75.33%,"2,003",23,338,1433010
73,Kill It With Fire: Ignition,87.45%,"2,003",10,964,1291500
75,Destination Ares,52.78%,"1,967",0,6,553470
76,Five Nations,75.95%,"1,964",0,39,1565670
78,Astra Exodus,50.76%,"1,930",0,49,880750
79,云端之约,87.00%,"1,880",0,65,1422540
80,Pro Cycling Manager 2021,63.48%,"1,871",710,"2,328",1453850
81,Lunar Soil,-,"1,861",0,1,823210
82,Space SEX,50.00%,"1,828",1,13,571100
83,The Fall of Lazarus,58.25%,"1,826",0,11,622010
84,Unspottable,85.05%,"1,743",8,105,1243960
85,Deep Sixed,76.19%,"1,741",0,43,591000
87,Sky Link,75.23%,"1,584",0,90,882150
88,MY WOLF - Desktop Wild Pet,76.00%,"1,567",20,83,1110890
89,Little Racers STREET,78.46%,"1,534",0,183,262690
91,Crypto Mining Simulator,65.54%,"1,498",11,237,1596310
92,Xenosis: Alien Infection,-,"1,384",0,1,611820
94,Universal Combat CE,42.50%,"1,377",0,179,345580
95,Lightstep Chronicles,71.48%,"1,356",0,11,983290
98,Prominence,77.80%,"1,324",0,32,270230
99,Touring Karts,75.64%,"1,296",0,12,1088950
