,Name,Rating,Followers,Online,Peak,id
0,Risk of Rain 2,95.19%,"248,653","6,118","71,548",632360
1,Gang Beasts,75.42%,"232,178",480,"3,062",285900
2,DARK SOULS™: REMASTERED,86.11%,"95,652","2,520","24,501",570940
3,Command & Conquer™ Remastered Collection,89.10%,"91,422",817,"42,587",1213210
4,Edge Of Eternity,76.53%,"83,271",95,736,269190
5,Rise to Ruins,86.68%,"52,283",63,"1,469",328080
6,Tricolour Lovestory,89.11%,"46,062",30,"2,733",668630
8,Dorfromantik,93.69%,"39,479",547,"7,101",1455840
9,The Medium,85.55%,"38,294",21,"2,765",1293160
10,Skater XL - The Ultimate Skateboarding Game,83.94%,"37,518",782,"5,741",962730
11,Swords of Legends Online,71.53%,"36,733","4,395","18,806",1418100
12,The Slormancer,77.07%,"25,558",76,"4,614",1104280
13,Lethal League,90.89%,"25,130",7,"1,929",261180
14,We Were Here Too,77.81%,"24,660",68,956,677160
15,Rustler,74.06%,"22,222",6,225,844260
16,Door Kickers: Action Squad,91.46%,"21,619",25,"2,454",686200
17,Lethal League Blaze,93.00%,"19,830",80,"2,673",553310
19,AMID EVIL,92.51%,"16,887",30,352,673130
20,Brigador: Up-Armored Edition,91.61%,"15,645",33,616,274500
21,UNDER NIGHT IN-BIRTH Exe:Late[cl-r],90.03%,"13,647",137,"1,377",801630
22,Train Valley 2,86.68%,"13,604",104,448,602320
23,art of rally,90.72%,"13,427",86,477,550320
24,TY the Tasmanian Tiger,93.44%,"12,726",11,230,411960
25,STRAFE: Gold Edition,70.51%,"11,967",13,"1,126",442780
26,The Gardens Between,89.26%,"10,972",1,138,600990
27,APE OUT,90.03%,"10,923",4,128,447150
29,Until You Fall,90.53%,"10,548",19,146,858260
30,The Hand of Merlin,74.01%,"10,457",8,150,600610
31,Neo Cab,80.95%,"10,149",8,157,794540
32,Lara Croft GO,88.19%,"9,853",9,397,540840
33,Dear Esther,73.78%,"9,751",1,"1,184",203810
34,Pistol Whip,89.04%,"9,319",117,213,1079800
35,SUPER ROBOT WARS X,86.85%,"8,895",71,852,1031510
36,Genesis Noir,78.11%,"8,817",1,85,735290
37,Yaga,73.99%,"8,724",0,273,888530
38,Shio,75.38%,"8,633",0,430,525360
40,Interstellaria,55.68%,"8,465",1,952,280360
41,Almighty: Kill Your Gods,63.29%,"8,422",6,544,1206600
42,SaGa Frontier Remastered,85.33%,"8,393",30,"2,590",1295270
43,Dark Fantasy Warriors,58.49%,"8,218",0,3,1488820
44,GetsuFumaDen: Undying Moon,71.93%,"7,990",10,662,1323470
45,KILL la KILL -IF,68.25%,"7,918",3,181,922500
46,Heroine Anthem Zero -Sacrifice-,62.10%,"7,764",0,209,537990
47,Super Hexagon,94.59%,"7,757",29,"2,650",221640
48,She Sees Red - Interactive Movie,75.66%,"7,750",1,155,1081510
49,FUSER™,83.33%,"7,610",34,855,1331440
50,Redout: Space Assault,42.54%,"7,271",0,35,886060
51,I Expect You To Die,89.86%,"7,162",21,228,587430
52,GTTOD: Get To The Orange Door,85.81%,"7,114",61,113,541200
53,"Movavi Video Suite 17 - Video Making Software - Video Editor, Video Converter, Screen Capture, and more",78.14%,"6,731",130,757,795630
54,Songs for a Hero - Definitive Edition,91.28%,"6,701",23,616,389170
55,Biker Garage: Mechanic Simulator,69.01%,"6,581",2,137,989770
56,Lost in Vivo,90.56%,"5,960",7,79,963710
57,Kero Blaster,88.26%,"5,736",4,211,292500
58,The Void,77.53%,"5,577",6,289,37000
59,Scrap Garden - The Day Before,71.60%,"5,450",0,254,508390
60,Magicmaker,84.55%,"5,313",0,332,319250
61,Ragnarock,90.57%,"5,251",46,104,1345820
63,Dwarrows,78.41%,"5,021",1,122,532750
64,Q.U.B.E: Director's Cut,80.15%,"4,932",1,206,239430
65,NationWar:Chronicles | 国战:列国志传,67.03%,"4,884",0,109,669320
66,DESYNC,75.32%,"4,882",1,71,390030
67,Strange Telephone,76.55%,"4,609",2,102,705290
68,Kaze and the Wild Masks,90.32%,"4,547",6,135,829280
69,ANOTHER EDEN,65.96%,"4,546",124,935,1252600
70,HIVESWAP: ACT 2,82.97%,"4,515",3,"1,837",1181840
71,An Octave Higher,78.03%,"4,411",0,34,352780
72,On My Own,59.09%,"4,214",0,28,351730
73,The Metronomicon: Slay The Dance Floor,80.68%,"4,020",0,85,416790
74,Electronic Super Joy,86.96%,"4,017",0,949,244870
75,Movavi Video Editor Plus 2020 - Video Editing Software,79.66%,"3,968",70,180,1182920
76,EZ2ON REBOOT : R,72.08%,"3,776",23,"2,768",1477590
77,FlatOut: Ultimate Carnage,82.61%,"3,775",29,168,12360
78,Orbt XL,92.78%,"3,770",3,213,615610
79,Saint Kotar: The Yellow Mask,71.65%,"3,736",2,72,868770
82,ROCKETSROCKETSROCKETS,72.77%,"3,152",0,188,289760
84,Double Kick Heroes,77.61%,"3,079",1,41,589670
85,Streets of Fury EX,88.24%,"3,065",3,34,350910
87,Black Baron,57.73%,"3,010",0,13,1085190
88,Poi,85.21%,"2,936",1,146,401810
89,The Backrooms Game FREE Edition,80.44%,"2,820",5,116,1111210
90,Fossil Echo,60.43%,"2,771",0,693,466350
91,Resolutiion,73.98%,"2,686",1,29,975150
92,b,87.49%,"2,631",3,44,660880
93,"Movavi Video Suite 18 - Video Making Software - Edit, Convert, Capture Screen, and more",75.36%,"2,570",52,261,973600
94,Ogre,67.83%,"2,556",1,78,517780
95,SEASON,-,"2,548",0,11,695330
96,Synth Riders,88.42%,"2,452",26,67,885000
98,TOHU,82.24%,"2,343",1,60,1075200
99,Songbird Symphony,86.87%,"2,283",3,29,909820
