,Name,Rating,Followers,Online,Peak,id
0,Wallpaper Engine,96.92%,"672,048","29,378","66,512",431960
1,Steam Link,74.56%,"157,964",0,22,353380
2,FaceRig,80.11%,"113,112",927,"3,554",274920
3,Source Filmmaker,91.33%,"106,628","1,267","3,975",1840
4,RPG Maker MV,88.46%,"86,315",831,"2,486",363890
6,Blender,94.92%,"76,255","3,295","5,133",365670
7,CPUCores :: Maximize Your FPS,73.02%,"40,938",324,"6,139",384300
8,3DMark,90.15%,"37,108",398,"1,667",223850
9,Software Inc.,89.92%,"36,565",119,766,362620
10,Fantasy Grounds Classic,77.40%,"31,298",66,991,252690
11,Live2DViewerEX,88.35%,"26,417",184,779,616720
12,RPG Maker VX Ace,90.82%,"24,023",171,"4,196",220700
13,Homebrew - Patent Unknown,73.72%,"23,166",7,100,325420
14,FlowScape,83.51%,"21,926",5,379,1043390
15,Aseprite,95.95%,"21,740","2,312","2,772",431730
16,Easy™ eSports,78.64%,"20,295",26,"1,724",282660
17,Soundpad,94.99%,"19,659","11,220","15,417",629520
18,GameMaker Studio 2 Desktop,81.91%,"17,234",305,470,585410
19,SteamVR,87.81%,"16,731",0,815,250820
20,Action! - Gameplay Recording and Streaming,82.53%,"15,836",380,737,228180
21,CRYENGINE,68.32%,"15,828",0,13,220980
22,GameGuru,70.02%,"15,799",15,"1,093",266310
23,Fences,56.14%,"15,058",3,21,607380
24,ShareX,91.82%,"14,994",778,"1,173",400040
25,Fuse,62.03%,"14,110",22,504,257400
26,openCanvas 6,81.30%,"13,352",16,86,301610
27,Godot Engine,92.02%,"12,902",48,91,404790
28,Visual Novel Maker,65.51%,"12,636",10,166,495480
29,Dungeon Painter Studio,85.54%,"12,518",136,665,592260
30,VTube Studio,84.29%,"12,414","1,039","1,867",1325860
31,Controller Companion,86.98%,"12,411",124,623,367670
32,Pixel Game Maker MV,68.74%,"12,136",44,152,837510
33,AppGameKit Classic: Easy Game Development,79.33%,"11,925",6,"1,007",325180
35,Animaze by FaceRig,53.01%,"9,302",250,664,1364390
36,Black Ink,81.10%,"8,994",3,142,233680
37,Bigscreen Beta,83.31%,"8,908",82,315,457550
38,VRoid Studio v0.14.0,90.00%,"8,750",529,"1,034",1486350
39,RPG World - Action RPG Maker,67.90%,"8,652",3,39,492150
