,Name,Rating,Followers,Online,Peak,id
0,Wallpaper Engine,96.92%,"672,508","53,752","66,512",431960
1,Fences,56.23%,"15,064",5,21,607380
2,ShareX,91.83%,"14,994",862,"1,173",400040
3,openCanvas 6,81.30%,"13,351",17,86,301610
4,Black Ink,81.10%,"8,994",2,142,233680
5,Krita,89.56%,"7,657",257,431,280680
6,openCanvas 7,74.80%,"6,964",108,249,398810
7,"Movavi Video Suite 17 - Video Making Software - Video Editor, Video Converter, Screen Capture, and more",78.20%,"6,731",198,757,795630
8,3DCoat 4.9,80.60%,"5,547",10,37,100980
9,Live Wallpaper Master,69.15%,"4,821",54,168,597840
10,001 Game Creator,70.59%,"4,767",8,42,347400
11,Movavi Video Editor Plus 2020 - Video Editing Software,79.66%,"3,969",73,180,1182920
12,Pixel Studio for pixel art,90.47%,"3,901",81,138,1204050
13,GeoVox,50.00%,"3,391",0,8,368470
14,"MovieMator Video Editor Pro - Movie Maker, Video Editing Software",58.41%,"3,105",14,42,919280
15,Umurangi Generation,87.47%,"3,079",1,47,1223500
16,Substance B2M3,78.45%,"2,661",2,20,325910
17,"Movavi Video Suite 18 - Video Making Software - Edit, Convert, Capture Screen, and more",75.36%,"2,570",77,261,973600
18,SEASON,-,"2,552",0,11,695330
20,ePic Character Generator,79.41%,"2,050",2,21,408930
21,Multiplicity,45.98%,"1,773",0,12,620040
22,FireAlpaca SE,76.91%,"1,731",12,41,458750
23,"Movavi Video Suite 2020 Steam Edition - - Video Making Software - Edit, Convert, Capture Screen, and more",73.72%,"1,667",119,213,1182930
24,Pixeluvo,76.15%,"1,585",0,21,314500
25,DP Animation Maker,68.05%,"1,577",0,8,341960
26,Movavi Video Editor 15 Plus - Video Editing Software,77.87%,"1,387",35,101,969020
28,PD Howler 9.6 Digital Painter and Visual FX box,60.55%,"1,085",0,8,336530
29,VeeR VR:VR Video and Movie Platform,76.91%,988,1,12,650090
30,Movavi Video Editor Plus 2021 - Video Editing Software,75.10%,865,38,69,1418800
31,PD Howler 10,71.52%,863,0,6,415140
32,Gecata by Movavi 5 - Game Recording Software,67.51%,840,34,59,769670
33,DreamDesk VR,42.04%,820,0,4,520210
34,Typefighters (Steam Edition),63.60%,806,0,81,434290
35,MindTex 2,83.41%,772,1,9,441770
36,Movavi Photo Editor,63.52%,737,9,26,982520
37,CyberLink PhotoDirector 8 Ultra,63.21%,731,0,8,501640
38,Alekon,80.62%,730,1,14,1479390
39,"Movavi Video Suite 2021 Steam Edition -- Video Making Software - Video Editor, Screen Recorder and Video Converter",62.92%,668,21,43,1418970
40,PanoPainter,66.27%,625,0,7,954880
41,NB Desktop,61.69%,614,0,22,1064820
42,MARI indie 3.0,46.73%,604,0,14,433930
43,Supermedium - Virtual Reality Browser,64.44%,602,0,11,803010
44,Penko Park,89.04%,595,0,11,852090
45,CGWallpapers,58.70%,482,0,4,527350
46,Pixel Art Workshop,78.55%,472,6,10,1516050
47,NORMALIZATOR,53.37%,468,0,5,703300
48,Swatcher,78.61%,448,1,11,579920
49,3D ParticleGen Visual FX,58.94%,430,0,"7,112",279740
50,PD Howler 11,66.98%,416,0,6,601890
51,Decent Icons 2,68.60%,410,0,8,1006710
52,"PhotoDirector 10 Ultra - Photo editor, photo editing software",52.39%,407,0,6,892050
53,liquivid Video Improve 2,64.75%,395,0,5,364240
54,VoxelSuite,64.08%,375,0,5,1125980
55,Movavi Video Converter Premium 2020,70.44%,360,4,16,1182940
56,英语杀,34.62%,340,0,16,934710
57,MAGIX Photostory 2017 Deluxe Steam Edition,64.76%,337,0,13,575270
58,Photo & Graphic Designer 12 Steam Edition,58.21%,334,0,13,596140
59,Xara Designer Pro X 15 Steam Edition,55.13%,302,0,8,788940
60,CyberLink PhotoDirector 9 Ultra,70.57%,299,0,6,679550
61,Photographer,77.41%,292,0,3,1562800
62,Plan V: Virtual Studio,57.39%,266,0,7,1259150
63,Pixel-Me,74.51%,266,0,6,875460
64,PD Artist 10,55.14%,260,0,4,571040
65,ACDSee 15,53.00%,248,7,44,220960
66,Movavi Video Converter Premium 19,60.17%,235,2,10,973590
67,Movavi Slideshow Maker,64.76%,233,1,8,1242850
68,Artipic,59.37%,229,0,6,828800
69,"CyberLink PhotoDirector 11 Ultra - Photo editor, photo editing software",65.42%,228,0,5,1127880
70,CameraBag Photo,46.77%,217,0,9,548760
71,CyberLink PhotoDirector 8 Deluxe,42.61%,216,0,4,501600
72,Dear Devere,81.99%,211,0,5,1301220
73,Palette Wizard,59.97%,206,0,3,1102420
74,TextureWorks,65.42%,204,0,3,1140360
75,Snapshot - DSLR Camera Control,59.97%,203,0,2,388280
76,MAGIX Photostory 2019 Deluxe Steam Edition,50.00%,202,1,3,887240
77,Photo & Graphic Designer 15 Steam Edition,54.17%,202,1,6,770610
78,MemeNgin,75.71%,187,3,4,1632910
79,CyberLink ColorDirector 6 Ultra,-,184,0,2,679590
80,PD Particles 9,68.15%,181,0,7,497310
81,Movavi Picverse - Photo Editing Software,68.97%,179,1,5,1403800
82,"CyberLink PhotoDirector 9 Deluxe - Photo editor, photo editing software",40.40%,178,0,4,679540
83,Floating Girl,42.04%,177,0,4,1593260
84,Easy Audio Visualization,70.11%,176,0,6,885440
85,Photo-Life - Rina's Journey,70.57%,160,0,7,1573420
86,JWildfire,79.83%,158,9,21,1445310
87,CameraBag Pro,73.89%,146,1,5,1061690
88,Dear Future,71.52%,141,0,3,1591300
89,DeskScapes,64.08%,131,0,4,1027220
90,PhotoTangler Collage Maker,54.17%,131,0,3,586560
91,Movavi Screen Recorder 21,65.42%,127,8,16,1497120
92,MAGIX Photostory 2018 Deluxe Steam Edition,43.95%,126,0,5,665450
93,Movavi Video Converter Premium 2021,63.89%,121,2,7,1418790
94,Parliament - Parlement,78.69%,119,0,2,1232920
95,Universal Character Generator,54.17%,115,0,3,1063520
96,PD Howler 21,55.69%,109,0,2,1498990
97,PhotoPad,62.51%,108,0,4,617580
98,GoodColor,50.00%,106,0,2,980760
99,Movavi Slideshow Maker 7,59.42%,97,1,7,1420930
