,Name,Rating,Followers,Online,Peak,id
0,Phasmophobia,96.21%,"216,528","13,609","112,717",739630
1,Unheard,94.44%,"64,204",50,"7,754",942970
2,Sherlock Holmes: The Devil's Daughter,77.30%,"59,836",101,"2,968",350640
3,Sherlock Holmes: Crimes and Punishments,87.77%,"46,931",71,889,241260
4,L.A. Noire,83.71%,"40,033",233,"5,115",110800
5,Lust from Beyond,79.30%,"37,564",36,"1,310",1035120
6,Police Simulator: Patrol Officers,82.95%,"33,797",334,"3,330",997010
7,White Noise 2,77.36%,"31,755",9,163,503350
8,We Were Here Together,84.15%,"31,591",137,"2,261",865360
9,while True: learn(),88.95%,"30,483",14,844,619150
10,We Were Here,89.74%,"29,560",90,"1,365",582500
11,Her Story,87.00%,"25,505",7,663,368370
12,Blair Witch,75.08%,"25,126",12,"1,716",1092660
13,HellSign,69.31%,"24,900",7,205,606500
14,We Were Here Too,77.81%,"24,660",56,956,677160
16,Cyber Manhunt,91.07%,"22,046",58,"2,807",1216710
17,Unfortunate Spacemen,84.54%,"20,851",141,"11,823",408900
18,Erophone,76.35%,"20,058",8,"1,417",1506280
19,Heavy Rain,80.15%,"18,874",42,747,960910
20,Blacksad: Under the Skin,81.03%,"18,849",24,264,1003890
21,Ghost Hunters Corp,70.83%,"17,936",734,"3,791",1618540
22,The Forgotten City,91.79%,"17,268",162,577,874260
23,Telling Lies,65.56%,"16,354",3,687,762830
24,We. The Revolution,76.13%,"16,160",9,822,736850
25,Call of the Sea,85.62%,"14,603",20,213,1042490
26,Operation: Tango,85.64%,"13,760",76,875,1335790
27,Tales of the Neon Sea,81.50%,"13,219",4,691,828740
28,SONG OF HORROR COMPLETE EDITION,77.62%,"11,995",37,224,1096570
30,Accident,76.21%,"10,300",1,271,852220
31,The Painscreek Killings,85.52%,"9,807",18,161,624270
32,Devil Girl,80.98%,"9,776",10,132,1466180
33,Night Call,68.19%,"9,704",2,125,680380
34,Contradiction - Spot The Liar!,91.36%,"9,189",3,70,373390
35,The Room VR: A Dark Matter,92.92%,"8,765",10,139,1104380
36,What Never Was,91.48%,"8,337",1,181,866440
37,Paradise Killer,90.11%,"8,105",39,291,1160220
38,Deadly Premonition: The Director's Cut,66.54%,"7,959",3,320,247660
39,L.A. Noire: The VR Case Files,54.83%,"7,719",4,115,722230
41,Observer: System Redux,84.01%,"7,605",4,253,1386900
42,Contraband Police: Prologue,84.71%,"7,549",74,446,1396240
43,Killer: Infected One of Us,50.20%,"7,094",0,240,1453840
44,YUME 2 : Sleepless Night,50.06%,"7,072",8,959,1607280
45,Fingerbones,76.14%,"6,685",2,177,391270
46,Hello Neighbor 2 Alpha 1.5,82.77%,"6,411",48,"1,091",1364960
47,At Dead Of Night,88.81%,"6,335",21,197,1450830
48,The Testament of Sherlock Holmes,76.70%,"5,916",24,655,205650
49,Odysseus Kosmos and his Robot Quest (Complete Season),78.70%,"5,896",0,320,645820
50,Lust from Beyond: Scarlet,77.83%,"5,856",3,341,1401680
51,Tales of Escape,66.38%,"5,733",11,290,587860
52,Clue/Cluedo: The Classic Mystery Game,82.35%,"5,719",78,355,794800
53,During Before And After COVID-19,55.69%,"5,101",0,2,1509630
55,Escape Room - Der kranke Kollege,86.91%,"4,945",197,401,1301720
56,Lacuna – A Sci-Fi Noir Adventure,87.98%,"4,943",5,168,1364100
57,Find your way,62.82%,"4,831",0,103,848010
59,Transient,63.86%,"4,811",2,67,962630
60,The Cursed Forest,82.73%,"4,627",2,32,345430
61,Agatha Christie - The ABC Murders,78.39%,"4,600",15,222,374900
62,HIVESWAP: ACT 2,82.97%,"4,515",3,"1,837",1181840
63,Tangle Tower,90.01%,"4,219",16,84,359510
66,Roman's Christmas / 罗曼圣诞探案集,91.39%,"3,982",0,348,926340
67,Syberia: The World Before - Prologue,71.45%,"3,968",8,294,1421230
69,BORIS THE ROCKET,86.02%,"3,844",0,40,1329080
70,The Darkside Detective: A Fumble in the Dark,89.45%,"3,758",9,216,795420
71,Detective Di: The Silk Rose Murders,85.58%,"3,706",0,140,792040
72,Murder House,90.78%,"3,645",3,119,1064460
74,Black Closet,84.13%,"3,510",0,63,400580
75,Titan Chaser,79.09%,"3,418",1,14,1290170
76,The Signifier Director's Cut,79.88%,"3,265",0,34,1082930
77,Wytchwood,-,"3,192",0,1,729000
78,Untrusted,80.35%,"3,186",5,335,1502660
79,OFF GRID : Stealth Hacking,-,"3,159",0,3,526720
80,NOSTALGIC TRAIN,71.43%,"3,101",1,218,801260
81,Lucifer Within Us,71.80%,"3,032",2,90,717560
82,Along the Edge,84.13%,"2,792",0,42,504390
83,Haven Moon,73.55%,"2,735",2,86,493720
84,Lost Dimension,74.05%,"2,712",1,82,626600
85,墨心：波云诡船,86.35%,"2,684",1,314,1424720
86,Sensual Adventures - The Game,67.55%,"2,642",0,51,1525600
87,Silver Creek Falls: Chapter 1,81.33%,"2,615",0,107,392450
88,Viviette,81.31%,"2,609",0,23,883070
89,The Almost Gone,81.40%,"2,581",2,150,1115780
91,Murder by Numbers,83.02%,"2,544",9,319,1140290
93,Elsinore,87.27%,"2,484",6,46,512890
94,Summerland,85.01%,"2,361",2,107,1444110
95,Willy Morgan and the Curse of Bone Town,83.86%,"2,338",3,74,1097110
96,迷雾之夏-The Vigilant Villa,76.72%,"2,316",2,479,1254900
98,The Low Road,70.63%,"2,279",0,19,603700
99,Attentat 1942,85.90%,"2,202",1,17,676630
