,Name,Rating,Followers,Online,Peak,id
0,The Witcher 2: Assassins of Kings Enhanced Edition,88.87%,"89,252",881,"12,884",20920
1,The Wolf Among Us,95.46%,"38,739",61,"14,321",250320
2,Dragon Age: Origins - Ultimate Edition,88.67%,"25,646",714,"8,364",47810
3,ANOTHER EDEN,65.96%,"4,551",225,935,1252600
4,Waking Mars,83.81%,"3,578",0,257,227200
6,El Tango de la Muerte,87.97%,"1,160",0,10,701380
7,Hitchhiker - A Mystery Game,70.40%,"1,149",1,16,1003120
9,Winter Voices,61.41%,881,0,94,72900
11,MetaWare High School (Demo),89.79%,730,0,43,1194740
13,Starstruck: Prologue,84.84%,575,0,33,1297720
15,MASAGORO,67.39%,233,2,39,1519900
17,High School of Memories,59.42%,63,0,3,1415670
18,Lucy -The Eternity She Wished For- Ending Theme OST,87.12%,-,-,-,642240
