,Name,Rating,Followers,Online,Peak,id
0,Wallpaper Engine,96.92%,"672,048","29,378","66,512",431960
1,FaceRig,80.11%,"113,112",927,"3,554",274920
2,Blender,94.92%,"76,255","3,295","5,133",365670
3,CPUCores :: Maximize Your FPS,73.02%,"40,938",324,"6,139",384300
4,3DMark,90.15%,"37,108",398,"1,667",223850
5,Skyrim Script Extender (SKSE),92.37%,"36,825",2,33,365720
6,Fantasy Grounds Classic,77.40%,"31,298",66,991,252690
7,SAO Utils: Beta,82.73%,"31,279",791,"3,708",786520
8,Live2DViewerEX,88.35%,"26,417",184,779,616720
9,FlowScape,83.51%,"21,926",5,379,1043390
10,Easy™ eSports,78.64%,"20,295",26,"1,724",282660
11,Soundpad,94.99%,"19,659","11,220","15,417",629520
12,GameMaker Studio 2 Desktop,81.91%,"17,234",305,470,585410
13,Virtual Desktop,68.68%,"15,880",108,425,382110
14,Action! - Gameplay Recording and Streaming,82.53%,"15,836",380,737,228180
15,CRYENGINE,68.32%,"15,828",0,13,220980
16,GameGuru,70.02%,"15,799",15,"1,093",266310
17,Fences,56.14%,"15,058",3,21,607380
18,ShareX,91.82%,"14,994",778,"1,173",400040
19,Fuse,62.03%,"14,110",22,504,257400
20,ESEA,71.22%,"13,903",62,"1,563",479130
21,Godot Engine,92.02%,"12,902",48,91,404790
22,Controller Companion,86.98%,"12,411",124,623,367670
23,Pixel Game Maker MV,68.74%,"12,136",44,152,837510
24,AppGameKit Classic: Easy Game Development,79.33%,"11,925",6,"1,007",325180
25,Black Ink,81.10%,"8,994",3,142,233680
26,Bigscreen Beta,83.31%,"8,908",82,315,457550
27,Fantasy Grounds Unity,81.45%,"8,110",189,420,1196310
28,Leadwerks Game Engine,70.42%,"8,020",2,150,251810
29,EVGA Precision X1,75.87%,"7,809","1,741","4,248",268850
30,MorphVOX Pro 4 - Voice Changer (Old),55.20%,"7,780",97,242,269470
31,Stream Avatars,90.35%,"7,184","1,457","1,825",665300
32,TyranoBuilder Visual Novel Studio,79.90%,"6,919",26,145,345370
33,Desktop Kanojo,82.72%,"6,775",68,600,1284820
34,Borderless Gaming,83.64%,"6,771",629,"1,182",388080
35,"Movavi Video Suite 17 - Video Making Software - Video Editor, Video Converter, Screen Capture, and more",78.14%,"6,731",134,757,795630
36,PrprLive,84.86%,"5,781",398,"1,623",1279610
37,DisplayFusion,84.80%,"5,757",1,131,227260
38,Virtual Cottage,93.78%,"5,554",183,"1,801",1369320
39,3DCoat 4.9,80.60%,"5,546",11,37,100980
40,Wallpaper Maker （造物主视频桌面）,79.56%,"5,505",70,663,1010800
41,Clickteam Fusion 2.5,85.11%,"5,357",107,495,248170
42,Desktop Magic Engine,70.59%,"5,308",41,752,1096550
43,"Dimmdrive :: Gaming Ramdrive @ 10,000+ MB/s",60.68%,"4,916",13,308,337070
44,Live Wallpaper Master,68.97%,"4,822",55,168,597840
45,Spriter Pro,72.95%,"4,793",4,155,332360
46,001 Game Creator,70.59%,"4,765",9,42,347400
47,Discord Bot Maker,85.49%,"4,407",184,397,682130
48,SRPG Studio,76.27%,"4,165",21,67,857320
49,Movavi Video Editor Plus 2020 - Video Editing Software,79.66%,"3,968",64,180,1182920
50,FPS Monitor – hardware in-game & desktop overlays,82.35%,"3,929",116,321,966610
51,OVR Toolkit,85.27%,"3,857",662,"1,097",1068820
52,Windows Mixed Reality for SteamVR,66.87%,"3,834",0,25,719950
53,Marmoset Toolbag 3,86.55%,"3,799",36,105,550060
54,Axis Game Factory's AGFPRO v3,60.99%,"3,469",0,75,253370
55,Ultimate Desktop Character Engine,54.17%,"3,460",1,14,979010
56,VoiceAttack,89.87%,"3,419",100,216,583010
57,Driver Booster for Steam,84.11%,"3,401",672,"1,030",920490
58,Camtasia - Subscription,68.45%,"3,399",0,59,253050
59,GeoVox,50.00%,"3,391",0,8,368470
60,Rytmik Ultimate,81.09%,"3,312",3,65,375840
61,S2ENGINE HD,69.34%,"3,300",0,14,443970
62,GameLooper,66.31%,"3,281",0,354,435060
63,CopperCube 6 Game Engine,74.87%,"3,257",4,31,857350
64,GlassWire,75.74%,"3,206",5,"1,371",355000
65,Easy Pose,87.80%,"3,143",74,142,979710
66,"MovieMator Video Editor Pro - Movie Maker, Video Editing Software",58.41%,"3,103",16,42,919280
67,Neos VR,82.61%,"2,992",189,432,740250
68,Desktop Mascot Engine,59.03%,"2,948",0,29,821060
69,MyRPG Master,36.93%,"2,886",0,17,329890
70,LIV,83.94%,"2,791",57,111,755540
71,RutonyChat,74.72%,"2,755",416,784,524660
72,Nimble Writer,82.25%,"2,739",45,80,348200
73,"Movavi Video Suite 18 - Video Making Software - Edit, Convert, Capture Screen, and more",75.36%,"2,570",53,261,973600
74,Virtual DJ - Broadcaster Edition,49.53%,"2,547",1,35,224380
75,Mixcraft 8 Home Studio,84.16%,"2,404",35,105,218760
76,RainWallpaper,62.36%,"2,273",65,130,979560
77,GameMaker Studio 2 Mobile,68.83%,"2,234",22,42,585620
78,Kodon,69.57%,"2,232",1,10,479010
79,CopperCube 5 Game Engine,60.38%,"2,230",1,13,364970
80,Card Creator,75.87%,"2,204",28,64,523600
81,Rytmik Studio,79.26%,"2,168",8,21,657280
82,"Learn Game Development, Unity Code Monkey",77.65%,"2,117",2,65,1294220
83,Tvori,68.39%,"2,099",0,11,517170
84,Esenthel Engine,54.84%,"2,071",0,10,366530
85,D3DGear - Game Recording and Streaming Software,73.37%,"2,070",7,60,372390
86,ePic Character Generator,79.41%,"2,050",1,21,408930
87,Illwinter's Floorplan Generator,85.14%,"2,043",12,61,630900
88,3DMark 11,71.35%,"2,013",0,189,205270
89,FaceFun,45.31%,"1,999",0,3,939920
90,SolidFace Parametric CAD Modeler 2D/3D,59.42%,"1,952",0,3,304970
91,ClearMem :: Free Up Your RAM,65.91%,"1,951",24,47,780100
93,PCMark 10,62.25%,"1,934",9,76,524390
94,Wildshape - Map Editor + VTT,67.39%,"1,911",2,22,1543590
95,Live3D - Comic & Animation & VTuber Maker - Virtual Production,39.06%,"1,907",2,26,908450
96,Happy toys,62.25%,"1,833",0,11,977640
97,Cmoar VR Cinema,58.77%,"1,826",0,19,527160
98,Multiplicity,45.98%,"1,773",0,12,620040
99,Campfire Pro,73.08%,"1,769",39,95,965480
