,Name,Rating,Followers,Online,Peak,id
0,Cities: Skylines,91.95%,"579,631","11,429","60,386",255710
1,This War of Mine,93.16%,"344,261",613,"9,503",282070
2,Frostpunk,89.70%,"331,686","5,663","29,361",323190
3,Factorio,97.37%,"331,424","11,745","34,700",427520
4,Oxygen Not Included,94.72%,"330,996","7,269","27,486",457140
5,Northgard,86.40%,"301,336","1,918","15,592",466560
6,They Are Billions,83.54%,"255,231","1,838","22,395",644930
7,Satisfactory,95.42%,"245,421","7,789","32,831",526870
8,Planet Zoo,88.07%,"239,930","3,232","38,630",703080
9,Jurassic World Evolution,84.09%,"235,089","1,197","60,296",648350
10,Green Hell,85.30%,"230,589","1,558","20,003",815370
11,Prison Architect,89.34%,"193,132","1,261","16,211",233450
12,Age of Empires II (2013),94.11%,"186,343","4,642","27,927",221380
13,The Universim,79.80%,"185,851",88,"2,825",352720
14,Dyson Sphere Program,95.90%,"182,895","4,965","59,815",1366540
15,Foundation,83.89%,"169,502",522,"4,088",690830
16,Medieval Dynasty,89.43%,"169,428","1,907","18,738",1129580
17,Europa Universalis IV,84.74%,"165,520","18,519","48,165",236850
18,Age of Empires II: Definitive Edition,92.49%,"163,796","18,422","38,725",813780
19,Farming Simulator 19,91.78%,"142,342","18,563","59,466",787860
20,Banished,88.45%,"139,043","1,009","24,636",242920
21,Surviving Mars,82.71%,"138,495","1,141","23,744",464920
22,Outward,73.22%,"135,949",574,"11,296",794260
23,Kingdoms and Castles,89.60%,"130,527",630,"4,856",569480
24,Planetbase,76.58%,"113,392",267,"6,670",403190
25,Going Medieval,86.46%,"111,810","1,903","14,676",1029780
26,Forager,90.06%,"110,743",409,"13,438",751780
27,Age of Empires® III (2007),88.82%,"109,135","1,016","9,490",105450
28,Space Haven,84.82%,"103,253",414,"5,687",979110
29,The Guild 3,57.79%,"102,584",78,"3,513",311260
30,Offworld Trading Company,74.49%,"99,030",64,"2,698",271240
31,Life is Feudal: Forest Village,64.48%,"96,003",143,"1,962",496460
32,Craft The World,85.67%,"95,647",270,"3,283",248390
34,Youtubers Life,74.79%,"90,009",94,"7,553",428690
35,Endzone - A World Apart,76.01%,"88,186",159,"6,426",933820
36,Transport Fever,81.06%,"85,110",265,"12,615",446800
37,Anno 2205™,67.97%,"78,208",89,"7,446",375910
38,Transport Fever 2,84.99%,"74,638","2,291","24,308",1066780
39,SPORE™,89.61%,"72,420",950,"5,630",17390
40,Rise of Industry,74.43%,"72,324",49,"1,388",671440
41,Anno 1800,80.13%,"71,818",285,"25,302",916440
42,Evil Genius 2: World Domination,62.24%,"71,508",374,"37,117",700600
44,Railway Empire,80.12%,"70,471",414,"5,446",503940
45,Stronghold Crusader 2,67.15%,"69,572",286,"5,763",232890
46,Industries of Titan,68.75%,"68,229",64,"2,217",427940
47,Sheltered,78.63%,"66,270",52,"1,413",356040
49,Cossacks 3,78.05%,"61,913",582,"5,797",333420
50,Judgment: Apocalypse Survival Simulation,78.31%,"61,515",32,"1,277",455980
51,Parkitect,91.11%,"60,388",270,"1,400",453090
52,Cooking Simulator,80.78%,"60,007",257,"3,500",641320
53,Mr. Prepper,80.00%,"57,622",154,"6,911",761830
54,Kingdoms Reborn,86.39%,"57,038",791,"2,014",1307890
55,Cliff Empire,84.91%,"52,488",50,"3,099",809140
56,Rise to Ruins,86.68%,"52,283",67,"1,469",328080
57,Kingdom: Classic,88.16%,"51,950",127,"64,944",368230
58,Factory Town,87.50%,"51,365",72,"2,648",860890
59,Age of Empires III: Definitive Edition,73.44%,"51,124","3,007","20,146",933110
60,Project Hospital,84.27%,"50,125",469,"2,673",868360
61,Loop Hero,91.25%,"49,707","1,068","51,156",1282730
62,Startup Company,79.16%,"49,338",96,"1,984",606800
63,Tropico 5,76.61%,"48,891",204,"13,483",245620
64,Empires of the Undergrowth,91.36%,"47,790",219,989,463530
65,Project AURA,64.47%,"47,701",6,120,305940
66,Thea: The Awakening,86.96%,"47,568",72,"1,742",378720
67,Dungeon of the ENDLESS™,85.72%,"47,502",87,"6,323",249050
68,Five Nights at Freddy's,88.74%,"44,767",92,"1,316",319510
69,Stronghold: Warlords,60.49%,"43,702",106,"4,434",907650
70,Five Nights at Freddy's 2,89.88%,"42,566",41,"1,725",332800
71,Folk Tale,41.06%,"41,340",1,536,224440
72,Fade to Silence,62.23%,"41,263",0,678,706020
73,The Final Station,83.43%,"40,906",11,"1,284",435530
74,Jalopy,74.87%,"40,892",27,666,446020
75,Ostriv,88.23%,"39,801",125,"1,148",773790
76,SimAirport,76.11%,"39,424",84,"1,071",598330
77,Drug Dealer Simulator,84.61%,"38,362",226,"7,574",682990
78,Do Not Feed the Monkeys,90.01%,"37,732",42,"1,888",658850
79,Tank Mechanic Simulator,84.82%,"36,907",118,"5,022",407130
80,Grand Ages: Medieval,46.63%,"36,888",15,"4,274",310470
82,Software Inc.,89.92%,"36,565",119,766,362620
83,Evil Bank Manager,74.50%,"35,503",15,530,896160
85,Driftland: The Magic Revival,72.49%,"34,936",17,456,718650
86,Mashinky,85.89%,"34,212",42,"1,622",598960
87,Production Line : Car factory simulation,81.28%,"33,973",23,631,591370
88,The Immortal Mayor,61.60%,"33,378",52,"3,232",1426730
89,"Yes, Your Grace",82.16%,"33,373",67,"3,337",1115690
90,Legends of Ellaria,61.74%,"33,095",1,61,621070
91,Hydroneer,84.57%,"32,860",339,"3,250",1106840
94,Per Aspera,69.07%,"30,952",70,"4,342",803050
95,Crossroads Inn Anniversary Edition,59.11%,"28,701",148,"1,512",867290
96,Crying Suns,83.64%,"28,699",40,"1,479",873940
97,Good Company,71.27%,"28,081",19,"1,745",911430
98,Big Pharma,74.12%,"26,624",16,"2,614",344850
99,Parkasaurus,90.54%,"26,620",42,953,591460
