,Name,Rating,Followers,Online,Peak,id
0,Subverse,80.55%,"174,461",58,"25,318",1034140
1,DEAD OR ALIVE Xtreme Venus Vacation,80.53%,"139,994",969,"10,381",958260
2,Mirror,95.43%,"126,433",252,"7,565",644560
3,NEKOPARA Vol. 1,93.39%,"83,447",74,487,333600
4,AI＊Shoujo/AI＊少女,74.01%,"72,519",55,599,1250650
5,Muse Dash,90.71%,"67,153",453,"6,087",774171
6,VR Kanojo / VRカノジョ,74.47%,"64,162",3,66,751440
7,Helltaker,96.53%,"64,080",151,"6,509",1289310
8,SENRAN KAGURA ESTIVAL VERSUS,91.42%,"61,014",23,"1,088",502800
9,コイカツ！ / Koikatsu Party,89.76%,"58,935",189,367,1073440
10,NEKOPARA Vol. 3,94.32%,"52,580",18,"2,571",602520
11,Monster Girl Island: Prologue,93.74%,"51,807",63,"1,538",943700
12,NEKOPARA Vol. 2,94.43%,"51,636",18,"1,228",420110
13,HuniePop,94.23%,"49,398",196,"3,018",339800
14,Azur Lane Crosswave,67.30%,"48,225",10,"10,413",1150080
15,Breeders of the Nephelym: Alpha,88.20%,"41,261",207,"2,702",1161770
16,SENRAN KAGURA Peach Beach Splash,76.39%,"35,802",9,"2,450",696170
17,NEKOPARA Vol. 0,91.74%,"35,604",27,960,385800
18,Action Taimanin,82.31%,"34,786",498,"2,894",1335200
19,Material Girl,89.13%,"33,329",11,"3,167",644570
20,Sakura Dungeon,87.08%,"32,148",37,551,407330
21,Lost,79.34%,"32,023",5,"1,074",1126290
22,Dark Elf,85.98%,"29,980",10,"1,263",665180
23,Sakura Swim Club,82.73%,"28,168",4,234,402180
24,Sakura Angels,80.82%,"28,146",1,309,342380
25,Seek Girl:Fog Ⅰ,80.33%,"27,971",17,870,1263370
26,If My Heart Had Wings,88.66%,"27,726",13,239,326480
27,Tayutama 2-you're the only one-,91.48%,"27,027",2,155,552280
28,CUSTOM ORDER MAID 3D2 It's a Night Magic,81.50%,"25,655",18,311,1097580
29,LOVE³ -Love Cube-,90.38%,"25,094",3,380,939600
30,Sakura Clicker,82.28%,"25,094",96,"9,127",383080
31,Crush Crush,88.28%,"25,080","1,221","2,582",459820
32,Cloud Meadow,78.53%,"25,010",92,527,1223750
33,Yokai's Secret,88.09%,"24,971",7,"1,015",1146630
34,Sonicomi,84.54%,"24,166",0,90,444140
35,Summer Memories,88.42%,"24,114",89,"5,036",1227890
36,NEKOPARA Vol. 4,94.32%,"23,795",41,"2,529",1406990
37,封灵档案,62.36%,"23,632",225,"4,224",1520470
38,MONMUSU,77.37%,"23,330",39,"4,291",533540
39,Sakura Spirit,76.62%,"22,933",2,537,313740
40,Negligee,75.54%,"22,088",0,218,432100
41,HuniePop 2: Double Date,88.39%,"21,313",241,"15,388",930210
42,Cute Honey,86.75%,"20,127",7,"1,160",1347430
43,Erophone,76.35%,"20,058",8,"1,417",1506280
44,Succubus Cafe,81.28%,"19,968",17,352,1520500
45,Swaying Girl,87.04%,"19,791",15,"1,447",1393350
46,HunieCam Studio,83.37%,"19,263",62,"2,675",426000
47,Rebirth:Mr Wang,77.97%,"19,082",2,"1,812",1394800
48,Super Naughty Maid 2,83.90%,"18,336",6,93,1097880
49,NEKOPARA OVA,87.57%,"17,566",1,470,758230
50,King Exit,91.61%,"17,438",9,557,712840
51,Super Star,76.02%,"17,281",3,479,503300
52,OshiRabu: Waifus Over Husbandos,85.00%,"16,961",5,"1,126",1233270
53,Futa Fix Dick Dine and Dash,84.80%,"16,890",20,399,1173400
54,Panty Party,86.39%,"16,815",1,61,562410
55,SENRAN KAGURA Burst Re:Newal,87.59%,"16,742",8,334,889510
56,SteamVR,87.81%,"16,731",0,815,250820
57,The Heiress,82.73%,"16,208",3,720,680320
58,NEKO-NIN exHeart,89.58%,"16,063",0,89,407310
59,VR Paradise,80.73%,"15,973",13,971,896890
60,Meltys Quest,91.83%,"15,940",19,463,723090
61,Dragon Knight,73.43%,"15,845",2,355,508190
62,Fallen ~Makina and the City of Ruins~,81.77%,"15,801",5,595,791330
63,Robolife-Days with Aino,87.30%,"15,775",28,543,1477810
64,West Sweety,83.19%,"15,766",2,388,1186400
65,The Ditzy Demons Are in Love With Me,91.69%,"15,713",13,141,802870
66,DEEP SPACE WAIFU,93.30%,"15,617",2,268,639790
67,Treasure Hunter Claire,86.27%,"15,456",9,702,828070
68,Man of the House,88.22%,"15,300",134,612,1148150
69,Hentai Crush,83.93%,"15,239",3,"1,166",1003520
70,Evenicle,88.62%,"14,929",28,266,955560
72,PerfectLover,85.79%,"14,715",5,179,1181140
73,"I Love You, Colonel Sanders! A Finger Lickin’ Good Dating Simulator",89.66%,"14,638",24,"4,372",1121910
74,Venture Seas,77.44%,"14,583",31,335,1096520
75,Princess & Conquest,85.92%,"13,984",67,212,1083880
76,NEKOPARA Extra,93.51%,"13,707",11,575,899970
77,Last Evil,90.01%,"13,528",55,734,823910
78,Nurse Love Addiction,87.07%,"13,382",1,67,485040
79,Otaku's Fantasy,85.09%,"13,200",1,370,712050
80,Dragonia,81.93%,"13,130",2,"1,118",635730
81,Ideology in Friction,84.87%,"13,020",8,918,1011940
82,ChuSingura46+1 S,82.79%,"12,646",2,227,464780
83,Seek Girl Ⅲ,81.60%,"12,643",1,503,1191210
84,SWORD x HIME,76.03%,"12,636",8,442,1384630
85,Kindred Spirits on the Roof,91.11%,"12,567",5,228,402620
86,Sunrider Academy,80.19%,"12,462",0,234,340730
87,NEKOPALIVE,87.64%,"12,216",1,94,469990
88,Lucy Got Problems,85.38%,"12,177",1,97,879510
89,A Kiss For The Petals - Remembering How We Met,88.48%,"12,076",3,291,397270
90,Evil Maze,72.12%,"11,991",0,"1,304",484950
91,Sabbat of the Witch,92.83%,"11,935",20,198,888790
92,Seek Girl,78.71%,"11,833",3,242,998930
93,Love Ribbon,88.83%,"11,832",0,162,559610
94,Hell Girls,85.11%,"11,739",4,"1,688",575550
95,Wet Girl,85.13%,"11,343",5,266,1008710
96,TroubleDays,85.53%,"11,217",4,256,1171270
97,Booty Calls,53.87%,"10,825",127,367,823550
98,Sakura Fantasy,83.32%,"10,702",2,355,375200
99,Seed of the Dead,76.13%,"10,679",3,110,958480
