,Name,Rating,Followers,Online,Peak,id
0,Subnautica,94.91%,"546,451","2,632","51,156",264710
1,Raft,91.48%,"453,044","7,878","42,288",648800
2,Stranded Deep,75.03%,"331,502",556,"6,036",313120
3,Subnautica: Below Zero,89.94%,"216,222","1,652","42,115",848450
4,Depth,86.09%,"150,347",178,"10,916",274940
5,SOMA,93.76%,"120,408",79,"4,072",282140
6,UBOAT,77.35%,"103,850",594,"5,755",494840
7,ABZU,90.74%,"83,795",15,"1,329",384190
8,Barotrauma,89.86%,"78,581","1,033","5,284",602960
9,SpongeBob SquarePants: Battle for Bikini Bottom - Rehydrated,92.74%,"51,318",84,"15,419",969990
10,Maneater,86.50%,"49,225",184,"2,861",629820
11,Feed and Grow: Fish,77.93%,"39,903",469,"1,056",429050
12,FarSky,71.31%,"38,832",3,439,286340
13,Escape The Pacific,62.83%,"34,788",8,191,655290
14,BioShock® 2,87.30%,"30,404",37,"4,635",8850
15,BioShock™,92.34%,"29,801",83,"2,674",7670
16,We Need To Go Deeper,83.83%,"25,710",46,879,307110
17,Wolfpack,87.41%,"23,692",22,384,490920
18,BioShock™ Remastered,77.30%,"22,422",398,"5,245",409710
19,Megaquarium,89.56%,"19,650",71,917,600480
20,Last Tide,62.77%,"15,215",0,998,858590
21,Diluvion: Resubmerged,62.33%,"15,044",4,621,446790
22,BioShock™ 2 Remastered,65.37%,"15,029",220,"1,315",409720
23,Shark Attack Deathmatch 2,73.22%,"14,476",1,76,330580
24,WRC 7 FIA World Rally Championship,72.11%,"13,336",81,"1,034",621830
25,Narcosis,72.11%,"13,213",0,67,366870
26,Bermuda - Lost Survival,59.87%,"11,923",1,81,654690
27,Gaia,59.66%,"11,378",0,41,906790
28,Beyond Blue,82.65%,"11,033",3,303,883360
29,Cat Goes Fishing,90.45%,"10,924",108,638,343780
30,In Other Waters,85.02%,"10,248",6,166,890720
31,Ecosystem,77.03%,"9,363",6,158,1133120
32,World of Diving,52.07%,"9,332",1,78,251890
33,Tomb Raider: Underworld,74.19%,"9,272",42,415,8140
34,The Shore,70.53%,"8,155",8,179,1297300
35,Time Machine VR,60.42%,"6,987",0,17,356180
36,theBlu,80.53%,"6,896",15,100,451520
37,Song of the Deep,79.12%,"6,702",1,148,460700
38,Silent Hunter® III,82.85%,"5,858",63,237,15210
39,Aquaria,84.02%,"5,775",5,99,24420
40,Silent Hunter 5®: Battle of the Atlantic,44.27%,"5,607",32,394,48110
41,Ace of Seafood,82.52%,"5,370",4,169,450500
42,Reveal The Deep,80.39%,"4,926",1,140,411560
43,Stirring Abyss,80.92%,"4,215",1,98,1178210
44,Insaniquarium Deluxe,92.07%,"4,040",52,277,3320
45,Subsiege,55.31%,"3,840",0,100,338640
47,The Aquatic Adventure of the Last Human,73.53%,"3,605",1,55,401360
48,Among Ripples,66.59%,"3,585",2,366,341720
49,Black Skylands: Origins,80.93%,"3,563",0,188,1286530
50,Plasticalypse - Submarine Adventures,56.05%,"3,119",0,3,1252480
51,X-COM: Terror From the Deep,85.31%,"2,804",16,126,7650
52,FISHERY,80.87%,"2,728",1,25,809730
53,NEO AQUARIUM - The King of Crustaceans -,74.31%,"2,659",0,32,355240
54,The Fisherman - Fishing Planet,62.03%,"2,549",64,644,1072480
55,Depth Hunter 2: Deep Dive,71.50%,"2,430",0,253,248530
58,Octogeddon,83.53%,"2,004",40,156,525620
59,Debris,62.93%,"2,003",0,17,669660
60,Koral,78.91%,"1,950",0,23,896750
61,Sipho,75.22%,"1,921",0,68,809310
62,Crash Dive,78.92%,"1,893",3,55,365260
63,Arctic Anxiety,67.27%,"1,884",1,40,1276470
64,Titanic VR,75.01%,"1,821",0,27,741430
65,Tasty Blue,84.11%,"1,816",4,108,345200
68,Aqua Kitty - Milk Mine Defender,81.24%,"1,685",0,148,263880
69,Abyss: The Wraiths of Eden,85.73%,"1,682",4,394,284710
70,Mermaid Colony,56.10%,"1,602",0,14,1073210
71,Beatbuddy: Tale of the Guardians,73.86%,"1,549",2,397,231040
72,Hydrophobia: Prophecy,59.11%,"1,411",1,705,92000
73,My Koi,86.69%,"1,397",9,148,1114130
74,Feeding Frenzy 2 Deluxe,90.64%,"1,355",21,96,3390
75,Classroom Aquatic,-,"1,349",0,1,293800
76,They Breathe,79.82%,"1,146",0,54,294140
77,FREEDIVER: Triton Down,79.76%,"1,133",0,12,995230
81,Deep Diving Simulator,61.52%,976,0,24,990030
82,Fleet Command,78.03%,968,8,37,2910
83,Abyss of Neptune,60.07%,896,0,48,1562020
84,Ocean Rift,73.49%,868,4,14,422760
86,Mythic Ocean,84.73%,841,0,14,814360
87,Anoxemia,61.17%,840,0,"2,299",338050
88,Crash Dive 2,83.33%,822,7,27,1449630
91,AquaNox 2: Revelation,69.39%,775,1,38,39640
92,Girl Amazon Survival,44.40%,750,0,"1,625",372750
93,Submarine Titans,80.57%,746,2,18,1259380
94,Project Abyss,56.23%,739,0,89,552410
95,The Rescue of Mermaids,66.87%,716,1,10,1074770
96,Insiders,80.07%,664,0,8,1488860
97,AquaNox,67.90%,652,1,27,39630
99,Tiny Bubbles,79.45%,591,1,26,705500
