Name;Rating;Followers;Online;Peak;id
Stardew Valley;96.93%;583,057;29,892;94,879;413150
Undertale;95.23%;307,354;816;10,484;391540
Crusader Kings III;91.87%;178,033;12,057;98,872;1158310
é¬¼è°·å…«è’;86.35%;170,182;1,206;184,171;1468810
å¤ªå¾ç»˜å· The Scroll Of Taiwu;80.33%;146,037;277;72,533;838350
DEAD OR ALIVE Xtreme Venus Vacation;80.53%;139,994;971;10,381;958260
Doki Doki Literature Club!;95.52%;132,697;908;7,402;698780
Mirror;95.43%;126,433;252;7,565;644560
House Party;86.30%;97,572;227;1,074;611790
NEKOPARA Vol. 1;93.39%;83,447;74;487;333600
Chinese Parents;89.77%;82,457;91;32,593;736190
Yakuza 0;92.61%;77,091;1,195;8,985;638970
Persona 4 Golden;95.36%;76,996;1,752;29,984;1113000
AIï¼ŠShoujo/AIï¼Šå°‘å¥³;74.01%;72,519;55;599;1250650
VR Kanojo / VRã‚«ãƒŽã‚¸ãƒ§;74.47%;64,162;4;66;751440
Helltaker;96.53%;64,08;151;6,509;1289310
Everlasting Summer;93.96%;63,263;816;1,823;331470
SENRAN KAGURA ESTIVAL VERSUS;91.42%;61,014;23;1,088;502800
ã‚³ã‚¤ã‚«ãƒ„ï¼ / Koikatsu Party;89.76%;58,935;189;367;1073440
Danganronpa V3: Killing Harmony;84.12%;57,127;361;4,691;567640
Fate/EXTELLA;88.91%;55,901;9;2,946;511680
NEKOPARA Vol. 3;94.32%;52,58;18;2,571;602520
éšå½¢å®ˆæŠ¤è€… The Invisible Guardian;84.45%;52,413;23;82,345;998940
Monster Girl Island: Prologue;93.74%;51,807;63;1,538;943700
NEKOPARA Vol. 2;94.43%;51,636;18;1,228;420110
HuniePop;94.23%;49,398;196;3,018;339800
SENRAN KAGURA SHINOVI VERSUS;90.92%;48,522;3;1,048;411830
Tricolour Lovestory;89.11%;46,062;30;2,733;668630
CLANNAD;94.74%;46,013;33;312;324160
Danganronpa 2: Goodbye Despair;94.28%;45,122;459;1,869;413420
AKIBA'S TRIP: Undead ï¼† Undressed;83.75%;44,805;11;507;333980
The Legend of Heroes: Trails of Cold Steel;91.80%;44,234;133;1,628;538680
Dream Daddy: A Dad Dating Simulator;87.84%;44,137;29;14,471;654880
NEKOPARA Vol. 0;91.74%;35,604;27;960;385800
Doki Doki Literature Club Plus!;93.01%;35,553;349;8,662;1388880
æ¸¯è©­å¯¦éŒ„ParanormalHK;87.19%;35,376;22;1,221;1178490
æ²³æ´›ç¾¤ä¿ å‚³ (Ho Tu Lo Shu ï¼š The Books of Dragon);77.50%;33,732;90;1,877;952860
Material Girl;89.13%;33,329;11;3,167;644570
Gaokao.Love.100Days;91.77%;32,704;3;456;347620
ä¾ å®¢é£Žäº‘ä¼ (Tale of Wuxia);75.97%;32,595;62;963;377530
Lucy -The Eternity She Wished For-;92.05%;32,283;5;193;430960
Sakura Dungeon;87.08%;32,148;37;551;407330
å¤©å‘½å¥‡å¾¡ Fate Seeker;88.50%;31,929;30;16,413;882790
Shining Resonance Refrain;68.74%;31,443;9;427;809890
Dark Elf;85.98%;29,98;10;1,263;665180
Monster Prom;90.42%;29,236;68;1,51;743450
Fairy Fencer F Advent Dark Force;81.46%;28,306;10;971;524580
Sakura Swim Club;82.73%;28,168;5;234;402180
Sakura Angels;80.82%;28,146;1;309;342380
If My Heart Had Wings;88.66%;27,726;13;239;326480
Sun Haven;84.10%;27,615;172;1,626;1432860
Tayutama 2-you're the only one-;91.48%;27,027;2;155;552280
Our End of the World;77.09%;26,431;3;720;703700
Gal*Gun: Double Peace;82.80%;25,662;2;218;511740
The Fruit of Grisaia;88.04%;25,602;10;138;345610
STORY OF SEASONS: Friends of Mineral Town;90.97%;25,266;153;3,706;978780
é›€é­‚éº»å°‡(MahjongSoul);68.74%;25,218;1,112;13,679;1329410
Senrenï¼ŠBanka;95.89%;25,173;54;1,45;1144400
LOVEÂ³ -Love Cube-;90.38%;25,094;3;380;939600
Sakura Clicker;82.28%;25,094;96;9,127;383080
Crush Crush;88.28%;25,08;1,231;2,582;459820
Home Sweet Home;83.95%;24,55;6;323;617160
Sonicomi;84.54%;24,166;0;90;444140
NEKOPARA Vol. 4;94.32%;23,795;41;2,529;1406990
TOGETHER BnB;46.71%;23,745;7;846;1239020
Sakura Spirit;76.62%;22,933;3;537;313740
Negligee;75.54%;22,088;1;218;432100
HuniePop 2: Double Date;88.39%;21,313;241;15,388;930210
ATRI -My Dear Moments-;95.11%;20,177;21;724;1230140
Erophone;76.35%;20,058;8;1,417;1506280
DATE A LIVE: Rio Reincarnation;89.41%;19,997;15;890;1047440
Succubus Cafe;81.28%;19,968;17;352;1520500
Swaying Girl;87.04%;19,791;15;1,447;1393350
HunieCam Studio;83.37%;19,263;62;2,675;426000
Rebirth:Mr Wang;77.97%;19,082;2;1,812;1394800
Maitetsu:Pure Station;92.69%;18,938;6;339;880950
eden*;91.80%;18,522;5;302;315810
Super Naughty Maid 2;83.90%;18,336;5;93;1097880
Super Seducer : How to Talk to Girls;79.32%;17,955;3;431;695920
NEKOPARA OVA;87.57%;17,566;1;470;758230
Gal*Gun 2;85.42%;17,304;13;145;851890
Super Star;76.02%;17,281;2;479;503300
å®¶æœ‰å¤§è²“ Nekojishi;89.02%;17,265;7;451;570840
OshiRabu: Waifus Over Husbandos;85.00%;16,961;5;1,126;1233270
NEKO-NIN exHeart;89.58%;16,063;0;89;407310
Otaku's Adventure;90.96%;15,888;6;2,792;937170
Robolife-Days with Aino;87.30%;15,775;28;543;1477810
The Ditzy Demons Are in Love With Me;91.69%;15,713;13;141;802870
DEEP SPACE WAIFU;93.30%;15,617;3;268;639790
Amorous;80.03%;15,372;57;438;778700
Man of the House;88.22%;15,3;134;612;1148150
