,Name,Rating,Followers,Online,Peak,id
0,Hunt: Showdown,81.17%,"396,338","10,996","32,698",594650
1,Far Cry® 5,78.14%,"374,649","10,970","92,445",552520
2,theHunter: Call of the Wild™,84.57%,"356,725","3,453","18,081",518790
3,Far Cry® 4,80.87%,"269,607",877,"16,963",298110
4,Far Cry® Primal,81.41%,"203,242",289,"14,783",371660
5,Horizon Zero Dawn™ Complete Edition,81.46%,"195,684","3,436","56,557",1151640
6,Depth,86.09%,"150,347",182,"10,916",274940
7,The Isle,81.27%,"149,049","4,363","11,973",376210
8,Far Cry 3,88.81%,"128,541",756,"23,065",220240
9,Rising World,80.77%,"111,261",47,486,324080
10,Out of Reach,57.62%,"74,168",4,437,327090
11,theHunter Classic,52.32%,"73,452",935,"3,984",253710
12,GOD EATER 2 Rage Burst,75.74%,"73,062",24,"1,491",438490
13,Night of the Dead,78.40%,"68,508","1,131","4,434",1377380
14,The Survivalists,68.56%,"58,089",71,"3,563",897450
15,Monster Hunter Stories 2: Wings of Ruin,76.08%,"55,814","6,011","34,995",1277400
16,GOD EATER 3,79.42%,"55,678",176,"9,549",899440
17,theHunter: Primal,56.26%,"54,763",7,"1,138",322920
18,Russian Fishing 4,73.41%,"54,450","6,048","8,854",766570
19,Survive the Nights,61.23%,"51,509",28,"1,716",541300
20,KINGDOMS,76.79%,"51,163",59,781,409590
21,Aliens vs. Predator™,88.01%,"42,464",72,"3,794",10680
22,BIGFOOT,72.79%,"40,616",424,"1,246",509980
23,Assassin’s Creed® III,73.41%,"40,375",44,"15,007",208480
24,Rake,67.99%,"36,506",4,113,386880
25,Ranch Simulator,80.67%,"35,892",816,"3,233",1119730
26,DYSMANTLE,89.22%,"35,094",165,"1,457",846770
27,Toukiden 2,76.00%,"34,831",7,"1,938",551730
28,Witch Hunt,84.43%,"22,660",13,130,661790
29,Toukiden: Kiwami,65.48%,"22,523",6,588,363130
30,Black Desert (Retired),64.92%,"18,238",51,"14,584",836620
31,Animallica,72.16%,"16,914",31,126,638850
32,Shark Attack Deathmatch 2,73.22%,"14,476",1,76,330580
33,Landless,49.78%,"13,031",0,37,617030
34,WolfQuest: Classic,86.75%,"12,850",2,245,431180
35,Survivalist: Invisible Strain,84.16%,"12,823",110,728,1054510
36,Age of Survival,18.87%,"12,549",0,67,369080
37,Shadows Peak,67.57%,"11,830",3,26,359940
38,Euro Fishing,61.82%,"10,633",4,414,314520
39,WolfQuest: Anniversary Edition,92.08%,"9,836",129,"2,253",926990
40,Hunt and Snare,76.43%,"9,327",5,60,944330
41,Carnivores: Dinosaur Hunter Reborn,69.31%,"6,827",1,130,293520
42,Badiya: Desert Survival,52.85%,"5,909",0,38,545050
44,Reptiles: In Hunt,50.00%,"5,120",2,25,897380
45,Open Country,41.57%,"4,915",6,355,1192010
46,Folklore Hunter,73.95%,"4,914",6,114,696220
47,The Rule of Land: Pioneers,71.58%,"4,795",3,313,1248800
48,Hunting Simulator 2,59.76%,"4,689",10,383,1135910
49,Northern Lights,56.00%,"4,401",0,78,1090800
51,Fishing Sim World®: Pro Tour,71.90%,"4,331",30,215,834280
52,On My Own,59.09%,"4,214",0,28,351730
53,Skinwalker Hunt,85.22%,"4,163",3,62,993110
55,Dinosaur Hunt,64.79%,"3,876",1,652,401190
56,Dinosis Survival,51.77%,"3,775",0,32,613270
58,Touhou Mechanical Scrollery | 幻想討幻経,51.85%,"3,297",0,256,1222050
59,Hunting Simulator,52.20%,"3,072",4,66,585080
60,9th Dawn III,83.29%,"2,686",5,437,1154850
61,Monster Hunter Stories 2: Wings of Ruin Trial Version,77.91%,"2,600",93,"1,680",1412570
63,Depth Hunter 2: Deep Dive,71.50%,"2,430",0,253,248530
64,Arctic Anxiety,67.27%,"1,884",1,40,1276470
65,Wilderness,38.82%,"1,869",0,22,1405180
66,Farmer's Life: Prologue,66.90%,"1,868",3,45,1457730
68,Astellia Royal,38.09%,"1,740",8,744,1524370
70,Rebirth of Island,54.59%,"1,711",0,115,448620
71,The Goatman,64.68%,"1,652",1,22,844330
72,Morels: The Hunt,77.41%,"1,644",0,19,1156590
73,PostCollapse,56.10%,"1,617",0,11,509770
74,Sierra Madre: The Wild West,57.19%,"1,526",0,12,970190
76,Antaria Online,64.85%,"1,447",4,143,679270
78,The Catch: Carp & Coarse Fishing,63.88%,"1,443",3,168,1237610
79,Voidigo,89.11%,"1,346",11,45,1304680
80,Zombie Training Simulator,84.72%,"1,331",5,199,446620
81,Great Hunt: North America,38.22%,"1,309",0,8,785670
83,Thousand Threads,74.59%,"1,081",0,24,972770
84,Monster Shooter,31.03%,"1,064",0,2,1353850
85,Nira,72.35%,"1,055",0,17,1171120
87,e-River Cabin Journal,54.20%,877,0,19,485820
88,INMATE: Survival,65.69%,870,1,17,746040
92,qb,67.48%,731,0,14,601400
93,Tropicalia,81.00%,725,0,14,1375760
94,Age Of Omens,68.15%,706,0,5,1016660
95,The Island,54.84%,693,5,10,1377590
98,Be Hero,83.68%,649,0,44,1299790
99,Trials of Wilderness,68.80%,628,2,3,934180
