,Name,Rating,Followers,Online,Peak,id
0,Project Winter,82.05%,"90,191",390,"38,794",774861
1,Fade to Silence,62.23%,"41,259",4,678,706020
2,SNOW - The Ultimate Edition,64.85%,"29,658",6,"2,779",244930
3,SnowRunner,80.61%,"25,886","2,079","5,865",1465360
4,Röki,88.38%,"9,296",215,219,1067540
6,Field of Glory II: Medieval,79.50%,"4,537",22,318,1368870
7,BORIS THE ROCKET,86.02%,"3,848",1,40,1329080
8,Sepia Tears,83.55%,"3,734",0,102,429300
9,Living together with Fox Demon,70.67%,"3,271",98,99,1528560
10,Relicta,68.47%,"2,508",5,75,941570
11,Christmas Adventures: A Winter Night's Dream,43.17%,"2,502",0,11,1490790
12,Kinoko,79.95%,"2,317",0,40,1059120
13,Chasing Tails ~A Promise in the Snow~,67.93%,"2,286",65,86,1555110
14,Infinite Air with Mark McMorris,71.88%,"1,916",1,77,488300
15,Til Nord,75.78%,"1,808",11,49,1490860
16,Stonefly,76.18%,"1,591",1,30,1198590
17,Ski Region Simulator - Gold Edition,76.08%,"1,395",3,102,270950
18,Path of Giants,90.10%,"1,293",0,43,1181400
20,Bottle,62.19%,"1,150",0,239,463030
21,Hidden Paws,82.49%,"1,115",1,56,816490
22,Snow Moto Racing Freedom,68.60%,"1,090",0,13,587400
23,Yukie: A Japanese Winter Fairy Tale,65.03%,"1,073",0,3,352810
24,The Snowboard Game,74.44%,923,3,23,803830
25,Icebound,73.26%,889,0,4,334260
27,Flower Shop: Winter In Fairbrook,61.96%,761,0,62,311680
30,Beast Quest,44.20%,573,0,6,707060
31,Food Chain,62.34%,572,0,69,1247370
32,White Hell,76.90%,515,5,19,1378360
33,The Frost Rebirth,47.22%,507,0,9,1499750
34,Hot Pot For One,69.50%,494,0,10,1385650
35,DawnWander,50.00%,373,0,6,1600670
36,Ski Park Tycoon,61.73%,348,1,15,346240
37,Chionophile,81.50%,326,0,7,1432750
38,Heart of Enya,73.63%,317,0,6,1543970
39,Grunt1914,60.17%,307,0,10,1059040
40,FreakOut: Extreme Freeride,71.94%,304,0,8,304540
41,Winter War 1939,78.55%,300,1,6,1352680
42,Mission in Snowdriftland - Snowlogue,80.19%,299,1,21,1561750
44,Hiking Simulator 2018,37.10%,265,0,5,791950
45,Waddle Home,76.76%,229,0,5,486290
46,Super Snow Fight,75.86%,218,0,5,365090
47,Intrepid Izzy,81.03%,214,0,4,908560
48,Snowcat Simulator,35.48%,213,0,5,273860
49,Ski Jumping Pro VR,53.00%,207,0,4,1063470
50,Cubers: Arena,75.44%,189,0,4,862700
51,Snowpainters,79.08%,186,4,19,1545710
52,Ascent,86.61%,185,1,16,1464000
54,Fortune and Gloria,57.39%,179,0,2,881060
55,SantaCraft,83.42%,166,0,12,1486840
56,FICTION #F3F,73.27%,161,0,3,1480540
58,Platzkart Simulator,48.21%,158,0,15,1403710
59,Ragnarok Chess,67.93%,152,0,5,1593180
60,Everybody Wham Wham,80.30%,147,0,3,1510630
61,Final Winter,70.84%,140,0,3,1497510
62,Spring Bonus,76.76%,135,1,9,619930
63,Facility 47,74.20%,128,0,5,1365390
65,Jewel Match Solitaire Winterscapes,81.63%,109,2,18,993780
66,One Hunt,65.38%,106,0,3,894330
67,ArcticBoy: The Interactive Story,67.06%,104,0,7,1587970
68,Escape the Lab,67.06%,98,0,3,1141840
69,Bunny Hill,74.99%,95,0,5,1424350
70,Snowballer,55.66%,95,0,45,590790
71,Hiking Simulator 2017,49.42%,90,0,4,668890
74,Pole of Cold,71.55%,72,0,3,1446100
75,Nino Maze LOFI,79.89%,72,0,5,1333460
76,Where the Snow Settles,75.00%,71,0,4,1428970
77,Dooria,59.60%,71,0,3,1343990
78,Sayonara Electric,67.06%,70,0,1,1274690
80,Scramble,64.78%,64,0,3,1478210
81,Light Up the Holidays,67.06%,61,0,2,957850
82,Hoards of Glory,78.30%,59,0,7,1445260
83,Steep Slopes,72.76%,55,1,6,1543760
84,Trekking and Camping | 远足与露营,63.89%,54,0,3,1554780
86,SnowFighters,64.08%,53,0,5,1290680
87,Chill X,37.49%,46,0,1,1482580
89,Dream Mirror,50.00%,41,0,2,1682950
90,The Misadventure Of Melon,70.57%,41,0,2,972520
91,Imaginaria,67.06%,40,0,2,1600550
93,TOP TRUCK DRIVER,55.66%,38,0,2,1547820
94,The Magic Elevator,57.39%,38,0,2,1293850
96,The Games: Winter Edition,59.42%,36,0,1,1449400
97,Slip 'n Dip,59.97%,35,0,4,1360790
99,Balloon Blast,72.42%,34,0,11,1294720
