,Name,Rating,Followers,Online,Peak,id
1,Train Sim World® 2020,75.53%,"36,371",90,"1,933",530070
2,The Beginner's Guide,84.89%,"36,256",4,947,303210
3,Everything,80.35%,"32,654",12,629,582270
4,AER Memories of Old,83.06%,"19,076",27,483,331870
5,Spirit of the North,85.77%,"12,062",16,319,1213700
8,theBlu,80.53%,"6,896",8,100,451520
9,Through the Darkest of Times,80.17%,"6,774",7,344,1003090
10,Tengami,77.54%,"6,048",0,58,299680
11,Mosaic,67.82%,"5,826",4,67,349270
12,One Hand Clapping,74.74%,"5,381",9,115,893720
13,Paws and Soul,51.49%,"5,207",0,19,911510
14,Remothered: Broken Porcelain,52.83%,"4,363",6,246,1142390
15,The Path,72.29%,"3,493",1,83,27000
16,Feather,76.36%,"3,199",0,30,545040
17,Nephise Begins,60.80%,"2,777",12,482,628950
18,Britannic: Patroness of the Mediterranean,83.63%,"2,439",4,396,1259560
20,Anime show 动漫时装秀,52.78%,"2,214",0,5,809840
21,Drizzlepath: Glass,59.71%,"2,092",0,6,581370
22,Etherborn,67.83%,"2,032",0,36,812160
23,Nephise,65.69%,"2,008",22,137,606860
24,Drizzlepath: Genie,59.08%,"1,968",0,60,438340
25,Townsmen VR,59.97%,"1,946",0,17,749960
26,SoundSelf: A Technodelic,74.10%,"1,882",1,21,590510
27,The Good Time Garden,90.66%,"1,833",0,73,1200860
28,Banyu Lintar Angin - Little Storm -,89.71%,"1,830",0,10,744800
29,Bottle: Pilgrim Redux,67.28%,"1,785",0,12,735350
30,Waking,61.92%,"1,782",0,19,1068600
32,Fighting Clans,56.14%,"1,433",0,7,1227360
33,Trespassers,68.00%,"1,426",0,5,677240
34,Drizzlepath,52.74%,"1,368",0,46,355760
35,Subway Simulator,53.02%,"1,282",2,15,785660
36,Nephise: Ascension,74.58%,"1,204",0,6,803150
37,Bottle,62.19%,"1,150",0,239,463030
38,"BEAR, VODKA, STALINGRAD!🐻",88.41%,"1,119",0,24,1232130
39,Imagine Lifetimes,64.64%,"1,098",0,35,1229570
40,connect - Virtual Home (3D or VR),54.65%,970,0,10,703060
41,The Hunting God,64.55%,868,0,7,679190
42,Spaceship Commander,51.89%,848,0,4,833180
43,AENTITY,64.83%,845,0,5,536690
44,Thirty Flights of Loving,59.65%,845,0,118,214700
45,Drizzlepath: Deja Vu,74.10%,833,0,8,860650
46,Feast Your Eyes,76.58%,823,0,7,712260
47,Rhome,83.35%,794,0,33,1062060
48,Close Me,71.81%,767,3,31,671980
50,Blueplanet VR,73.89%,728,0,7,1264180
51,Heal,82.13%,719,1,17,1056610
52,Yuki Onna | 雪女,69.57%,717,4,24,1191070
53,The Last Show of Mr. Chardish,83.42%,704,0,16,1164060
54,Ord.,84.60%,702,0,14,1079000
55,Oneiros,79.64%,678,0,20,869170
56,The Dead Tree of Ranchiuna,65.47%,668,0,4,1015430
57,Griptape Backbone,86.46%,667,0,14,581120
58,"Dr Livingstone, I Presume?",78.83%,662,0,14,1237510
59,The Dawn of Art,82.99%,618,0,11,1236560
60,🔴 Circles,81.34%,585,0,7,460250
61,Gloomy Eyes,78.35%,532,1,5,1111620
62,Meditation VR,65.69%,499,0,11,1301850
63,The Bond,84.98%,495,0,8,911250
64,Indecision.,79.14%,483,0,16,720030
65,TrainerVR,80.69%,480,0,7,763790
66,Great British Railway Journeys,66.57%,479,0,13,1226690
67,YoloMouse,86.87%,467,"4,171","4,360",1283970
68,Shrinking Pains,78.11%,463,0,36,839560
69,Think Space,68.80%,447,0,5,506780
71,Overture Music Visualization,68.20%,439,0,5,1026380
72,"BEAR, VODKA, FALL OF BERLIN! 🐻",85.15%,426,0,18,1258710
73,Titanic: The Experience,56.34%,420,0,9,727910
75,Cosmic Flow: A Relaxing VR Experience,86.89%,398,1,9,1267950
76,The Automatician,57.21%,392,0,6,657700
77,Hospitality VR,68.61%,390,0,12,1164750
78,-KLAUS-,78.57%,389,0,6,729370
79,Island Explorer VR,62.91%,388,0,20,1201640
80,Virtual Exhibition,83.24%,382,0,7,1318980
81,Pluviophile,84.28%,377,0,4,1322170
82,Spellbound Spire,84.32%,355,1,11,1248270
83,Wanderlust: Transsiberian,69.94%,351,0,5,1233420
84,Yi and the Thousand Moons,76.42%,344,0,2,701730
85,IIN,69.44%,323,0,3,795110
87,Симулятор Сидения у Подъезда,80.83%,299,2,9,1031920
88,Britannic,71.31%,288,0,14,1209910
89,Zen Universe,54.48%,287,0,4,1281600
91,ASTRA-256 Assembler,68.97%,279,0,4,1260310
93,Gravity Bone,84.68%,262,2,9,974090
95,Obscura,57.73%,238,0,5,563420
96,Anomalies,73.00%,236,0,13,546780
97,DragonRideVR,75.77%,229,0,5,1197620
98,The Marvellous Machine,72.08%,222,0,136,1000510
99,Temporality,78.65%,212,0,62,942600
