appid,name,developer,publisher,score_rank,positive,negative,userscore,owners,average_forever,average_2weeks,median_forever,median_2weeks,price,initialprice,discount,ccu
1137260,Tower Defense: Defender of the Kingdom,IO Games,IO Games,,7,5,0,"0 .. 20,000",0,0,0,0,299,299,0,0
1146660,Solar Cram School/[太阳补习班],Gemini Stars Games,Gemini Stars Games,,17,11,0,"0 .. 20,000",0,0,0,0,299,299,0,0
1151860,Last Chance VR,NotAGamer不玩遊戲,NotAGamer不玩遊戲,,4,2,0,"0 .. 20,000",0,0,0,0,0,0,0,0
1148030,Esport Test Toolkit (ETT),Ahlman Game Studio,Ahlman Game Studio,,8,0,0,"0 .. 20,000",0,0,0,0,0,0,0,0
1142450,GrapplingHook,RQ-Games,RQ-Games,,6,0,0,"0 .. 20,000",0,0,0,0,0,0,0,0
1154150,Evrisia Art,Electric Puppets Inc.,Electric Puppets Inc.,,3,2,0,"0 .. 20,000",0,0,0,0,0,0,0,0
1149430,KiKiMiMi2 / 听能力搜查官2,LIKEMAD_GAMES/ツシマユキヒロ,Pujia8 Studio,,22,0,0,"0 .. 20,000",0,0,0,0,99,99,0,0
570900,Art Plunge,Space Plunge,Space Plunge,,82,1,0,"0 .. 20,000",0,0,0,0,199,199,0,0
1152640,Snake: The Elder Forest,Fractal Dimension Games,Fractal Dimension Games,,2,1,0,"0 .. 20,000",0,0,0,0,799,799,0,0
1153550,Dark Fairy Fantasy,JustE Fantasy,JustE Publishing,,0,3,0,"0 .. 20,000",0,0,0,0,199,199,0,0
1112870,Cardaria,TripleSky,TripleSky,,17,9,0,"0 .. 20,000",0,0,0,0,0,0,0,0
770490,Death in the Water,Lighthouse Games Studio,Lighthouse Games Studio,,45,22,0,"0 .. 20,000",0,0,0,0,89,299,70,0
1145770,Cuties Dungeon,"Aleksander Vargas, True Nightmare","Aleksander Vargas, True Nightmare",,27,4,0,"0 .. 20,000",0,0,0,0,0,0,0,0
1158280,Legion 51,Nik Zayne,Nik Zayne,,79,12,0,"0 .. 20,000",0,0,0,0,299,299,0,0
1045840,Intruders: Hide and Seek,Tessera Studios,Daedalic Entertainment,,133,46,0,"0 .. 20,000",0,0,0,0,1999,1999,0,1
1152410,Karate Cat,Take Toad,Take Toad,,80,4,0,"0 .. 20,000",0,0,0,0,49,99,51,0
1148730,Errant Kingdom (Chapters 0-5),Lunaris Games,Lunaris Games,,48,5,0,"0 .. 20,000",0,0,0,0,1999,1999,0,3
1157260,GEESE vs CTHULHU,Anatoliy Loginovskikh,Anatoliy Loginovskikh,,34,5,0,"0 .. 20,000",0,0,0,0,799,799,0,0
1128680,DOUBLE INVASION!!,Goose Ladder Games,Goose Ladder Games,,2,0,0,"0 .. 20,000",0,0,0,0,799,799,0,0
1160870,Dinosaur Hunting Patrol 3D Multiplayer Online,Vicente Rosell Roig,Vicente Rosell Roig,,51,14,0,"0 .. 20,000",0,0,0,0,0,0,0,0
1094320,莫比乌斯之环-不属于任何人的交响悲歌-MOBIUS & ELEGY BELONGS TO NOBODY,"雾屿镜式制作组, 睡神飞工作室-SleeeeepFly",咕咕工作室,,210,74,0,"0 .. 20,000",0,0,0,0,1099,1099,0,1
1067580,Bonfire,MoaCube,MoaCube,,22,4,0,"0 .. 20,000",0,0,0,0,1799,1799,0,0
877330,Castle Kong,Drowning Monkeys Games,Drowning Monkeys Games,,38,5,0,"0 .. 20,000",0,0,0,0,0,0,0,0
1166580,Best Plumber,High and Wide,khukhrovr,,34,9,0,"0 .. 20,000",0,0,0,0,99,99,0,0
1151680,Galactic Rangers VR,DGMA,DGMA,,44,8,0,"0 .. 20,000",0,0,0,0,999,999,0,0
1166830,Lost Empire 2977,"J1 Game studio, BDU",J1 Game Studio,,1,1,0,"0 .. 20,000",0,0,0,0,1999,1999,0,0
1167270,Tank Impact,MiCake,MiCake,,1,4,0,"0 .. 20,000",0,0,0,0,99,99,0,0
1167170,Guilty Parade,Nozori Games,Nozori Games,,94,3,0,"0 .. 20,000",0,0,0,0,499,499,0,2
824830,Corpse Party: Blood Drive,"MAGES. Inc., 5pb.",XSEED Games,,160,23,0,"0 .. 20,000",0,0,0,0,1999,1999,0,4
1162470,IIslands of War,jwiggs,jwiggs,,88,8,0,"0 .. 20,000",0,0,0,0,999,999,0,3
1166600,The Fog Knows Your Name,Choice of Games,Choice of Games,,42,6,0,"0 .. 20,000",0,0,0,0,599,599,0,0
1148710,Miriel Saga,NG+ Studios,NG+ Studios,,3,1,0,"0 .. 20,000",0,0,0,0,1499,1499,0,0
1165380,To Be Headed Or Not To Be,Fruits of Yggdrasil Studio,Fruits of Yggdrasil Studio,,56,31,0,"0 .. 20,000",0,0,0,0,0,0,0,0
1006220,Type Knight,chaikadev,chaikadev,,86,8,0,"0 .. 20,000",8,0,8,0,399,399,0,1
1157910,Voxel Scavenger,ZUGALU ENTERTAINMENT,ZUGALU ENTERTAINMENT,,10,1,0,"0 .. 20,000",0,0,0,0,99,99,0,0
1162280,Eternal Hope,Doublehit Games,Kwalee Ltd,,126,7,0,"0 .. 20,000",0,0,0,0,669,999,33,0
1129250,NEKO-NIN exHeart 3,Whirlpool,Sekai Project,,174,9,0,"0 .. 20,000",241,0,241,0,999,999,0,0
1153470,Empire Live,Osmose Studio,Osmose Studio,,12,1,0,"0 .. 20,000",0,0,0,0,1199,1199,0,0
1158840,记忆重现/Rememory,深圳市百恩互动娱乐有限公司,湖南快乐芒果互娱科技有限公司,,52,22,0,"0 .. 20,000",0,0,0,0,499,499,0,0
1177130,NABOKI,"Maciej Targoni, Wojciech Wasiak",Maciej Targoni,,196,11,0,"0 .. 20,000",0,0,0,0,99,99,0,1
1176190,Space Candy,High and Wide,khukhrovr,,24,14,0,"0 .. 20,000",0,0,0,0,49,99,51,0
1176460,They Came From a Communist Planet,Colestia,Colestia,,90,10,0,"0 .. 20,000",0,0,0,0,0,0,0,0
1136420,Gates of Hell,Super Icon Ltd,Super Icon Ltd,,2,4,0,"0 .. 20,000",0,0,0,0,799,799,0,0
1179220,Gaijin Troubles,Grim's Studio,Grim's Studio,,35,15,0,"0 .. 20,000",0,0,0,0,999,999,0,0
1181570,Feria d'Arles,Tom Simpson,Tom Simpson,,42,2,0,"0 .. 20,000",0,0,0,0,399,399,0,0
1153980,Darkness Maze Cube - Hardcore Puzzle Game,YAW Studios,YAW Studios,,33,2,0,"0 .. 20,000",0,0,0,0,299,299,0,0
1183320,Bundle Kitt,James Earl Cox III,James Earl Cox III,,30,0,0,"0 .. 20,000",0,0,0,0,0,0,0,0
1156500,Project Apocalypse,Sargonius,Sargonius,,6,0,0,"0 .. 20,000",0,0,0,0,699,699,0,0
1142440,Thanks For Listening,"Christopher Chang, Makena Williams",Christopher Chang,,1,0,0,"0 .. 20,000",0,0,0,0,99,99,0,0
1178500,Crazy Eights 3D Premium,BufoProject,BufoProject,,5,1,0,"0 .. 20,000",0,0,0,0,999,999,0,0
1161880,Vaporum: Lockdown,"Fatbot Games, s. r. o.","Fatbot Games, s. r. o.",,153,20,0,"0 .. 20,000",0,0,0,0,1799,1799,0,4
1182090,Mr. Pumpkin 2: Kowloon walled city,Cotton Game,Cotton Game,,163,17,0,"0 .. 20,000",0,0,0,0,599,599,0,2
1180630,Swordia,Affliction Networks,Affliction Networks,,11,11,0,"0 .. 20,000",0,0,0,0,0,0,0,0
781840,Sub Terra Draconis,Crystal Shard,Crystal Shard,,1,0,0,"0 .. 20,000",0,0,0,0,999,999,0,0
1184210,Fragile,Beer Night Studio,Beer Night Studio,,170,74,0,"0 .. 20,000",0,0,0,0,999,999,0,3
1044900,圣山ShenShan,"lynchhead, lynchhead",lynchhead,,1,1,0,"0 .. 20,000",0,0,0,0,399,399,0,0
1185190,Climb Challenge,MVE,MVE,,1,1,0,"0 .. 20,000",0,0,0,0,199,199,0,0
1163740,Card Hog,SnoutUp,SnoutUp,,308,9,0,"0 .. 20,000",0,0,0,0,399,399,0,6
1185570,Stickman go,Hiddenbutterfly Network,Hiddenbutterfly Network,,2,3,0,"0 .. 20,000",0,0,0,0,99,99,0,0
1185630,CubeParkour,Pit Forest,Pit Forest,,4,0,0,"0 .. 20,000",0,0,0,0,499,499,0,0
866770,Spaceteam VR,Cooperative Innovations,Cooperative Innovations,,10,5,0,"0 .. 20,000",0,0,0,0,1999,1999,0,0
1178510,Gin Rummy 3D Premium,BufoProject,BufoProject,,2,3,0,"0 .. 20,000",0,0,0,0,1499,1499,0,0
1187250,Consumed Awakening,Birchislet Gaming,Birchislet Gaming,,3,0,0,"0 .. 20,000",0,0,0,0,1099,1099,0,0
1187910,Third Rule of Universe.,Mifos Games,Mifos Games,,2,1,0,"0 .. 20,000",0,0,0,0,399,399,0,0
1193550,Ruthless Conquest,Candy Rufus Games,Candy Rufus Games,,48,10,0,"0 .. 20,000",0,0,0,0,0,0,0,0
1185680,White Wings ホワイトウィングス,Pureworks Japan 株式会社,Pureworks Japan 株式会社,,53,64,0,"0 .. 20,000",0,0,0,0,1999,1999,0,2
1118820,Seraphic Destroyer,Sonic-Alpha,NS,,5,9,0,"0 .. 20,000",0,0,0,0,90,90,0,0
1192950,Qi Qiang,CAI KAI,CAI KAI,,3,1,0,"0 .. 20,000",0,0,0,0,699,699,0,0
1116780,Shovel Knight: King of Cards,Yacht Club Games,Yacht Club Games,,108,12,0,"0 .. 20,000",0,0,0,0,999,999,0,2
1141360,Dungeon Dreams (Female Protagonist),DDreams Games,DDreams Games,,31,4,0,"0 .. 20,000",0,0,0,0,1199,1199,0,0
1195320,Mokoko,NAISU,NAISU,,138,11,0,"0 .. 20,000",0,0,0,0,499,499,0,1
1185600,神国：创造,明枭网络,明枭网络,,121,48,0,"0 .. 20,000",0,0,0,0,799,799,0,0
1191870,Goblin Times,"YaPing, Yasen",Pleasant Rain Ltd,,24,5,0,"0 .. 20,000",0,0,0,0,1499,1499,0,0
1201550,Mad Experiments: Escape Room,PlayTogether Studio,PlayTogether Studio,,156,31,0,"0 .. 20,000",0,0,0,0,1499,1499,0,8
1194940,Tower of Shades,Lame Jam,Lame Jam,,35,7,0,"0 .. 20,000",0,0,0,0,199,199,0,0
1125350,Geocells Quadcells,"Scott Chinchen, Georgie Chinchen",Scott Chinchen,,4,0,0,"0 .. 20,000",0,0,0,0,799,799,0,0
1199450,Dark Raider,UNREAL DARK STUD,Moment Interactive Limited,,42,20,0,"0 .. 20,000",0,0,0,0,99,99,0,0
1195870,零界战线,Elementman Technology,Elementman Technology,,5,2,0,"0 .. 20,000",0,0,0,0,99,99,0,0
1203400,Witchcraft: Pandoras Box,Meridian93 Studio,HH-Games,,11,2,0,"0 .. 20,000",0,0,0,0,499,499,0,0
1198290,Space Block Buster,Reality MagiQ,Reality MagiQ,,37,0,0,"0 .. 20,000",0,0,0,0,999,999,0,0
