,0
0,914230
1,877260
2,893140
3,947310
4,913780
5,874380
6,877850
7,642770
8,606920
9,260990
10,504720
11,504710
12,1071100
13,432330
14,1176110
15,262610
16,1061820
17,448830
18,1170180
19,356940
20,978990
21,572630
22,831710
23,972760
24,1228510
25,535890
26,868340
27,218680
28,679260
29,270850
30,1129310
31,944770
32,770620
33,501610
34,1148910
35,1127860
36,1127870
37,1202860
38,1093310
39,1384890
40,908290
41,1359740
42,1451150
43,1101570
44,1448900
45,1183240
46,1544600
47,1520950
48,1282180
49,1359750
50,573060
51,1214180
52,672150
53,1578390
54,1372530
55,1455120
56,1215860
57,1470320
58,1589360
59,1388490
60,1176580
61,1236760
62,1436980
63,1208950
64,1035320
65,404630
66,905150
67,259960
68,782130
69,259940
70,628570
71,259980
72,260040
73,260060
74,1547300
75,701280
76,535980
77,260000
78,1594660
79,652340
80,549280
81,260020
82,1413550
83,1388720
84,1112380
85,1303670
86,1377890
87,839570
88,689180
89,861720
90,690240
91,861740
92,845970
93,687480
94,603550
95,1581740
96,730220
97,1312740
98,767030
99,849620
100,781760
101,710120
102,699590
103,686550
104,851710
105,710110
106,705090
107,860340
108,858420
109,687490
110,878270
111,860350
112,844140
113,693890
114,1336130
115,706320
116,804600
117,796900
118,693880
119,851520
120,1144030
121,351300
122,105000
123,1016930
124,573370
125,1336160
126,546220
127,404510
128,347710
129,1227400
130,319320
131,652360
132,1210490
133,1107300
134,817540
135,923570
136,626550
137,632900
138,951430
139,39190
140,722960
141,270630
142,1133770
143,1431570
144,1424660
145,226580
146,357330
147,297860
148,241410
149,488350
150,1234940
151,1359120
152,1134020
153,1507490
154,1401560
155,1451200
156,1477950
157,1428520
158,1446930
159,1384330
160,1547030
161,1362430
162,1277320
163,1425770
164,622980
165,1669050
166,1680250
167,1355510
168,1675020
169,1430720
170,1489820
171,1628480
172,1456770
173,1414840
174,1511310
175,1651460
176,1069050
177,1054550
178,1077440
179,516030
180,918430
181,1169690
182,826740
183,493080
184,557410
185,1163740
186,536040
187,1073490
188,1380650
189,965120
190,924020
191,1422190
192,1394130
193,1383510
194,997950
195,996370
196,867470
197,1135860
198,1371220
199,489370
200,514990
201,680860
202,828660
203,305660
204,1156500
205,1082220
206,794780
207,647980
208,1590850
209,1402580
210,1362310
211,1575260
212,1257930
213,1451360
214,1316050
215,1509670
216,1323350
217,737600
218,709020
219,1325960
220,1299260
221,1491850
222,1302000
223,1332280
224,1600600
225,1526360
226,796130
227,1454580
228,1238470
229,1461570
230,1607860
231,1351650
232,1589730
233,873840
234,286570
235,612470
236,518920
237,892380
238,820240
239,753200
240,11590
241,798330
242,348290
243,724590
244,643700
245,1339500
246,1262910
247,1077470
248,1277950
249,1089820
250,806960
251,1244930
252,1315120
253,853480
254,891310
255,1365400
256,696840
257,1516560
258,1208090
259,1443690
260,1425720
261,1624140
262,1607140
263,1281350
264,1374900
265,1540130
266,939400
267,1106940
268,1192640
269,373650
270,1237980
271,350150
272,285500
273,326150
274,418060
275,997710
276,1262060
277,262810
278,1038280
279,620640
280,1184820
281,63700
282,360640
283,955320
284,1070190
285,293880
286,1034280
287,430020
288,418270
289,983980
290,407880
291,1047830
292,968760
293,218640
294,306670
295,666570
296,474210
297,355980
298,832770
299,276870
300,12710
301,1213230
302,448290
303,483770
304,287600
305,307230
306,400660
307,263560
308,793680
309,588920
310,6200
311,1124560
312,333210
313,57650
314,263820
315,378080
316,319760
317,202130
318,712810
319,741500
320,296030
321,1271750
322,599160
323,1155660
324,793830
325,883970
326,314560
327,703880
328,247240
329,325930
330,337480
331,513890
332,351860
333,351870
334,401820
335,440800
336,368760
337,416340
338,415390
339,286520
340,688620
341,1227680
342,1509080
343,1452260
344,1493880
345,1229900
346,1226640
347,750520
348,1044410
349,965600
350,337220
351,1340640
352,1675090
353,1270620
354,1379560
355,1481440
356,804490
357,488920
358,296770
359,1002430
360,939990
361,682080
362,779130
363,777430
364,1146010
365,544540
366,1237540
367,1163090
368,500480
369,1182060
370,565670
371,1047380
372,1340300
373,609010
374,1231970
375,526590
376,1192020
377,1313310
378,1399140
379,1254860
380,909220
381,1524340
382,1525060
383,1177330
384,1346300
385,1073410
386,792720
387,1649790
388,1647240
389,1447730
390,721420
391,1498840
