,Name,Rating,Followers,Online,Peak,id
0,RPG Maker MV,88.46%,"86,315",830,"2,486",363890
1,RPG Maker VX Ace,90.82%,"24,023",171,"4,196",220700
2,GameMaker Studio 2 Desktop,81.91%,"17,234",305,470,585410
3,Action! - Gameplay Recording and Streaming,82.53%,"15,836",372,737,228180
4,ShareX,91.82%,"14,994",777,"1,173",400040
5,Visual Novel Maker,65.51%,"12,636",10,166,495480
6,Pixel Game Maker MV,68.74%,"12,136",44,152,837510
7,AppGameKit Classic: Easy Game Development,79.33%,"11,925",6,"1,007",325180
8,RPG Maker MZ,72.77%,"11,530",256,923,1096900
9,KumaKuma Manga Editor,77.98%,"8,417",1,142,1020820
10,Stream Avatars,90.35%,"7,184","1,468","1,825",665300
11,"Movavi Video Suite 17 - Video Making Software - Video Editor, Video Converter, Screen Capture, and more",78.14%,"6,731",134,757,795630
12,Manga Maker Comipo,73.14%,"6,262",12,144,262490
13,Clickteam Fusion 2.5,85.11%,"5,357",107,495,248170
14,RPG Maker XP,87.33%,"5,353",144,257,235900
15,SMILE GAME BUILDER,81.78%,"4,795",12,45,483950
16,001 Game Creator,70.59%,"4,765",9,42,347400
17,Discord Bot Maker,85.49%,"4,407",184,397,682130
18,FPS Monitor – hardware in-game & desktop overlays,82.35%,"3,929",116,321,966610
19,RPG Maker 2003,84.56%,"3,349",38,141,362870
20,"MovieMator Video Editor Pro - Movie Maker, Video Editing Software",58.41%,"3,103",16,42,919280
21,Neos VR,82.61%,"2,992",189,432,740250
22,小黑盒加速器,77.52%,"2,926",419,"2,449",1447430
23,LIV,83.94%,"2,791",57,111,755540
24,Nimble Writer,82.25%,"2,739",45,80,348200
25,"Movavi Video Suite 18 - Video Making Software - Edit, Convert, Capture Screen, and more",75.36%,"2,570",53,261,973600
26,Virtual DJ - Broadcaster Edition,49.53%,"2,547",1,35,224380
27,GameMaker Studio 2 Mobile,68.83%,"2,234",22,42,585620
28,ePic Character Generator,79.41%,"2,050",1,21,408930
29,Multiplicity,45.98%,"1,773",0,12,620040
30,"Movavi Video Suite 2020 Steam Edition - - Video Making Software - Edit, Convert, Capture Screen, and more",73.72%,"1,665",85,213,1182930
31,Driver Booster 3 for STEAM,74.28%,"1,418",7,91,403040
32,Defold,76.60%,"1,395",1,23,1365760
33,akeytsu Indie 2017,77.90%,"1,244",0,11,446060
34,Visual Novel Engine,68.03%,"1,228",0,9,665040
35,GameMaker Studio 2 Web,64.07%,"1,189",6,13,585600
36,RPG Maker 2000,78.50%,"1,137",5,22,383730
37,AppGameKit Studio,73.66%,"1,136",4,21,1024640
38,RPG Maker VX,75.82%,"1,094",7,29,521880
39,Driver Fusion - The Best Driver & Device Solution,66.32%,"1,058",36,77,234820
40,GameMaker Studio 2 UWP,59.60%,"1,022",1,5,585610
41,"DvDrum, Ultimate Drum Simulator!",76.11%,"1,009",1,13,385130
42,VeeR VR:VR Video and Movie Platform,76.91%,988,1,12,650090
43,Movavi Video Editor Plus 2021 - Video Editing Software,75.10%,862,42,69,1418800
44,Nekoview,81.67%,851,1,16,1197580
45,Gecata by Movavi 5 - Game Recording Software,67.51%,840,16,59,769670
46,DreamDesk VR,42.04%,820,0,4,520210
47,Movavi Photo Editor,63.52%,736,5,26,982520
48,Clickteam Fusion 2.5 Free Edition,74.26%,703,8,38,478960
49,KOPICS,56.83%,656,1,6,904300
50,Creatry — Easy Game Maker & Game Builder App,32.07%,607,0,3,1194690
51,Supermedium - Virtual Reality Browser,64.44%,602,0,11,803010
