,Name,Rating,Followers,Online,Peak,id
0,Life is Strange - Episode 1,95.03%,"255,042",336,"18,260",319630
1,BioShock Infinite,93.88%,"124,660",649,"65,332",8870
2,Quantum Break,83.74%,"105,279",87,"2,719",474960
3,Titanfall® 2,94.05%,"90,111","3,751","27,631",1237970
4,STEINS;GATE,94.62%,"82,695",110,"1,238",412830
5,Last Epoch,84.70%,"72,047","1,044","7,273",899770
6,Kung Fury,95.76%,"41,750",0,417,374570
7,STEINS;GATE 0,92.33%,"30,662",47,787,825630
8,CHRONO TRIGGER®,83.15%,"29,323",231,846,613830
9,FINAL FANTASY® XIII-2,58.52%,"28,615",96,"1,883",292140
10,Evoland 2,84.28%,"28,123",9,"1,043",359310
11,The Messenger,91.43%,"25,722",42,679,764790
12,Portal Reloaded,94.27%,"22,926",157,"5,194",1255980
13,D4: Dark Dreams Don’t Die -Season One-,77.58%,"22,190",1,268,358090
14,Last Day of June,83.80%,"21,466",8,362,635320
15,Omensight: Definitive Edition,84.27%,"20,299",0,245,455820
16,Day of the Tentacle Remastered,93.09%,"19,626",20,"1,097",388210
17,The Sexy Brutale,89.47%,"18,865",7,348,552590
19,The Forgotten City,91.67%,"17,491",158,577,874260
20,Timespinner,82.35%,"17,375",4,395,368620
21,Cris Tales,60.42%,"17,005",16,348,1079830
22,Deponia Doomsday,83.24%,"16,663",26,"2,644",421050
23,Sonic Generations Collection,90.70%,"16,630",101,"1,686",71340
24,Singularity™,89.18%,"16,537",10,831,42670
25,STEINS;GATE ELITE,86.70%,"15,972",17,103,819030
26,Braid,91.21%,"15,904",9,947,26800
27,Zero Escape: The Nonary Games,90.94%,"15,771",113,960,477740
28,5D Chess With Multiverse Time Travel,92.99%,"14,720",56,649,1349230
29,Quantum League,72.55%,"14,126",1,547,651150
30,ISLAND,91.11%,"12,797",12,80,857450
32,Truberbrook / Trüberbrook,68.76%,"11,405",4,316,757300
33,The Gardens Between,89.26%,"10,974",2,138,600990
34,Time Clickers,85.66%,"10,837",232,"7,003",385770
35,No Time To Explain Remastered,76.34%,"10,749",2,513,368730
36,Accident,76.21%,"10,302",3,271,852220
37,Thinking with Time Machine,80.24%,"7,700",3,627,286080
38,Endless World Idle RPG,76.86%,"7,140",569,"2,312",840260
39,Prince of Persia: Warrior Within™,82.30%,"7,126",19,160,13500
40,Time Machine VR,60.42%,"6,987",0,17,356180
42,Time Rifters,81.96%,"6,057",0,61,270010
44,Odysseus Kosmos and his Robot Quest (Complete Season),78.70%,"5,896",0,320,645820
45,TimeShift™,75.29%,"5,848",2,205,10130
46,Kelvin and the Infamous Machine,84.27%,"5,840",2,52,376520
47,Prince of Persia®: The Sands of Time,83.66%,"5,827",8,392,13600
48,Original War,89.43%,"5,442",27,152,235320
49,YU-NO: A girl who chants love at the bound of this world,74.19%,"5,413",7,60,912450
50,Hidden Through Time,89.03%,"5,295",21,229,524910
51,Prince of Persia: The Two Thrones™,75.54%,"5,157",7,95,13530
52,Back to the Future: The Game,84.45%,"5,123",1,448,31290
54,STEINS;GATE: Linear Bounded Phenogram,90.88%,"4,838",9,454,930910
55,ANOTHER EDEN,65.96%,"4,551",213,935,1252600
56,Time Warpers,81.75%,"4,438",42,280,676500
57,Pesterquest,86.15%,"4,321",4,772,1144030
58,Gemini: Heroes Reborn,74.21%,"4,303",0,45,324650
59,Sonic CD,86.43%,"4,271",9,392,200940
60,ChronoClock,82.61%,"4,130",0,42,539660
61,Quantum League - Free Open Beta,67.90%,"3,878",0,535,1227800
62,Ceres,52.73%,"3,117",1,57,351300
63,NOSTALGIC TRAIN,71.43%,"3,102",2,218,801260
64,Sweet Dream Succubus - Nightmare Edition,68.20%,"3,039",4,28,1103490
65,Red Comrades Save the Galaxy: Reloaded,86.70%,"2,627",3,227,415610
66,Clocker,81.66%,"2,508",1,37,916050
67,Kung Fu Jesus,62.51%,"2,485",0,3,1140790
68,Elsinore,87.27%,"2,483",2,46,512890
69,A New Beginning - Final Cut,72.77%,"2,359",4,179,105000
70,TOHU,82.24%,"2,344",0,60,1075200
71,No Time,90.71%,"2,275",5,92,1043340
72,The Great Perhaps,73.57%,"2,223",1,24,1016930
73,Tap Adventure: Time Travel,60.88%,"2,083",4,"2,933",596650
75,Darkest of Days,69.53%,"1,959",0,177,37700
76,Tyler: Model 005,60.65%,"1,953",0,10,573370
77,Reminiscence,77.40%,"1,934",12,145,1675140
78,Critters for Sale,87.28%,"1,806",0,58,1078420
80,Red Comrades 2: For the Great Justice. Reloaded,78.03%,"1,597",0,109,443360
81,Chupa Chupa VR,79.06%,"1,515",0,16,1336160
82,Red Comrades 3: Return of Alaska. Reloaded,75.00%,"1,512",3,96,546220
83,Heaven's Hope - Special Edition,76.28%,"1,456",1,47,404510
84,Perils of Man,72.89%,"1,440",0,71,347710
85,Over the Alps,84.45%,"1,429",0,19,1227400
86,Date Warp,81.37%,"1,429",0,13,301380
87,Area-X,80.00%,"1,424",0,5,350550
89,Time Mysteries 3: The Final Enigma,78.62%,"1,222",1,232,319320
90,Time Recoil,73.53%,"1,201",0,14,625910
91,Transpose,82.44%,"1,191",0,169,835950
92,BFF or Die,71.35%,"1,180",0,11,652360
95,YesterMorrow,73.25%,"1,112",0,24,1210490
96,Conduct DELUXE!,77.90%,"1,090",1,19,737870
97,Atlas Rogues,60.33%,"1,017",1,231,1449540
98,AeternoBlade II: Director's Rewind,69.76%,"1,015",0,14,1249070
99,Down in Bermuda,67.91%,"1,006",0,30,1107300
