,Name,Rating,Followers,Online,Peak,id
0,Besiege,93.79%,"281,869",248,"11,206",346010
1,Mad Max,89.84%,"215,925",505,"33,356",234140
3,Crossout,75.81%,"98,196","1,846","9,701",386180
4,Battlefield: Bad Company™ 2,84.03%,"79,644",145,"21,923",24960
5,RAGE 2,60.35%,"76,166",129,"13,673",548570
6,From the Depths,87.43%,"66,625",463,"1,700",268650
7,Sins of a Solar Empire®: Rebellion,90.57%,"52,909",604,"93,109",204880
8,Trailmakers,88.44%,"48,654",481,"2,132",585420
9,SimplePlanes,89.49%,"47,929",154,885,397340
10,Star Control®: Origins,69.84%,"38,920",20,"2,601",271260
11,STAR WARS™ Battlefront™ II,87.67%,"38,131","1,026","10,489",1237950
12,Ashes of the Singularity: Escalation,74.00%,"26,800",50,"3,831",507490
13,Disintegration,49.48%,"26,487",0,553,536280
14,Need for Speed™ Most Wanted,76.76%,"26,011",102,"1,964",1262560
15,GRIP: Combat Racing,82.14%,"22,087",19,622,396900
16,Aquanox Deep Descent,49.42%,"21,927",1,"1,248",254370
17,World of Tanks,56.94%,"21,664","1,017","4,196",1407200
18,MechWarrior 5: Mercenaries,79.57%,"21,343","1,079","5,869",784080
19,Heavy Metal Machines,72.07%,"18,919",16,442,331360
20,Convoy,76.33%,"17,468",3,464,318230
21,Brigador: Up-Armored Edition,91.61%,"15,645",26,616,274500
22,Gas Guzzlers Extreme,83.27%,"12,563",5,355,243800
23,Altitude,87.80%,"12,064",12,"4,940",41300
24,VTOL VR,92.91%,"11,920",88,217,667970
25,Need for Speed™ Payback,83.74%,"11,738",402,"1,499",1262580
26,Combat Air Patrol 2: Military Flight Simulator,50.75%,"11,474",0,81,347170
27,Need for Speed™ Hot Pursuit Remastered,75.66%,"11,241",116,983,1328660
28,DRONE The Game,78.49%,"10,621",1,551,987020
29,Rebel Galaxy Outlaw,64.13%,"8,869",20,318,910830
30,HROT,92.68%,"8,640",23,258,824600
31,Warpips,82.44%,"8,528",59,610,1291010
32,Sky Rogue,86.95%,"8,205",7,107,381020
33,Panzer Knights,77.92%,"8,040",19,248,1416230
34,Pacer,70.66%,"7,389",1,122,389670
35,STAR WARS™ Battlefront,74.37%,"7,043",28,623,1237980
36,Carmageddon: Max Damage,73.82%,"5,645",17,593,505170
37,Mighty Goose,78.62%,"5,518",4,283,1299360
38,Empires Mod,81.68%,"5,363",0,126,17740
39,Impulse of War,63.83%,"5,220",0,241,520860
40,Crashday Redline Edition,84.31%,"5,061",3,264,508980
41,Diesel Guns,70.26%,"5,016",1,12,355400
43,Dieselpunk Wars,68.72%,"4,531",0,51,952240
45,FlatOut 2™,92.70%,"4,280",58,397,2990
46,Dark Future: Blood Red States,62.88%,"4,260",1,99,370870
47,Scraps: Modular Vehicle Combat,70.21%,"4,226",1,31,350150
48,Hotshot Racing,71.53%,"4,087",3,338,609920
49,FlatOut: Ultimate Carnage,82.61%,"3,775",18,168,12360
50,Alex Kidd in Miracle World DX,79.55%,"3,543",2,174,1333470
51,Hard Truck Apocalypse / Ex Machina,79.65%,"3,399",8,169,285500
52,Rude Racers: 2D Combat Racing,77.52%,"3,218",0,18,1099440
53,Vertical Strike Endless Challenge,72.83%,"3,170",1,21,313390
55,FlatOut,88.99%,"3,057",11,84,6220
56,ΔV: Rings of Saturn,85.31%,"3,048",11,82,846030
57,D.I.P.R.I.P. Warm Up,74.17%,"2,890",0,588,17530
59,Void Source,73.02%,"2,634",0,189,611770
60,Death Skid Marks,86.54%,"2,617",2,150,326150
61,Warbox,82.01%,"2,611",36,112,1550710
62,V-Racer Hoverbike,82.50%,"2,383",0,12,668430
63,M.A.R.S.,57.85%,"2,320",32,"3,741",314430
65,Wave Break,80.18%,"2,101",2,42,761010
66,Post Apocalyptic Mayhem,80.64%,"1,893",1,"2,608",91900
67,Miner's Mettle,59.88%,"1,891",0,13,1058800
68,Crush Depth: U-Boat Simulator,85.20%,"1,867",0,12,1530920
70,Zombie Derby,75.14%,"1,792",0,8,831770
72,Carmageddon 2: Carpocalypse Now,82.53%,"1,648",3,85,282030
73,Stonefly,76.18%,"1,588",0,30,1198590
74,Auto Age: Standoff,64.75%,"1,540",0,72,458680
77,Carmageddon Max Pack,83.62%,"1,447",6,61,282010
78,Retrograde Arena,85.42%,"1,412",0,137,1055210
80,Raptor: Call of The Shadows - 2015 Edition,69.55%,"1,300",1,55,336060
81,Heroic Armored Company,62.10%,"1,273",1,13,1388370
82,Disassembly 3D,71.44%,"1,271",4,38,747910
83,ALTDEUS: Beyond Chronos,86.38%,"1,267",1,43,1502080
84,Dog Duty,77.52%,"1,263",0,19,578690
85,Danger Zone,65.03%,"1,247",0,52,604740
87,Blue Horizon,48.88%,"1,168",0,20,589740
88,Flatout 3: Chaos & Destruction,18.25%,"1,147",2,47,201510
89,Badland Bandits,45.03%,"1,144",0,67,378480
90,Darkwind: War on Wheels,48.41%,"1,138",2,159,295710
91,Battle Riders,63.55%,"1,127",0,19,418060
92,Death Rally,67.58%,"1,104",3,"3,351",108700
93,Speed Limit,82.83%,"1,033",0,14,1058280
95,Nightwolf: Survive the Megadome,71.84%,956,1,8,760050
96,Titan Attacks!,85.90%,909,2,192,203210
97,Quantum Rush Champions,55.66%,908,0,631,317440
98,Pocket Cars,81.56%,883,0,10,1170720
99,Waves of Steel,79.89%,873,3,54,1482750
