,Name,Rating,Followers,Online,Peak,id
0,Slay the Spire,96.40%,"178,205","7,038","33,086",646570
1,Mini Metro,93.84%,"50,113",308,"2,104",287980
2,Five Nights at Freddy's,88.74%,"44,767",76,"1,316",319510
3,CPUCores :: Maximize Your FPS,73.02%,"40,938",319,"6,139",384300
4,Orwell: Keeping an Eye On You,88.92%,"40,090",27,"154,375",491950
5,Curious Expedition,87.64%,"39,667",32,"1,038",358130
6,Home Behind,83.09%,"30,626",10,"3,083",467960
7,Transformice,84.78%,"28,434","2,060","5,636",335240
8,Dicey Dungeons,87.50%,"23,893",459,"2,994",861540
9,Ratropolis,85.44%,"21,009",72,"1,470",1108370
10,Audiosurf 2,79.34%,"20,619",29,473,235800
11,Guild of Dungeoneering,73.19%,"19,473",10,"1,793",317820
12,Otaku's Adventure,90.96%,"15,888",8,"2,792",937170
13,One Finger Death Punch,95.53%,"14,654",20,"1,921",264200
14,Banners of Ruin,78.11%,"13,524",505,"1,136",1075740
15,CHANGE: A Homeless Survival Experience,88.04%,"9,104",10,320,926140
16,LYNE,92.90%,"8,552",6,239,266010
17,The Book of Unwritten Tales 2,86.14%,"8,052",3,419,279940
18,Hook,93.89%,"7,608",0,261,367580
19,Cave Quest,82.44%,"7,034",1,9,1213570
20,Ring of Pain,88.33%,"6,564",49,"1,280",998740
21,One Finger Death Punch 2,92.96%,"6,277",13,"1,027",980300
22,Tesla Effect: A Tex Murphy Adventure,82.90%,"6,274",2,494,261510
23,Legend Creatures(传奇生物),89.23%,"6,095",23,"2,105",1191840
24,Odysseus Kosmos and his Robot Quest (Complete Season),78.70%,"5,896",0,320,645820
25,Kelvin and the Infamous Machine,84.26%,"5,841",1,52,376520
26,Ravenland,50.00%,"5,799",0,27,997710
27,Rabbit Burn,84.59%,"5,676",1,90,991600
28,Black Book: Prologue,89.46%,"5,577",5,123,1284240
29,Forge of Gods (RPG),73.36%,"5,387",0,"5,445",461910
30,klocki,93.33%,"5,213",1,438,499440
31,Tech Support: Error Unknown,70.30%,"5,068",2,211,781480
32,Leisure Suit Larry in the Land of the Lounge Lizards: Reloaded,75.95%,"5,027",0,350,231910
33,The Little Acre,83.18%,"4,906",2,31,423590
34,Blood Card,77.49%,"4,822",3,209,930780
35,A Long Way Down,69.45%,"4,486",0,104,856990
36,Chessaria: The Tactical Adventure (Chess),69.79%,"4,447",0,19,575340
37,The Journey Down: Chapter One,82.85%,"4,411",0,245,220090
38,Elbub,60.90%,"3,874",0,11,757860
39,Iris and the Giant,83.54%,"3,855",9,242,1127610
41,Bars and Balance,76.19%,"2,983",0,5,731940
42,Neurodeck : Psychological Deckbuilder,67.04%,"2,824",0,133,1253860
43,D'LIRIUM,89.17%,"2,823",0,80,670160
44,Along the Edge,84.13%,"2,792",0,42,504390
45,Luna's Fishing Garden,87.74%,"2,652",4,172,1477790
46,Balls and Magnets,64.52%,"2,558",0,3,788320
47,Battle Ram,81.41%,"2,552",0,9,1262060
48,AR-K: The Great Escape,81.34%,"2,530",0,19,368890
49,Out of the Park Baseball 20,87.04%,"2,423",96,"1,445",831980
50,Seers Isle,83.75%,"2,342",0,39,738650
51,Witchcraft: Pandoras Box,68.97%,"2,240",0,5,1203400
52,Erannorth Reborn,80.84%,"2,181",14,53,1055990
53,DIMENSION REIGN - ROGUELIKE DECKBUILDER,78.95%,"2,175",9,92,1162480
54,AR-K,55.83%,"2,173",0,129,269890
55,Tap Adventure: Time Travel,60.88%,"2,085",5,"2,933",596650
56,ePic Character Generator,79.41%,"2,050",2,21,408930
57,Destiny or Fate,58.14%,"2,045",1,437,919220
58,Nelly Cootalot: The Fowl Fleet,85.17%,"2,038",0,164,317320
59,Super Turbo Demon Busters!,53.43%,"2,019",0,67,262810
60,Octogeddon,83.53%,"2,004",37,156,525620
61,Tennis Manager 2021,75.33%,"2,003",21,338,1433010
62,ClearMem :: Free Up Your RAM,65.91%,"1,951",21,47,780100
63,A Case of Distrust,77.82%,"1,873",0,130,717610
64,Mining Empire: Earth Resources,32.41%,"1,755",0,36,985920
65,Odysseus Kosmos and his Robot Quest: Episode 1,72.02%,"1,754",0,"1,585",769920
66,Galcon 2: Galactic Conquest,79.84%,"1,689",4,327,294160
67,Soundodger+,84.76%,"1,657",3,97,247140
68,"10,000,000",85.79%,"1,548",7,"1,210",227580
69,Istanbul: Digital Edition,84.03%,"1,436",6,50,943410
70,Luckless Seven,-,"1,349",0,2,433370
71,Hostil,77.84%,"1,300",0,7,726200
72,Nobodies: Murder Cleaner,84.04%,"1,266",0,36,1038280
73,The Last Express Gold Edition,75.09%,"1,266",2,58,252710
74,Signs of the Sojourner,81.45%,"1,191",0,29,1058690
75,KNIGHTS,88.67%,"1,168",0,141,476240
76,Lightning: D-Day,45.31%,"1,159",0,4,620640
77,Poker Quest,84.60%,"1,147",178,180,1184820
78,12 Labours of Hercules,89.65%,"1,145",5,"1,535",342580
79,Hidden Paws,82.49%,"1,115",1,56,816490
80,BIT.TRIP BEAT,75.99%,"1,097",0,"4,318",63700
81,12 Labours of Hercules II: The Cretan Bull,86.15%,"1,083",3,"1,655",360640
82,Sticky Apps :: Monitor Ping,73.19%,"1,044",4,21,983050
83,Dark Fantasy: Jigsaw Puzzle,83.11%,"1,015",1,19,955320
84,Franchise Hockey Manager 6,72.98%,"1,007",24,285,1087270
85,Spellsword Cards: Origins,66.32%,992,1,25,1070190
86,Dark Scavenger,79.14%,909,1,"2,263",293880
87,Greed 3: Old Enemies Returning,69.94%,901,0,5,1034280
88,Cardpocalypse,82.22%,899,1,59,904400
89,Dance of Death,60.80%,872,0,94,430020
90,Draw Slasher,52.90%,865,1,462,418270
91,Euclidean Skies,64.92%,853,0,21,983980
92,Mad Nords: Probably an Epic Quest,83.62%,813,0,"1,238",407880
93,Gigachess,78.51%,796,0,36,415910
94,Hentai Strip Shot,78.76%,784,0,14,935560
95,DARK FABLE,62.28%,782,0,36,1047830
96,Opencast Mining,38.75%,770,0,24,987630
97,Blood Card 2: Dark Mist,76.76%,761,7,75,968760
98,12 Labours of Hercules III: Girl Power,81.75%,757,1,"1,642",360650
