,Name,Rating,Followers,Online,Peak,id
0,Tyranny,84.52%,"107,270",147,"15,792",362960
1,Skul: The Hero Slayer,91.25%,"77,465","2,046","18,970",1147560
2,Untitled Goose Game,92.47%,"76,049",248,"1,951",837470
3,Evil Genius 2: World Domination,62.26%,"71,505",453,"37,117",700600
4,CARRION,91.65%,"71,461",103,"6,347",953490
5,Destroy All Humans!,91.17%,"54,689",41,"12,423",803330
6,Dungeons 3,92.36%,"53,086",202,"3,289",493900
7,Police Stories,83.13%,"52,253",93,666,539470
8,War for the Overworld,83.21%,"50,084",99,"2,227",230190
9,Iratus: Lord of the Dead,84.05%,"40,746",332,"4,258",807120
10,Hatred,77.68%,"36,818",30,"3,085",341940
11,Party Hard,85.76%,"36,227",43,840,356570
12,Legend of Keepers: Career of a Dungeon Manager,80.90%,"35,665",118,"3,127",978520
13,Dungeons 2,78.60%,"33,085",37,"11,705",262280
15,This Is the Police 2,72.98%,"30,211",70,"3,451",785740
16,Police Simulator: Patrol Duty,51.85%,"28,760",24,"1,163",461870
17,Party Hard 2,78.50%,"22,985",10,540,572430
18,BDSM: Big Drunk Satanic Massacre,85.03%,"15,791",3,78,669950
19,X-Morph: Defense,87.89%,"15,686",41,918,408410
20,Zombie Night Terror,88.65%,"15,518",31,480,416680
21,Ruinarch,78.98%,"15,489",7,"1,075",909320
22,KeeperRL,83.33%,"15,095",15,146,329970
23,Idol Manager,84.01%,"14,670","2,163","2,930",821880
24,Pumpkin Jack,90.50%,"14,045",5,401,1186640
25,Undead Horde,83.66%,"12,996",5,683,790850
26,Lucius,78.67%,"12,894",29,"1,509",218640
27,LEGO® DC Super-Villains,86.95%,"12,698",415,866,829110
28,My Lovely Daughter,68.88%,"11,900",6,914,580170
30,Overlord II,85.10%,"10,739",65,"1,702",12810
32,Overlord™,90.11%,"9,446",57,"2,303",11450
33,Evil Genius,90.53%,"9,154",22,"1,041",3720
34,MachiaVillain,64.55%,"8,621",5,"1,084",555510
35,Legend of Keepers: Prologue,89.18%,"8,603",6,803,1151080
36,Catlateral Damage,84.48%,"8,556",2,94,329860
37,The Shrouded Isle,68.33%,"8,365",12,226,501320
38,Lucius II,60.08%,"8,354",12,335,296830
39,Attack of the Earthlings,79.59%,"7,302",0,95,621930
40,Sea Salt,78.05%,"7,173",0,92,983350
41,Overlord: Fellowship of Evil,26.88%,"6,991",1,275,306670
42,Infectonator 3: Apocalypse,77.58%,"5,838",10,411,666570
43,BUTCHER,81.90%,"5,545",1,61,474210
44,Grimm,95.13%,"5,523",408,"30,886",252150
45,Dungeon Warfare,90.86%,"5,448",12,458,355980
46,The Deed,86.41%,"4,983",2,"3,976",420740
47,Underhero,84.09%,"4,853",5,114,573320
48,Lucius III,53.27%,"4,420",5,109,513290
49,Age of Fear: The Undead King GOLD,83.23%,"4,380",0,18,832770
50,Dwelvers,58.37%,"4,176",0,79,276870
51,Space Tyrant,80.77%,"4,131",0,232,562230
52,Necronator: Dead Wrong,68.88%,"4,002",4,177,1144970
53,POSTAL,81.94%,"3,974",11,"412,063",232770
54,Overlord™: Raising Hell,88.48%,"3,805",37,"1,354",12710
55,Entropy : Zero,89.57%,"3,775",11,371,714070
56,King's Bounty: Dark Side,70.00%,"3,589",203,"1,282",289520
57,Capitalism 2,77.30%,"3,383",15,140,638200
58,Darkestville Castle,85.99%,"3,271",5,29,689900
59,Rain on Your Parade,89.59%,"3,167",14,99,1213230
60,Slayaway Camp,89.40%,"3,110",2,186,530390
