,Name,Rating,Followers,Online,Peak,id
0,Dota 2,83.55%,"1,887,003","383,929","1,295,114",570
1,Team Fortress 2,93.06%,"1,231,323","75,894","151,253",440
2,Warframe,89.62%,"755,251","43,376","189,837",230410
3,Battlerite,83.09%,"526,206",383,"45,145",504370
4,Z1 Battle Royale,55.26%,"517,234",95,"151,239",433850
5,Unturned,90.52%,"508,491","17,717","63,462",304930
6,Destiny 2,84.10%,"498,711","44,915","292,513",1085660
7,Ring of Elysium,73.97%,"424,290",877,"63,435",755790
8,CS:GO Player Profiles,88.80%,"355,600",5,193,413850
9,War Thunder,78.91%,"337,799","23,575","63,406",236390
10,Paladins®,85.03%,"331,872","10,440","60,743",444090
11,World of Warships,80.32%,"321,709","5,822","379,096",552990
12,Heroes & Generals,67.21%,"287,451","1,744","21,026",227940
13,Minion Masters,90.06%,"265,476",866,"10,329",489520
14,Black Squad,75.99%,"260,757","1,199","15,939",550650
15,NARAKA: BLADEPOINT,67.75%,"249,815","22,096","70,731",1203220
16,Warface,67.77%,"247,197","2,230","13,867",291480
17,Path of Exile,89.92%,"241,945","37,170","157,103",238960
18,SMITE®,79.66%,"230,829","16,952","31,169",386360
19,Apex Legends™,88.13%,"229,969","129,385","330,879",1172470
20,KurtzPel,62.65%,"214,588",389,"11,937",844870
21,PlanetSide 2,80.97%,"212,979","2,581","29,676",218230
22,No More Room in Hell,88.21%,"189,082",430,"10,922",224260
23,DCS World Steam Edition,81.69%,"187,024","1,114","3,044",223750
24,Dirty Bomb®,80.02%,"176,211",181,"13,113",333930
25,Robocraft,71.96%,"160,068",319,"26,725",301520
26,Deceit,77.94%,"154,404",736,"16,923",466240
27,World of Guns: Gun Disassembly,81.48%,"153,966",114,"1,597",262410
28,DEAD OR ALIVE Xtreme Venus Vacation,80.53%,"139,994",982,"10,381",958260
29,Brawlhalla,83.87%,"139,643","23,874","34,816",291550
30,VRChat,89.47%,"135,546","16,415","27,732",438100
31,Doki Doki Literature Club!,95.52%,"132,697",929,"7,402",698780
32,Creativerse,79.24%,"120,715",275,"10,929",280790
33,STAR WARS™: The Old Republic™,88.79%,"118,513","9,635","34,210",1286830
34,World of Tanks Blitz,79.02%,"118,293","13,657","48,598",444200
35,The Culling,56.80%,"117,629",1,"12,995",437220
36,Trove,79.74%,"117,499","2,044","58,949",304050
37,Gear Up,72.73%,"115,992",4,"2,743",214420
