,Name,Rating,Followers,Online,Peak,id
0,From the Depths,87.43%,"66,625",496,"1,700",268650
1,Volcanoids,82.05%,"65,655",71,"1,722",951440
2,Stationeers,81.26%,"53,413",264,"1,093",544550
3,Stormworks: Build and Rescue,89.88%,"51,065","1,605","5,746",573090
4,BlazBlue Centralfiction,89.33%,"32,701",159,"1,031",586140
5,GUILTY GEAR Xrd -REVELATOR-,90.13%,"28,911",166,"1,614",520440
6,Good Company,71.27%,"28,081",22,"1,745",911430
7,Ashes of the Singularity: Escalation,74.00%,"26,800",53,"3,831",507490
8,Phoenix Point: Year One Edition,69.39%,"22,078",433,"4,993",839770
9,MechWarrior 5: Mercenaries,79.57%,"21,343","1,088","5,869",784080
10,BlazBlue: Cross Tag Battle,76.96%,"19,897",213,"2,990",702890
11,HYPERCHARGE: Unboxed,86.00%,"19,634",21,925,523660
12,The Lord of the Rings: Adventure Card Game - Definitive Edition,71.85%,"18,818",9,619,509580
13,Until We Die,76.89%,"18,157",65,"2,335",1197570
14,The Bus,76.58%,"18,046",28,"1,660",491540
15,Nebuchadnezzar,74.06%,"16,801",12,"1,113",1157220
16,Them's Fightin' Herds,88.44%,"15,475",70,"1,436",574980
17,UNDER NIGHT IN-BIRTH Exe:Late[cl-r],90.03%,"13,647",138,"1,377",801630
18,AppGameKit Classic: Easy Game Development,79.33%,"11,925",4,"1,007",325180
20,Galactic Crew,53.77%,"9,840",0,19,693750
22,ARIA CHRONICLE,76.15%,"7,436",10,"1,389",1229900
23,"Movavi Video Suite 17 - Video Making Software - Video Editor, Video Converter, Screen Capture, and more",78.14%,"6,731",127,757,795630
24,The Falconeer,73.76%,"5,681",2,67,1135260
25,Race The Sun,90.66%,"5,631",5,"6,455",253030
26,SimCasino,79.22%,"5,327",15,189,1158420
27,Pieces of my Heart,77.44%,"5,241",3,142,1226640
28,Escape Room - Der kranke Kollege,86.91%,"4,945",197,401,1301720
29,Ary and the Secret of Seasons,62.01%,"4,125",3,65,935570
30,Movavi Video Editor Plus 2020 - Video Editing Software,79.66%,"3,968",72,180,1182920
31,Pixel Studio for pixel art,90.54%,"3,900",64,138,1204050
32,Post Void,94.49%,"3,880",12,133,1285670
33,Complete Figure Drawing Course HD,71.76%,"3,721",0,27,494900
34,Hanako: Honor & Blade,74.67%,"3,482",0,35,349510
35,Jolly Battle,77.91%,"3,375",0,12,824620
36,El Hijo - A Wild West Tale,79.52%,"3,339",1,26,853050
37,Cake Bash,80.88%,"3,315",2,49,971690
38,Untrusted,80.35%,"3,186",5,335,1502660
39,3D Aim Trainer,76.90%,"3,014",112,366,1600530
40,Power & Revolution 2020 Edition,63.74%,"2,853",98,296,1379930
41,SMASH LEGENDS,62.49%,"2,739",223,"1,526",1352080
42,TOUHOU SKY ARENA MATSURI CLIMAX,82.42%,"2,728",1,51,1086860
44,"Movavi Video Suite 18 - Video Making Software - Edit, Convert, Capture Screen, and more",75.36%,"2,570",51,261,973600
46,Arcade Tycoon: Simulation,75.71%,"2,321",2,41,750520
47,No Time,90.71%,"2,274",4,92,1043340
48,Ultimate Grenade Tutorial - Hardsurface 3D Course,81.52%,"2,244",0,23,425680
49,The Conquest of Go,82.08%,"2,214",1,91,1264970
50,Flicker of Hope,88.12%,"2,180",0,88,1314460
51,"Learn Game Development, Unity Code Monkey",77.65%,"2,117",2,65,1294220
52,DOOR:Inner Child,69.94%,"2,100",0,6,1044410
53,Sapper - Defuse The Bomb Simulator,55.40%,"2,052",0,63,1083070
