,Name,Rating,Followers,Online,Peak,id
0,Total War: WARHAMMER II,92.12%,"379,953","27,958","84,920",594570
1,Total War: WARHAMMER,76.75%,"323,372",771,"113,019",364360
2,Warhammer: End Times - Vermintide,78.35%,"211,407",62,"24,700",235540
3,Warhammer: Vermintide 2,81.50%,"199,403","4,254","73,316",552500
4,"Warhammer 40,000: Dawn of War III",46.94%,"117,816",143,"25,676",285190
6,"Warhammer 40,000: Inquisitor - Martyr",72.79%,"94,137",552,"9,698",527430
7,Battlefleet Gothic: Armada,67.01%,"80,059",40,"9,253",363680
8,Space Hulk: Deathwing,53.39%,"76,292",5,"11,499",298900
10,"Warhammer 40,000: Eternal Crusade",49.88%,"54,080",2,"5,230",375230
11,Battlefleet Gothic: Armada 2,77.42%,"51,468",320,"8,960",573100
12,"Warhammer 40,000: Gladius - Relics of War",78.13%,"47,117",375,"3,451",489630
13,"Warhammer 40,000: Mechanicus",89.45%,"41,093",131,"2,748",673880
14,Necromunda: Hired Gun,69.47%,"32,933",63,"5,497",1222370
15,Space Hulk: Deathwing - Enhanced Edition,71.41%,"29,243",67,"2,341",816090
16,"Warhammer 40,000: Regicide",67.41%,"29,073",3,516,322910
17,"Warhammer 40,000: Space Marine",89.88%,"26,150",101,"15,653",55150
18,"Warhammer 40,000: Dawn of War II",86.75%,"24,757",167,"18,862",15620
19,"Warhammer 40,000: Battlesector",85.88%,"22,631",482,"2,598",1295500
20,Necromunda: Underhive Wars,57.67%,"22,515",30,"4,260",566440
21,"Warhammer 40,000: Sanctus Reach",81.36%,"18,999",56,735,502370
22,Warhammer Underworlds: Online,61.84%,"16,994",19,793,1022310
23,"Warhammer® 40,000: Dawn of War® - Game of the Year Edition",91.92%,"16,581",104,"3,241",4570
24,"Warhammer 40,000: Armageddon",76.50%,"16,408",12,587,312370
25,"Warhammer® 40,000: Dawn of War® - Soulstorm",92.82%,"14,330",921,"3,283",9450
26,Space Hulk: Ascension,68.86%,"14,028",5,389,317620
27,"Warhammer® 40,000: Dawn of War® II Chaos Rising",87.53%,"12,879",63,"8,132",20570
