,Name,Rating,Followers,Online,Peak,id
0,SnowRunner,80.61%,"25,886","2,102","5,865",1465360
1,Pure Rock Crawling,81.95%,"9,570",4,128,824720
2,MX vs. ATV Reflex,81.86%,"4,719",28,429,55140
3,MX vs ATV All Out,73.04%,"4,206",20,308,520940
4,MX vs. ATV Supercross Encore,56.19%,"3,349",4,100,282050
5,Rude Racers: 2D Combat Racing,77.52%,"3,218",0,18,1099440
7,OVERPASS™,44.10%,"1,281",3,17,970840
8,MX vs. ATV Unleashed,68.06%,796,2,30,359220
10,Offroad Horizons: Arcade Rock Crawling,66.66%,326,0,6,1370390
11,Last Generation: Survival,53.32%,295,0,4,1595600
13,Beauty Shooter,56.05%,145,0,2,1353560
15,The Legend of Bear-Truck Trucker,79.83%,104,1,16,1581580
17,Wide Open,76.90%,73,0,11,1556420
18,Rocky Ride,60.76%,63,0,4,1297890
19,CyberGrid: Tower defense,50.00%,31,0,2,1563710
20,Destroy It,42.82%,19,0,2,1546210
21,Smirkers,64.08%,7,0,2,1631430
