,Name,Rating,Followers,Online,Peak,id
0,War Thunder,78.91%,"337,799","18,628","63,406",236390
1,Hell Let Loose,81.18%,"196,146","5,500","14,190",686810
2,DCS World Steam Edition,81.69%,"187,024",970,"3,044",223750
3,Company of Heroes 2,77.02%,"135,908","5,150","164,688",231430
4,World of Tanks Blitz,79.02%,"118,293","7,911","48,598",444200
5,Gear Up,72.73%,"115,992",3,"2,743",214420
6,Men of War: Assault Squad 2,88.43%,"105,437","1,251","9,750",244450
7,Command & Conquer™ Remastered Collection,89.10%,"91,422",773,"42,587",1213210
8,Call of Duty: World at War,91.33%,"82,877",617,"4,825",10090
9,Red Orchestra 2: Heroes of Stalingrad with Rising Storm,90.76%,"76,938",179,"16,551",35450
10,Valkyria Chronicles™,88.36%,"73,921",59,"5,039",294860
11,Steel Division: Normandy 44,71.84%,"70,236",88,"4,678",572410
12,ShellShock Live,91.31%,"65,726",562,"7,455",326460
13,Valkyria Chronicles 4 Complete Edition,84.94%,"54,319",93,"2,546",790820
14,"Warhammer 40,000: Eternal Crusade",49.88%,"54,084",14,"5,230",375230
15,Sudden Strike 4,73.37%,"53,671",138,"2,476",373930
16,Call to Arms - Gates of Hell: Ostfront,75.73%,"48,556",486,"2,704",400750
17,Battlefield 1 ™,83.28%,"48,063","4,105","43,322",1238840
18,Act of Aggression - Reboot Edition,63.32%,"36,982",44,"3,131",318020
19,Tank Mechanic Simulator,84.82%,"36,907",97,"5,022",407130
20,IL-2 Sturmovik: Battle of Stalingrad,77.43%,"35,733",412,"1,061",307960
21,Total Tank Simulator,74.20%,"35,077",47,"1,707",674500
22,Company of Heroes - Legacy Edition,90.32%,"32,718",95,"3,344",4560
23,Men of War: Assault Squad,85.11%,"31,975",52,"1,490",64000
24,Blitzkrieg 3,58.30%,"27,747",24,"1,149",235380
25,War Trigger 3,59.02%,"27,332",8,"1,843",298240
26,Airships: Conquer the Skies,91.87%,"27,106",56,"1,030",342560
27,World of Tanks,56.94%,"21,664","1,017","4,196",1407200
28,Red Orchestra: Ostfront 41-45,84.22%,"18,333",6,126,1200
29,Brigador: Up-Armored Edition,91.61%,"15,645",26,616,274500
30,Panzer Corps Gold,87.15%,"13,172",312,"1,056",268400
31,Combat Air Patrol 2: Military Flight Simulator,50.75%,"11,474",0,81,347170
32,Battlezone 98 Redux,86.25%,"11,370",10,304,301650
33,Metal War Online: Retribution,55.73%,"11,204",3,803,412470
34,Armored Battle Crew [World War 1] - Tank Warfare and Crew Management Simulator,52.65%,"10,053",1,196,814740
35,Metal Waltz: Anime tank girls,76.77%,"9,251",43,607,581130
36,Wargame: European Escalation,75.03%,"9,153",21,"3,588",58610
38,Graviteam Tactics: Mius-Front,82.20%,"8,586",15,161,312980
39,Panzer Knights,77.92%,"8,040",19,248,1416230
40,Iron Conflict,67.19%,"7,872",8,367,1371480
41,Battlezone: Combat Commander,82.88%,"7,520",29,282,624970
42,Panzermadels: Tank Dating Simulator,87.46%,"7,379",3,80,379980
43,Company of Heroes: Opposing Fronts,86.86%,"7,188",42,"1,426",9340
44,Home Wars,69.46%,"7,118",7,244,645790
45,Blitzkrieg Anthology,84.09%,"6,978",39,186,313480
46,Strategic Mind: Blitzkrieg,80.48%,"6,917",12,182,1200330
47,Panzer Strategy,64.09%,"6,747",0,195,769950
48,Strategic Mind: Fight for Freedom,83.51%,"6,622",10,117,1381850
49,Blitzkrieg 2 Anthology,79.85%,"6,503",19,150,313500
50,Armored Warfare,66.30%,"6,329",183,767,443110
51,Graviteam Tactics: Operation Star,76.88%,"6,236",4,98,275290
52,Close Combat: The Bloody First,50.12%,"6,107",5,311,811880
53,Iron Front: Digital War Edition,59.05%,"6,023",4,485,91330
54,S.W.I.N.E. HD Remaster,87.53%,"5,960",11,364,944010
55,Combat Mission Shock Force 2,80.70%,"5,743",33,242,1369370
56,Tiny Tanks,65.87%,"5,503",0,76,836850
57,Out of Ammo,78.57%,"5,443",4,57,451840
58,Empires Mod,81.68%,"5,363",0,126,17740
59,Strategic Mind: Spectre of Communism,78.32%,"5,083",8,97,1341170
61,Dieselpunk Wars,68.72%,"4,531",0,51,952240
63,Steel Armor: Blaze of War,76.94%,"4,312",2,30,286280
65,Battlezone Gold Edition,71.35%,"4,043",2,61,312650
66,"Codename: Panzers, Phase One",82.07%,"4,016",3,61,411310
67,Tank Force,60.87%,"3,910",88,434,604500
68,Tank Warfare: Tunisia 1943,76.93%,"3,887",0,46,549080
69,TankZone Battle,68.34%,"3,254",0,9,388430
70,Tanki Online,64.40%,"3,249",39,391,562010
71,Treadnauts,79.71%,"3,231",0,45,695970
73,NavalArt,82.62%,"2,994",24,97,842780
74,War Trigger Classic,58.28%,"2,933",14,648,916930
75,Battle Girls,77.36%,"2,898",2,77,404170
76,Möbius Front '83,69.61%,"2,865",2,250,971160
77,Battle Village,55.55%,"2,861",0,3,1380780
78,Tank Operations: European Campaign,77.84%,"2,707",1,31,844860
79,Ogre,67.83%,"2,556",1,78,517780
80,TOKYO WARFARE,77.16%,"2,500",0,22,486510
81,Valor & Victory,71.94%,"2,315",4,60,963870
83,Tokyo Warfare Turbo,76.78%,"2,031",0,62,977390
84,War of the Human Tanks,80.35%,"2,027",0,182,263400
85,Battle Tanks: Legends of World War II,62.65%,"1,924",47,248,782670
88,War of Beach,53.61%,"1,757",0,428,398840
89,Furious Angels,81.04%,"1,674",0,16,551450
90,Refight:Burning Engine,66.78%,"1,669",0,81,773520
91,War of the Human Tanks - ALTeR,83.10%,"1,623",0,56,301920
92,Panzer War : Definitive Edition (Cry of War),82.37%,"1,601",3,39,798840
93,Panzer Doctrine,60.17%,"1,566",1,11,709880
95,Ballistic Tanks,77.61%,"1,420",1,14,493060
96,Better Off Tread,57.92%,"1,414",0,44,656070
97,Dieselpunk Wars Prologue,70.77%,"1,395",2,97,1275590
98,ExoTanks,66.85%,"1,381",2,27,731250
99,The Horus Heresy: Battle of Tallarn - Iron Edition,49.49%,"1,280",0,30,515980
