,Name,Rating,Followers,Online,Peak,id
0,Baldur's Gate 3,86.61%,"353,575","2,021","73,980",1086940
1,Pathfinder: Kingmaker - Enhanced Plus Edition,77.24%,"107,186","2,655","22,643",640820
2,Neverwinter,76.58%,"105,436","1,943","14,866",109600
3,Solasta: Crown of the Magister,87.94%,"63,703",674,"8,291",1096530
4,Dungeons & Dragons: Dark Alliance,50.41%,"56,432",80,"9,912",623280
5,TaleSpire,89.66%,"53,476",160,"1,416",720620
6,Baldur's Gate: Enhanced Edition,88.36%,"38,444",785,"3,756",228280
7,Baldur's Gate II: Enhanced Edition,87.68%,"38,402",598,"2,644",257350
8,Neverwinter Nights: Enhanced Edition,85.12%,"35,754",760,"2,410",704450
9,Dungeons & Dragons Online®,69.00%,"31,435",210,"2,854",206480
10,Fantasy Grounds Classic,77.40%,"31,299",29,991,252690
11,Planescape: Torment: Enhanced Edition,90.69%,"30,169",106,955,466300
12,Icewind Dale: Enhanced Edition,85.33%,"29,778",164,856,321800
14,FlowScape,83.53%,"21,936",12,379,1043390
15,Low Magic Age,87.30%,"17,186",49,212,576770
16,Idle Champions of the Forgotten Realms,80.17%,"14,059","4,515","7,094",627690
17,Tales from Candlekeep: Tomb of Annihilation,68.62%,"14,032",6,257,663380
18,Vagrus - The Riven Realms,80.25%,"10,328",9,131,909660
19,Fantasy Grounds Unity,81.45%,"8,113",145,420,1196310
20,Dungeons & Dragons: Chronicles of Mystara,79.03%,"7,582",4,313,229480
21,Vampire's Fall: Origins,76.97%,"6,996",11,662,1167950
22,D&D Lords of Waterdeep,88.01%,"5,514",58,394,644390
23,TM - Prologue,87.91%,"4,457",33,281,1614730
24,Game Master Engine,66.85%,"2,859",1,27,1451680
26,Wildshape - Map Editor + VTT,67.39%,"1,912",1,22,1543590
27,Alluris,82.80%,"1,324",0,144,1078510
28,Deadsiege,52.37%,"1,315",0,9,948470
29,Dungeons and Dragons: Daggerdale,31.51%,"1,278",0,571,99100
30,Vagrus - The Riven Realms: Prologue,67.58%,"1,181",2,51,1304660
31,Goblin's Shop,63.03%,"1,053",10,77,942900
32,The Six Dragons,-,886,0,2,749950
33,Knights of the Chalice,79.25%,815,0,20,1083760
35,Mighty Dungeons,59.87%,619,0,66,349550
36,Land Of The Void,61.83%,611,0,28,1015700
38,RPG Sounds,82.27%,468,10,26,1480140
40,Spellsword Cards: Demontide,63.42%,413,0,30,801210
41,The Red Prison,73.63%,379,0,99,1074040
42,NetHack: Legacy,69.33%,362,0,6,837200
43,In Darkness,54.17%,359,0,2,781680
45,Underlight,63.75%,267,0,23,980730
47,Last Blossom: Roleplaying tabletop based scene,72.42%,156,0,4,1604690
49,Dark Sauce,53.13%,132,0,3,995790
50,Dungeon Solver,72.86%,130,0,5,1289490
53,Dungeon Display,55.69%,64,0,2,1363650
56,Pathfinder: Wrath of the Righteous - Commander Pack,-,-,-,-,1694800
57,RPG Sounds - Kobolds - Sound Pack,-,-,-,-,1642740
58,RPG Sounds - Ancient Woodlands - Sound Pack,-,-,-,-,1630790
59,RPG Sounds - Midnight Curse - Sound Pack,-,-,-,-,1573780
60,Fantasy Grounds - D&D Van Richten's Guide to Ravenloft,-,-,-,-,1563290
61,RPG Sounds - Frost Lands - Sound Pack,-,-,-,-,1552360
62,RPG Sounds - Woodenhorn Clan - Sound Pack,-,-,-,-,1540380
63,Fantasy Grounds - D&D Classics: Marco Volo Journey (2E),-,-,-,-,1540290
64,Fantasy Grounds - D&D Classics: Marco Volo Arrival (2E),-,-,-,-,1540280
65,RPG Sounds - Wood and metal weapons - Sound Pack,-,-,-,-,1535933
66,RPG Sounds - Weather - Sound Pack,-,-,-,-,1535932
67,RPG Sounds - The Sewers - Sound Pack,-,-,-,-,1535931
68,RPG Sounds - Spells - Sound Pack,-,-,-,-,1535930
69,Fantasy Grounds - D&D Candlekeep Mysteries,-,-,-,-,1535740
70,RPG Sounds - Ranged - Sound Pack,-,-,-,-,1528490
71,RPG Sounds - SciFi - Sound Pack,-,-,-,-,1528480
72,RPG Sounds - Pirate Ship - Sound Pack,-,-,-,-,1524687
73,RPG Sounds - Mountain - Sound Pack,-,-,-,-,1524686
74,RPG Sounds - Meadows - Sound Pack,-,-,-,-,1524685
75,RPG Sounds - Graveyard - Sound Pack,-,-,-,-,1524682
76,RPG Sounds - Forest - Sound Pack,-,-,-,-,1524681
77,RPG Sounds - Combat - Sound Pack,-,-,-,-,1524660
78,Fantasy Grounds - D&D Adventurers League 10-01 The Frozen North,-,-,-,-,1495730
79,RPG Sounds - Dragon's Tower - Sound Pack,-,-,-,-,1493830
80,Fantasy Grounds - D&D Adventurers League 10-00 Ice Road Trackers,-,-,-,-,1482120
81,Fantasy Grounds - D&D Classics: Night Below: An Underdark Campaign (2E),-,-,-,-,1452520
82,Solasta: Crown of the Magister - Supporter Pack,74.99%,-,-,-,1438980
83,Fantasy Grounds - D&D Adventurers League 09-18 Consequences of Choice,-,-,-,-,1417630
84,Fantasy Grounds - D&D Classics: S2 White Plume Mountain (1E),-,-,-,-,1412060
85,Fantasy Grounds - D&D Icewind Dale Rime of the Frostmaiden,-,-,-,-,1396430
86,Fantasy Grounds - D&D Adventurers League EB-EP-01 The Iron Titan,-,-,-,-,1393020
87,Fantasy Grounds - D&D Adventurers League EB-04 The Third Protocol,-,-,-,-,1392870
88,Fantasy Grounds - D&D Adventurers League EB-01 The Night Land,-,-,-,-,1383260
89,Fantasy Grounds - D&D Classics: Q1 Queen of the Demonweb Pits (1E),-,-,-,-,1382400
90,Fantasy Grounds - D&D Adventurers League 09-17 In the Hand,-,-,-,-,1381340
91,Fantasy Grounds - D&D Adventurers League 09-16 Honors Unforseen,-,-,-,-,1364480
92,Fantasy Grounds - D&D Adventurers League 09-08 In the Garden of Evil,-,-,-,-,1358200
93,Fantasy Grounds - Pathfinder 2 RPG - Bestiary 2,-,-,-,-,1347890
94,Fantasy Grounds - Mini-Dungeon Monthly #12,-,-,-,-,1343790
95,Fantasy Grounds - Mini-Dungeon Monthly #11,-,-,-,-,1343780
96,Fantasy Grounds - Mini-Dungeon Monthly #10,-,-,-,-,1343760
97,Fantasy Grounds - Mini-Dungeon Monthly #9,-,-,-,-,1343650
98,Fantasy Grounds - Starfinder RPG - Dawn of Flame AP 6: Assault on the Crucible,-,-,-,-,1261720
99,Neverwinter Nights: Enhanced Edition Dark Dreams of Furiae,32.09%,-,-,-,1247750
