,Name,Rating,Followers,Online,Peak,id
2,Tormentor❌Punisher,82.31%,"1,464",2,"1,012",500670
3,Lost Wing,73.75%,339,0,10,556960
4,Cubico,71.56%,316,0,18,1113730
5,Turn on the light,85.62%,139,0,6,1348160
6,Turn on all the lights,83.14%,115,0,6,1566230
7,RESONARK X,73.45%,111,0,5,1366570
8,Mover,66.87%,65,0,15,733250
9,Charge!,69.20%,63,0,4,1367680
10,Lost Astronaut,78.11%,61,0,4,1481140
11,Puzzle Light: One Move,81.66%,59,0,7,1632610
12,Roundabout 3,77.41%,59,0,6,1333020
13,Flex hooks,79.39%,55,0,3,1613050
14,qrth-phyl,72.86%,55,0,8,451930
15,Lighton,80.02%,41,0,4,1328570
16,Puzzle Light: Rotate,80.79%,40,0,8,1653300
17,Lighton: Duo,83.40%,29,0,7,1566250
18,AutoLand,66.62%,26,0,2,1384090
19,Electronic World Z,40.58%,17,0,1,1389830
20,Puzzle Light: Slide,78.30%,10,1,8,1710140
22,SubDivide Soundtrack,59.42%,0,0,1,1375100
23,Roundabout 3 Soundtrack,59.42%,-,-,-,1359200
24,G String Original Soundtrack,70.84%,-,-,-,1270810
25,Cubico - Soundtrack,-,-,-,-,1195630
26,sphereFACE Soundtrack,-,-,-,-,635820
27,Crest - Original Soundtrack,59.42%,-,-,-,386570
28,Ultratron Soundtrack,64.08%,-,-,-,325570
