,Name,Rating,Followers,Online,Peak,id
0,War Thunder,78.91%,"337,799","19,919","63,406",236390
1,BeamNG.drive,94.90%,"250,756","6,336","13,572",284160
2,DCS World Steam Edition,81.69%,"187,024","1,011","3,044",223750
3,The Crew™ 2,78.57%,"135,701","1,227","12,748",646910
4,EVERSPACE™,77.75%,"122,244",97,"1,448",396750
5,ACE COMBAT™ 7: SKIES UNKNOWN,83.65%,"115,196",305,"13,758",502500
6,Avorion,88.80%,"113,920","1,433","4,533",445220
7,X4: Foundations,73.20%,"104,616","1,224","15,198",392160
8,Star Conflict,73.81%,"96,709",184,"4,973",212070
9,STAR WARS™: Squadrons,69.41%,"92,882",191,"36,492",1222730
10,Microsoft Flight Simulator X: Steam Edition,83.68%,"90,889","1,143","6,051",314160
11,Microsoft Flight Simulator,73.74%,"89,692","5,709","61,829",1250410
12,X-Plane 11,89.09%,"87,233","1,234","4,210",269950
13,Transport Fever,81.06%,"85,110",243,"12,615",446800
14,EVERSPACE™ 2,87.32%,"81,519",296,"3,072",1128920
15,Worlds Adrift,61.60%,"80,403",0,"2,057",322780
16,Planet Nomads,66.20%,"75,122",21,372,504050
17,Transport Fever 2,84.99%,"74,638","2,151","24,308",1066780
18,Starpoint Gemini Warlords,71.86%,"67,738",26,"1,260",419480
19,Guns of Icarus Online,88.16%,"54,662",15,"107,883",209080
20,Starpoint Gemini 2,67.95%,"54,537",19,"20,842",236150
21,Stormworks: Build and Rescue,89.88%,"51,065","1,638","5,746",573090
22,Trailmakers,88.44%,"48,654",462,"2,132",585420
23,SimplePlanes,89.49%,"47,929",157,885,397340
24,Brick Rigs,90.35%,"47,117",592,"1,963",552100
25,Project Wingman,91.29%,"45,183",110,"2,113",895870
26,Owlboy,82.56%,"44,307",6,"1,317",115800
27,Bomber Crew,85.82%,"41,480",73,"9,898",537800
28,SimAirport,76.11%,"39,424",88,"1,071",598330
29,IL-2 Sturmovik: Battle of Stalingrad,77.43%,"35,733",444,"1,061",307960
30,Airport CEO,81.65%,"31,949",237,"2,745",673610
31,Heliborne Collection,72.43%,"31,117",27,"1,349",433530
33,Aquanox Deep Descent,49.42%,"21,927",1,"1,248",254370
34,X-Plane 10 Global - 64 Bit,67.40%,"21,472",3,439,292180
35,House of the Dying Sun,85.96%,"20,707",3,207,283160
36,AER Memories of Old,83.07%,"19,071",15,483,331870
37,Time of Dragons,61.47%,"19,004",0,365,353130
38,X3: Terran Conflict,82.32%,"18,082",65,"1,442",2820
39,Aerofly FS 2 Flight Simulator,74.91%,"17,875",17,109,434030
40,Void Destroyer 2,79.62%,"15,883",2,264,369530
41,Day of Dragons,60.18%,"15,362",605,"2,490",1088090
42,Liftoff: FPV Drone Racing,89.26%,"15,008",185,646,410340
43,Sky Haven,76.34%,"14,937",13,674,674090
44,Evochron Mercenary,72.90%,"13,005",1,774,71000
45,Superflight,93.61%,"12,983",27,613,732430
46,Elmarion: Dragon time,77.55%,"12,966",1,21,1152090
47,Flower,80.49%,"12,822",5,171,966330
48,Deadstick - Bush Flight Simulator,-,"12,746",0,2,771800
49,Flying Tigers: Shadows Over China,67.73%,"12,607",0,176,365810
50,A Short Hike,95.95%,"12,449",26,200,1055540
51,Altitude,87.80%,"12,064",10,"4,940",41300
52,VTOL VR,92.91%,"11,920",84,217,667970
53,Combat Air Patrol 2: Military Flight Simulator,50.75%,"11,474",1,81,347170
54,Gaia,59.66%,"11,381",1,41,906790
55,DRONE The Game,78.49%,"10,621",0,551,987020
