,Name,Rating,Followers,Online,Peak,id
0,The Talos Principle,93.53%,"180,221",127,"4,007",257510
1,Getting Over It with Bennett Foddy,81.08%,"177,602",375,"5,054",240720
2,SOMA,93.76%,"120,403",87,"4,072",282140
3,The Witness,83.29%,"115,785",142,"6,185",210970
4,The Beginner's Guide,84.89%,"36,254",12,947,303210
5,Everything,80.33%,"32,652",16,629,582270
6,The Turing Test,84.77%,"32,477",17,536,499520
7,BioShock® 2,87.30%,"30,408",37,"4,635",8850
8,Planescape: Torment: Enhanced Edition,90.69%,"30,167",102,955,466300
9,The Red Strings Club,91.10%,"26,247",7,287,589780
10,Clone Drone in the Danger Zone,94.21%,"22,821",576,"1,944",597170
11,The Swapper,91.63%,"20,891",5,890,231160
12,Stygian: Reign of the Old Ones,65.89%,"18,916",9,"1,335",779290
13,The Forgotten City,91.79%,"17,268",160,577,874260
14,Coffee Talk,91.00%,"15,749",18,412,914800
15,Manifold Garden,91.77%,"15,596",12,326,473950
16,Democracy 4,81.45%,"13,967",77,699,1410710
17,My Lovely Daughter,68.88%,"11,899",2,914,580170
18,First Strike: Classic,81.56%,"10,901",2,159,587000
19,Before Your Eyes,94.69%,"10,300",10,510,1082430
20,Jump King,87.19%,"10,068",568,858,1061090
21,LEGO® Builder's Journey,74.81%,"10,044",11,727,1544360
22,PLAYNE : The Meditation Game,90.49%,"8,737",14,38,865540
23,Wonderful Everyday Down the Rabbit-Hole,90.06%,"8,624",13,137,658620
25,The Shore,70.53%,"8,154",5,179,1297300
26,Notch - The Innocent LunA: Eclipsed SinnerS,85.23%,"7,658",0,48,325120
27,The House in Fata Morgana,91.96%,"7,412",13,105,303310
28,When The Past Was Around,91.02%,"7,205",1,171,1164050
29,Dies irae ~Amantes amentes~,79.49%,"6,878",6,283,644540
30,Fingerbones,76.14%,"6,685",3,177,391270
31,The Old City: Leviathan,69.49%,"6,672",2,51,297350
32,The Talos Principle VR,78.74%,"6,530",2,96,552440
33,Umineko When They Cry - Question Arcs,91.03%,"5,807",59,145,406550
34,Aquaria,84.02%,"5,775",2,99,24420
35,Metamorphosis,79.77%,"5,756",0,79,1025410
36,Anodyne,79.87%,"5,200",1,387,234900
37,Even the Ocean,78.84%,"5,152",1,19,265470
39,No Longer Home,78.57%,"4,991",1,21,651490
40,The Sojourn,74.28%,"4,806",1,31,794960
41,On My Own,59.09%,"4,214",0,28,351730
42,Bai Qu: Hundreds of Melodies,89.32%,"4,006",1,22,516600
43,Starlight of Aeons,76.60%,"3,839",1,55,644200
44,In Between,79.67%,"3,829",1,"1,504",388420
45,Anodyne 2: Return to Dust,86.90%,"3,486",1,95,877810
46,Dreaming Sarah,87.25%,"3,466",0,"3,038",296870
47,7th Sector,73.13%,"3,416",2,68,749250
48,Strangeland,87.39%,"3,286",1,115,1369520
49,Legend of Homebody,76.21%,"3,156",4,385,744260
50,Euphoria: Supreme Mechanics,82.91%,"3,065",0,395,1283500
51,The Light Remake,84.37%,"2,859",1,58,1077520
52,Haven Moon,73.55%,"2,735",1,86,493720
53,The Procession to Calvary,91.04%,"2,716",1,73,1071130
54,他人世界末 On-looker,88.57%,"2,572",2,233,1225780
55,A Space For The Unbound - Prologue,92.66%,"2,467",3,15,1201280
56,Sometimes Always Monsters,66.26%,"2,436",1,79,441440
57,Summerland,85.01%,"2,361",1,107,1444110
58,Fibrillation HD,80.94%,"2,338",0,14,558450
60,Umineko When They Cry - Answer Arcs,90.37%,"2,157",34,81,639490
61,Himawari - The Sunflower -,83.30%,"2,155",1,28,554290
63,Adios,90.04%,"2,081",2,42,1271400
64,Four Last Things,89.11%,"2,078",1,37,503400
66,Etherborn,67.83%,"2,031",0,36,812160
67,Debris,62.93%,"2,003",0,17,669660
69,Don't Forget Me,69.20%,"1,856",0,35,1335800
71,Sentience: The Android's Tale,82.79%,"1,807",6,201,635850
72,Chuusotsu! 1st Graduation: Time After Time,82.31%,"1,738",0,22,630870
73,Demons Never Lie,86.62%,"1,736",0,160,1138410
74,When The Past Was Around - Prologue,88.94%,"1,714",0,14,1170640
75,Inmates,60.50%,"1,689",0,20,634120
76,Destination Primus Vita - Ep. 1,68.44%,"1,645",0,183,680750
77,She and the Light Bearer,82.95%,"1,617",0,9,658590
78,Rage in Peace,83.47%,"1,576",0,28,658690
79,Fallstreak,74.69%,"1,526",0,18,935920
80,The Search,71.33%,"1,455",2,452,566190
81,＜/reality＞,76.45%,"1,447",0,10,562280
82,Shift Quantum - A Cyber Noir Puzzle Platformer,81.42%,"1,418",0,99,700520
85,The Mammoth: A Cave Painting,85.89%,"1,355",0,25,751690
86,Exo One: Prologue,89.63%,"1,335",4,90,1375530
87,What Comes After,84.69%,"1,321",0,17,1421760
88,Cognition Method: Initiation,78.58%,"1,280",0,143,1554860
89,Milk inside a bag of milk inside a bag of milk,93.13%,"1,230",5,19,1392820
90,Don't Disturb,79.11%,"1,204",0,25,501840
91,EMPORIUM,66.81%,"1,167",0,11,635670
92,Sisyphus Reborn,87.49%,"1,150",0,42,517910
93,Hitchhiker - A Mystery Game,70.40%,"1,148",0,16,1003120
94,Imagine Lifetimes,64.64%,"1,099",1,35,1229570
95,VR: Vacate the Room (Virtual Reality Escape),77.86%,"1,094",0,25,494810
96,Arrest of a stone Buddha,69.85%,"1,064",0,18,1151120
97,Nocturne: Prelude,89.58%,"1,062",0,33,883590
98,Psycholonials,83.14%,"1,057",1,303,1529810
99,Kosmokrats,81.18%,"1,054",2,19,1204410
