,Name,Rating,Followers,Online,Peak,id
0,Euro Truck Simulator 2,96.64%,"659,530","19,292","61,081",227300
1,American Truck Simulator,94.81%,"315,375","6,053","19,153",270880
2,BeamNG.drive,94.90%,"250,756","6,339","13,572",284160
3,Mad Max,89.84%,"215,925",527,"33,356",234140
4,Forza Horizon 4,81.51%,"157,869","5,344","40,399",1293830
5,Farming Simulator 19,91.78%,"142,342","17,601","59,466",787860
6,Assetto Corsa,89.38%,"136,976","5,394","11,691",244210
7,The Crew™ 2,78.57%,"135,701","1,225","12,748",646910
8,Car Mechanic Simulator 2018,88.38%,"127,208","1,610","8,474",645630
9,DiRT Rally,85.97%,"126,734",212,"20,343",310560
10,Project CARS,76.53%,"122,097",137,"10,688",234630
11,Farming Simulator 17,91.05%,"118,490",778,"32,313",447020
12,Wreckfest,84.25%,"118,325","1,017","3,865",228380
13,Teardown,92.84%,"114,047","1,323","8,339",1167630
14,Crossout,75.81%,"98,196","2,121","9,701",386180
15,The Crew™,67.62%,"94,019",28,"12,236",241560
16,Just Cause 4 Reloaded,58.90%,"92,926",374,"9,571",517630
17,MudRunner,87.05%,"92,186",262,"8,667",675010
18,My Summer Car,91.47%,"90,992",684,"5,509",516750
19,GRID 2,81.99%,"89,602",181,"27,339",44350
20,Grand Theft Auto: San Andreas,89.97%,"88,386","1,637","3,387",12120
21,Watch_Dogs™,71.22%,"87,857",87,"47,887",243470
22,Transport Fever,81.06%,"85,110",254,"12,615",446800
23,Project CARS 2,77.98%,"81,861",607,"6,775",378860
24,Farming Simulator 15,88.88%,"80,384",167,"18,711",313160
25,Mafia II (Classic),93.26%,"78,420",156,"29,474",50130
26,Planet Nomads,66.20%,"75,122",21,372,504050
27,DiRT Rally 2.0,82.29%,"72,033","1,002","3,533",690790
28,Assetto Corsa Competizione,87.72%,"68,542","1,744","6,926",805550
29,Cloudpunk,87.11%,"66,010",42,932,746850
30,Train Simulator 2021,66.61%,"63,290",900,"3,821",24010
31,RaceRoom Racing Experience,69.56%,"58,746",586,"2,630",211500
32,Need for Speed™ Heat,80.81%,"56,558","2,090","9,603",1222680
33,FAR: Lone Sails,91.04%,"51,315",12,924,609320
34,Trailmakers,88.44%,"48,654",464,"2,132",585420
35,Gold Rush: The Game,70.18%,"47,991",352,"6,625",451340
36,DiRT 4,76.35%,"47,681",195,"4,396",421020
37,Brick Rigs,90.35%,"47,117",598,"1,963",552100
38,Need For Speed: Hot Pursuit,80.64%,"44,731",60,"3,005",47870
39,Jalopy,74.87%,"40,892",31,666,446020
40,Car Mechanic Simulator 2015,89.62%,"40,714",106,"4,340",320300
41,Bus Simulator 18,77.81%,"40,487",174,"3,914",515180
42,F1® 2020,91.40%,"40,484","3,413","24,010",1080110
43,City Car Driving,78.17%,"39,622",314,"2,399",493490
44,Construction Simulator 2015,78.14%,"39,227",86,"1,824",289950
46,CarX Drift Racing Online,92.25%,"36,828","2,479","4,471",635260
47,Train Sim World® 2020,75.53%,"36,369",46,"1,933",530070
48,Ranch Simulator,80.61%,"35,837",737,"3,233",1119730
49,F1™ 2017,83.37%,"33,594",142,"8,111",515220
50,"Flashing Lights - Police, Firefighting, Emergency Services Simulator",81.99%,"32,966",165,727,605740
