,Name,Rating,Followers,Online,Peak,id
0,Warframe,89.62%,"755,251","40,570","189,837",230410
1,Monster Hunter: World,83.48%,"745,080","11,646","334,684",582010
2,Dying Light: Enhanced Edition,93.98%,"603,769","4,047","45,876",239140
3,Battlerite,83.09%,"526,206",310,"45,145",504370
4,Sekiro™: Shadows Die Twice - GOTY Edition,93.56%,"460,471","2,347","125,315",814380
5,NieR:Automata™,81.83%,"449,074",731,"23,908",524220
6,Chivalry: Medieval Warfare,81.24%,"367,886",171,"25,145",219640
7,Middle-earth™: Shadow of War™,85.06%,"290,587","2,088","68,183",356190
8,Dead Cells,95.35%,"285,472","1,348","13,802",588650
9,FOR HONOR™,66.32%,"256,503","3,678","225,831",304390
10,NARAKA: BLADEPOINT,67.85%,"249,815","20,418","70,731",1203220
11,Path of Exile,89.92%,"241,945","34,130","157,103",238960
12,FINAL FANTASY XV WINDOWS EDITION,80.15%,"240,939",570,"29,498",637650
13,Grim Dawn,91.74%,"223,388","2,683","61,458",219990
14,Devil May Cry 5,92.69%,"218,904",500,"88,894",601150
15,Middle-earth™: Shadow of Mordor™,90.70%,"215,473",473,"48,668",241930
16,KurtzPel,62.65%,"214,588",353,"11,937",844870
17,Warhammer: End Times - Vermintide,78.35%,"211,417",84,"24,700",235540
18,Hades,97.40%,"211,213","5,832","37,749",1145360
19,BIOMUTANT,67.29%,"210,413",263,"55,048",597820
20,Warhammer: Vermintide 2,81.50%,"199,384","3,631","73,316",552500
21,Wolcen: Lords of Mayhem,55.62%,"192,095",830,"127,542",424370
22,Dragon's Dogma: Dark Arisen,87.84%,"189,412",692,"27,368",367500
23,Hellblade: Senua's Sacrifice,89.88%,"183,286",106,"5,653",414340
24,STAR WARS Jedi: Fallen Order™,88.86%,"171,904",837,"46,550",1172380
25,MORDHAU,81.35%,"171,629","1,275","60,204",629760
26,鬼谷八荒,86.35%,"170,182","1,215","184,171",1468810
27,Mount & Blade: Warband,96.34%,"167,408","3,458","33,054",48700
28,CODE VEIN,86.15%,"151,661",539,"33,895",678960
29,Craftopia,78.93%,"149,269",441,"27,246",1307550
30,Castle Crashers®,94.63%,"146,567",552,"16,013",204360
31,Nioh: Complete Edition / 仁王 Complete Edition,79.08%,"144,514",372,"10,649",485510
32,Shadow Warrior 2,86.00%,"141,054",106,"12,634",324800
33,RWBY: Grimm Eclipse,79.97%,"136,592",13,"3,298",418340
34,Tales of Zestiria,80.50%,"132,519",85,"9,696",351970
35,Bright Memory,89.92%,"130,715",10,"1,907",955050
36,HELLDIVERS™ Dive Harder Edition,89.61%,"115,384",186,"6,744",394510
37,Ni no Kuni™ II: Revenant Kingdom,82.39%,"112,275",148,"10,805",589360
38,Tales of Berseria™,90.11%,"111,791",267,"8,085",429660
39,NieR Replicant™ ver.1.22474487139...,83.86%,"108,420",488,"28,684",1113560
40,Ghostrunner,89.68%,"106,914",205,"11,294",1139900
41,Hyper Light Drifter,91.37%,"105,909",41,"4,954",257850
42,Neverwinter,76.57%,"105,431","2,035","14,866",109600
43,Sword Art Online: Hollow Realization Deluxe Edition,79.04%,"105,291",53,"3,254",607890
44,Bayonetta,89.65%,"102,934",77,"4,194",460790
45,Darksiders III,73.98%,"102,635",299,"7,730",606280
46,Wizard of Legend,89.15%,"98,914",367,"6,487",445980
47,Lost Castle / 失落城堡,86.44%,"96,912",70,"4,701",434650
48,Ryse: Son of Rome,83.77%,"96,693",81,"3,257",302510
49,ICEY,89.02%,"94,980",1,"3,240",553640
50,嗜血印 Bloody Spell,84.51%,"94,857",27,"4,256",992300
51,"Warhammer 40,000: Inquisitor - Martyr",72.79%,"94,133",431,"9,698",527430
52,Torchlight II,91.67%,"93,820",341,"54,821",200710
53,Transistor,92.51%,"91,429",39,"6,727",237930
54,古剑奇谭三(Gujian3),84.32%,"89,790",162,"10,183",994280
55,She Will Punish Them,90.23%,"86,348",512,"15,711",1213740
56,Children of Morta,89.27%,"79,260",127,"3,064",330020
57,Skul: The Hero Slayer,91.25%,"77,416",590,"18,970",1147560
58,Hand of Fate,87.68%,"75,554",12,"2,178",266510
59,Crypt of the NecroDancer,93.79%,"74,562",147,"2,282",247080
60,Katana ZERO,96.28%,"74,326",122,"1,575",460950
61,Tree of Savior (English Ver.),63.74%,"73,470","1,007","53,554",372000
62,GOD EATER 2 Rage Burst,75.74%,"73,068",25,"1,491",438490
63,Lost Ark,91.03%,"72,264",0,"15,774",1599340
64,Last Epoch,84.68%,"71,981",988,"7,273",899770
65,Hob,85.99%,"71,500",11,"1,179",404680
66,Nioh 2 – The Complete Edition,83.54%,"70,527","1,551","41,325",1325200
67,Secrets of Grindea,88.49%,"70,309",41,435,269770
68,RUINER,87.70%,"69,233",19,918,464060
70,The Surge,73.32%,"64,795",73,"5,978",378540
