,Name,Rating,Followers,Online,Peak,id
0,South Park™: The Stick of Truth™,95.69%,"108,060",169,"34,811",213670
1,Grand Theft Auto IV: The Complete Edition,73.86%,"102,825","2,828","11,696",12210
2,South Park™: The Fractured But Whole™,78.54%,"100,510",191,"21,609",488790
3,Saints Row: The Third,94.33%,"67,951",398,"34,371",55230
4,The Stanley Parable,90.45%,"64,689",38,"4,818",221910
5,Maneater,86.50%,"49,225",185,"2,861",629820
6,"Gremlins, Inc.",83.55%,"41,514",370,"1,716",369990
7,POSTAL 2,94.12%,"39,303",411,"4,636",223470
8,Bully: Scholarship Edition,82.19%,"30,203",184,"2,010",12200
9,Human Resource Machine,90.13%,"21,349",31,778,375820
10,BDSM: Big Drunk Satanic Massacre,85.03%,"15,791",1,78,669950
11,The Magic Circle,87.35%,"15,495",2,270,323380
12,Pastelia Stories,64.47%,"14,136",0,296,486690
13,7 Billion Humans,88.50%,"13,017",78,715,792100
14,WHAT THE GOLF?,90.07%,"11,979",18,317,785790
15,"Dr. Langeskov, The Tiger, and The Terribly Cursed Emerald: A Whirlwind Heist",90.73%,"11,559",6,815,409160
16,The Deadly Tower of Monsters,83.82%,"11,401",1,140,353700
17,Garbage: Hobo Prophecy,73.11%,"10,531",8,888,1494440
18,Little Inferno,91.17%,"9,791",13,"2,129",221260
19,The Book of Unwritten Tales 2,86.14%,"8,051",9,419,279940
20,"Dude, Stop",80.54%,"7,578",10,158,574560
21,World of Goo,90.72%,"6,952",18,"2,045",22000
22,Retro City Rampage™ DX,84.58%,"6,726",1,"1,035",204630
23,Angry Video Game Nerd Adventures,85.37%,"5,857",1,420,237740
24,Kero Blaster,88.26%,"5,736",4,211,292500
25,Leisure Suit Larry in the Land of the Lounge Lizards: Reloaded,75.95%,"5,027",1,350,231910
26,The Political Machine 2016,72.78%,"4,984",1,193,404620
27,NotTheNameWeWanted,83.74%,"4,674",0,383,369580
29,Saints Row®: The Third™ Remastered,54.49%,"4,387",58,"1,560",978300
30,DLC Quest,85.60%,"4,265",0,"1,032",230050
31,Protocol,67.20%,"4,227",1,70,724490
32,The Invisible Hand,75.20%,"3,995",5,157,628200
33,Knee Deep,72.41%,"3,924",0,66,371300
34,Tropico 3,84.38%,"3,880",11,"5,784",23490
35,Small World,69.53%,"3,768",20,462,235620
37,Baldi's Basics Plus,90.07%,"3,177",13,228,1275890
38,Legend of Homebody,76.21%,"3,157",4,385,744260
39,前程似锦 Excellent Expectations,82.64%,"3,148",2,64,759940
40,Grass Simulator,56.92%,"3,024",0,572,331200
41,Her Majesty's SPIFFING,73.96%,"2,968",0,39,488770
42,假如我是人工智能 Big Brother Is Shaping You,81.24%,"2,882",0,91,933940
43,Political Animals,67.13%,"2,865",0,53,458630
44,Bad Memories,78.76%,"2,745",4,54,1595030
45,Not For Broadcast: Prologue,87.32%,"2,699",3,31,1201400
46,Interkosmos,81.68%,"2,670",1,183,579110
47,Goblins and Grottos,63.15%,"2,639",0,44,389190
48,WanderLust,72.93%,"2,448",1,26,1507420
49,Death Squared,85.11%,"2,415",3,66,471810
50,Irony Curtain: From Matryoshka with Love,82.12%,"2,401",0,63,866190
51,Stick RPG 2: Director's Cut,77.92%,"2,396",0,130,307640
52,Harvester,86.02%,"2,333",0,132,287020
54,6 Seasons and a Game,83.75%,"2,236",0,128,1460830
55,Say No! More,84.36%,"2,090",3,67,1191900
57,Scheming Through The Zombie Apocalypse: The Beginning,81.17%,"1,656",0,24,813540
58,Open World Game: the Open World Game,88.64%,"1,634",0,133,1144110
59,Airplane Mode,56.04%,"1,595",1,62,931310
60,Kandidatos,86.88%,"1,575",28,289,1395560
61,I Can't Believe It's Not Gambling,87.57%,"1,540",9,350,733990
