,Name,Rating,Followers,Online,Peak,id
0,Euro Truck Simulator 2,96.64%,"659,530","24,175","61,081",227300
1,Stardew Valley,96.93%,"583,057","31,715","94,879",413150
2,American Truck Simulator,94.81%,"315,375","5,992","19,153",270880
3,Besiege,93.79%,"281,869",260,"11,206",346010
4,Planet Coaster,89.16%,"274,862","2,054","21,971",493340
5,Starbound,91.83%,"259,613","2,252","88,709",211820
6,Planet Zoo,88.07%,"239,930","3,638","38,630",703080
7,House Flipper,90.71%,"194,016","2,170","10,899",613100
8,My Time At Portia,91.04%,"176,513","1,082","13,299",666140
9,PC Building Simulator,92.46%,"156,187",554,"3,884",621060
10,Farming Simulator 19,91.78%,"142,342","21,378","59,466",787860
11,Banished,88.45%,"139,043","1,011","24,636",242920
12,Kingdoms and Castles,89.60%,"130,527",673,"4,856",569480
13,The Witness,83.29%,"115,785",155,"6,185",210970
14,GRIS,94.79%,"113,596",61,959,683320
15,Rising World,80.77%,"111,264",50,486,324080
16,The Sims™ 4,87.95%,"100,969","10,122","25,403",1222670
17,Transport Fever,81.06%,"85,110",295,"12,615",446800
18,ABZU,90.74%,"83,796",17,"1,329",384190
19,Farming Simulator 15,88.88%,"80,384",208,"18,711",313160
20,Fishing Planet,81.71%,"76,873","2,093","6,709",380600
21,Spiritfarer®,93.22%,"75,677",344,"4,594",972660
24,Yonder: The Cloud Catcher Chronicles,79.32%,"66,756",14,"1,305",580200
25,Train Simulator 2021,66.61%,"63,290","1,088","3,821",24010
26,Farm Together,91.62%,"62,501",707,"3,671",673950
27,Parkitect,91.11%,"60,388",260,"1,400",453090
28,Cooking Simulator,80.78%,"60,007",292,"3,500",641320
29,Townscaper,95.02%,"54,402",65,"1,089",1291340
30,Mini Metro,93.84%,"50,113",339,"2,104",287980
31,Eastshade,86.09%,"49,125",32,440,715560
32,Gold Rush: The Game,70.18%,"47,991",405,"6,625",451340
33,Project AURA,64.47%,"47,701",4,120,305940
34,Staxel,77.09%,"47,128",77,"2,644",405710
35,Journey,92.38%,"46,976",45,"1,757",638230
36,ISLANDERS,92.48%,"46,625",163,"1,783",1046030
38,LOST EMBER,86.17%,"46,330",15,590,563840
39,Kynseed,84.56%,"46,254",38,433,758870
40,Shelter 2,81.42%,"45,623",12,607,275100
41,Niche - a genetics survival game,83.61%,"43,622",60,"1,046",440650
42,Imagine Earth,76.54%,"42,187",26,327,280720
43,RiME,87.19%,"42,125",6,634,493200
44,Jalopy,74.87%,"40,892",36,666,446020
45,Samorost 3,91.19%,"39,832",12,468,421120
46,Ostriv,88.23%,"39,801",156,"1,148",773790
47,Dorfromantik,93.69%,"39,479",688,"7,101",1455840
50,Moon Hunters,76.40%,"38,819",69,324,320040
51,The Tenants,81.23%,"37,242",322,"4,583",1009560
52,Tank Mechanic Simulator,84.82%,"36,907",138,"5,022",407130
53,Train Sim World® 2020,75.53%,"36,369",56,"1,933",530070
54,Ranch Simulator,80.61%,"35,837",881,"3,233",1119730
55,Littlewood,91.76%,"35,326",317,"1,678",894940
56,A Story About My Uncle,89.93%,"33,943",19,"190,590",278360
57,Chaos Reborn,73.17%,"32,898",8,346,319050
58,Everything,80.33%,"32,652",14,629,582270
59,Fernbus Simulator,68.03%,"31,160",133,865,427100
60,Hidden Folks,93.52%,"29,422",26,763,435400
61,Good Company,71.27%,"28,081",27,"1,745",911430
62,Quest Hunter,78.70%,"28,022",29,549,487000
63,Block'hood,71.45%,"27,848",0,640,416210
64,Ooblets,-,"27,782",0,2,593150
65,Sun Haven,84.10%,"27,615",158,"1,626",1432860
66,DRIFT21,69.54%,"27,212",52,827,520950
67,Meadow,86.41%,"26,254",13,"15,036",486310
68,Farmer's Dynasty,76.14%,"26,125",80,"1,044",678900
69,Faeria,81.16%,"26,099",44,"3,675",397060
70,Submerged,73.10%,"25,799",9,521,301860
71,Stranded Sails - Explorers of the Cursed Islands,70.53%,"25,609",15,671,943260
72,STORY OF SEASONS: Friends of Mineral Town,90.97%,"25,266",165,"3,706",978780
73,Hokko Life,70.33%,"25,262",41,"1,020",824000
74,Before We Leave,75.38%,"25,230",67,"2,313",1073910
75,Ultimate Fishing Simulator,85.89%,"24,855",53,480,468920
76,OMSI 2: Steam Edition,80.99%,"24,528",743,"2,213",252530
78,Grow Home,88.24%,"23,927",7,712,323320
79,Seasons after Fall,78.05%,"23,135",5,304,366320
81,Sable,-,"22,694",0,1,757310
83,Descenders,91.13%,"22,467",375,"1,563",681280
84,Quern - Undying Thoughts,88.17%,"22,382",23,437,512790
85,The First Tree,74.22%,"21,960",8,601,555150
86,FlowScape,83.51%,"21,926",11,379,1043390
87,Swords & Souls: Neverseen,88.80%,"21,893",126,"2,137",679900
88,Last Day of June,83.80%,"21,466",8,362,635320
89,Mini Motorways,91.72%,"21,443","4,080","9,914",1127500
90,Farm Manager 2021,72.67%,"21,118",170,"3,227",1123830
91,FEZ,89.94%,"20,684",35,"2,571",224760
92,DORAEMON STORY OF SEASONS,80.34%,"20,627",20,"1,478",965230
93,PowerWash Simulator,93.81%,"20,618","1,938","5,391",1290000
94,Passpartout: The Starving Artist,82.62%,"20,598",26,481,582550
95,Contraband Police,-,"20,193",0,1,756800
97,Erophone,76.35%,"20,058",11,"1,417",1506280
98,The Colonists,80.85%,"20,046",37,723,677340
99,Autonauts,86.37%,"20,041",141,"3,598",979120
