,Name,Rating,Followers,Online,Peak,id
0,Minion Masters,90.06%,"265,476",840,"10,329",489520
1,Slay the Spire,96.40%,"178,205","7,174","33,086",646570
2,Tabletop Simulator,94.38%,"171,957","5,151","37,198",286160
3,Artifact,46.90%,"152,783",23,"60,646",583950
4,UNO,71.84%,"121,038",490,"5,639",470220
5,Armello,80.42%,"90,904",207,"3,614",290340
6,Thronebreaker: The Witcher Tales,89.02%,"85,931",102,"3,371",973760
7,Hand of Fate,87.68%,"75,554",11,"2,178",266510
8,Yu-Gi-Oh! Duel Links,82.64%,"64,696","9,112","17,202",601510
9,Dota Underlords,81.83%,"63,813","2,447","202,334",1046930
10,Hand of Fate 2,82.74%,"62,198",44,"2,873",456670
11,Griftlands,92.45%,"53,119",300,"7,693",601840
12,Loop Hero,91.25%,"49,707","1,071","51,156",1282730
13,Thea: The Awakening,86.96%,"47,568",66,"1,742",378720
14,Shadowverse CCG,73.85%,"43,993","1,218","24,167",453480
15,Book of Demons,88.13%,"41,818",22,"2,083",449960
16,"Gremlins, Inc.",83.56%,"41,507",125,"1,716",369990
17,Magic Duels,69.72%,"41,171",86,"14,586",316010
18,MOBIUS FINAL FANTASY™,70.67%,"37,109",1,"9,443",536930
19,WORLD OF HORROR,90.39%,"36,900",26,704,913740
20,Spellcaster University,81.54%,"33,997",159,"2,197",895620
21,Chaos Reborn,73.17%,"32,898",9,346,319050
22,Library Of Ruina,88.14%,"32,246",592,"8,015",1256670
23,FINAL FANTASY VIII,86.16%,"31,635",140,"4,470",39150
24,The Elder Scrolls®: Legends™,72.78%,"31,628",275,"8,873",364470
25,Tainted Grail: Conquest,86.68%,"31,549",264,"3,294",1199030
26,Card Hunter,83.38%,"30,540",115,"5,800",293260
27,Cultist Simulator,76.80%,"30,315",136,"3,143",718670
28,One Step From Eden,90.76%,"30,293",82,"2,360",960690
29,GWENT: The Witcher Card Game,86.70%,"30,025","1,207","7,504",1284410
30,Ooblets,-,"27,782",0,2,593150
31,Monster Train,94.05%,"27,112",779,"14,073",1102190
32,Gordian Quest,89.22%,"26,402",102,"1,619",981430
33,Faeria,81.16%,"26,099",47,"3,675",397060
34,Deep Sky Derelicts,73.76%,"26,006",24,664,698640
35,100% Orange Juice,90.85%,"24,956",286,"3,860",282800
36,Dicey Dungeons,87.50%,"23,893",456,"2,994",861540
37,Reigns,85.64%,"23,176",41,"1,612",474750
38,Yu-Gi-Oh! Legacy of the Duelist,81.57%,"22,896",139,"1,627",480650
39,Ratropolis,85.44%,"21,009",63,"1,470",1108370
40,NEOVERSE,82.29%,"19,957",25,917,994220
41,KARDS - The WWII Card Game,82.47%,"19,662",516,"2,918",544810
