,Name,Rating,Followers,Online,Peak,id
0,Dota 2,83.55%,"1,887,003","364,158","1,295,114",570
1,Total War: THREE KINGDOMS,69.70%,"461,869","2,874","192,298",779340
2,Total War: WARHAMMER II,92.11%,"379,908","23,882","84,920",594570
3,Frostpunk,89.70%,"331,686","5,611","29,361",323190
4,Total War: WARHAMMER,76.75%,"323,369",714,"113,019",364360
6,Northgard,86.40%,"301,336","1,865","15,592",466560
7,Heroes & Generals,67.21%,"287,451","1,411","21,026",227940
8,Hearts of Iron IV,90.59%,"272,158","28,211","46,806",394360
9,Minion Masters,90.06%,"265,476",816,"10,329",489520
10,They Are Billions,83.54%,"255,231","1,818","22,395",644930
11,Kenshi,92.95%,"204,091","2,897","10,579",233860
12,Age of Empires II (2013),94.11%,"186,343","4,627","27,927",221380
13,Dyson Sphere Program,95.90%,"182,895","4,951","59,815",1366540
14,ENDLESS™ Space 2,81.03%,"171,909",964,"53,435",392110
15,Foundation,83.89%,"169,502",513,"4,088",690830
16,Shadow Tactics: Blades of the Shogun,94.07%,"166,418",165,"5,037",418240
17,Age of Empires II: Definitive Edition,92.49%,"163,796","18,273","38,725",813780
18,Banished,88.45%,"139,043","1,017","24,636",242920
19,Surviving Mars,82.71%,"138,495","1,122","23,744",464920
20,Company of Heroes 2,77.02%,"135,908","5,942","164,688",231430
21,Total War™: ROME II - Emperor Edition,78.54%,"130,671","5,381","118,240",214950
22,Kingdoms and Castles,89.60%,"130,527",633,"4,856",569480
23,Dawn of Man,84.96%,"127,454",793,"23,864",858810
24,Total War: ATTILA,78.38%,"121,279","1,957","26,346",325610
25,"Warhammer 40,000: Dawn of War III",46.94%,"117,822",109,"25,676",285190
26,Homeworld Remastered Collection,85.71%,"115,607",155,"17,790",244160
27,Crusader Kings II,88.54%,"113,781","3,507","141,439",203770
28,Planetbase,76.58%,"113,392",267,"6,670",403190
29,Going Medieval,86.46%,"111,810","1,887","14,676",1029780
31,Age of Empires® III (2007),88.82%,"109,135","1,004","9,490",105450
32,Men of War: Assault Squad 2,88.43%,"105,437","1,427","9,750",244450
33,SpellForce 3,72.41%,"102,877",130,"8,932",311290
34,The Guild 3,57.79%,"102,584",78,"3,513",311260
35,Iron Harvest,70.22%,"101,513",766,"8,164",826630
36,A Total War Saga: THRONES OF BRITANNIA,66.13%,"101,033",445,"22,797",712100
37,Homeworld: Deserts of Kharak,79.81%,"100,336",89,"7,326",281610
38,Offworld Trading Company,74.49%,"99,030",64,"2,698",271240
39,RUNNING WITH RIFLES,85.64%,"92,471",117,"14,149",270150
40,Command & Conquer™ Remastered Collection,89.10%,"91,422",828,"42,587",1213210
41,Call to Arms,76.61%,"87,796",312,"2,882",302670
42,Master of Orion,72.91%,"86,754",433,"4,852",298050
43,Age of Mythology: Extended Edition,89.26%,"84,130","1,593","11,074",266840
44,Battlefleet Gothic: Armada,67.01%,"80,066",35,"9,253",363680
45,Planetary Annihilation: TITANS,81.90%,"79,347",256,"4,577",386070
46,Freeman: Guerrilla Warfare,75.92%,"78,842",56,"2,127",773951
47,Anno 2205™,67.97%,"78,208",89,"7,446",375910
48,Colony Survival,87.91%,"74,140",168,"1,488",366090
49,Lobotomy Corporation | Monster Management Simulation,91.35%,"73,035",288,"2,880",568220
50,Ancestors Legacy,77.31%,"73,018",71,"4,940",620590
51,Anno 1800,80.13%,"71,818",285,"25,302",916440
52,Evil Genius 2: World Domination,62.24%,"71,508",385,"37,117",700600
54,Steel Division: Normandy 44,71.84%,"70,236",116,"4,678",572410
55,Stronghold Crusader 2,67.15%,"69,572",286,"5,763",232890
56,From the Depths,87.43%,"66,625",516,"1,700",268650
58,Cossacks 3,78.05%,"61,913",561,"5,797",333420
59,Art of War: Red Tides,76.94%,"61,692",11,"4,031",558100
60,Tooth and Tail,77.33%,"59,962",12,"1,975",286000
61,Ultimate General: Civil War,86.29%,"59,813",654,"1,678",502520
62,Natural Selection 2,83.24%,"59,071",167,"9,510",4920
63,Wargame: Red Dragon,86.94%,"58,442",793,"4,779",251060
64,STAR WARS™ Empire at War - Gold Pack,95.05%,"56,993","1,717","5,716",32470
65,Satellite Reign,69.13%,"55,047",21,"7,251",268870
66,Conqueror's Blade,73.45%,"54,881","3,346","15,008",905370
67,Medieval Kingdom Wars,75.38%,"54,339",8,549,499660
68,Sudden Strike 4,73.37%,"53,671",151,"2,476",373930
69,Halo Wars: Definitive Edition,86.90%,"53,326",151,"3,192",459220
70,Dungeons 3,92.35%,"53,087",184,"3,289",493900
71,Door Kickers,91.89%,"52,964",30,"2,041",248610
72,Sins of a Solar Empire®: Rebellion,90.57%,"52,909",633,"93,109",204880
73,Battlefleet Gothic: Armada 2,77.42%,"51,468",308,"8,960",573100
74,Age of Empires III: Definitive Edition,73.44%,"51,124","3,018","20,146",933110
75,Steel Division 2,76.44%,"50,292",584,"2,260",919640
76,Oriental Empires,77.57%,"50,241",24,896,357310
77,War for the Overworld,83.21%,"50,085",79,"2,227",230190
78,Tropico 5,76.61%,"48,891",204,"13,483",245620
79,Call to Arms - Gates of Hell: Ostfront,75.73%,"48,556",536,"2,704",400750
80,Grey Goo,66.91%,"48,083",11,"3,999",290790
81,Empires of the Undergrowth,91.36%,"47,790",219,989,463530
82,AirMech Strike,82.04%,"45,011",33,"2,336",206500
83,Stronghold: Warlords,60.49%,"43,702",106,"4,434",907650
84,Becastled,80.16%,"43,457",89,"1,507",1330460
85,Rebel Inc: Escalation,79.49%,"42,331",52,"1,034",1088790
86,Rise of Nations: Extended Edition,91.17%,"42,211",691,"2,734",287450
87,Total War: EMPIRE – Definitive Edition,88.85%,"41,990","2,604","27,559",10500
88,Folk Tale,41.06%,"41,340",1,536,224440
89,Conqueror's Blade,67.25%,"40,758","2,063","19,178",835570
90,Command & Conquer: Red Alert 3,82.67%,"40,217",281,"2,984",17480
91,Bad North: Jotunn Edition,87.94%,"39,750",55,"1,136",688420
92,Act of Aggression - Reboot Edition,63.32%,"36,982",45,"3,131",318020
93,Grand Ages: Medieval,46.63%,"36,888",15,"4,274",310470
95,Frozenheim,68.16%,"36,555",72,"2,523",1134100
96,Castle Story,60.37%,"35,034",68,"1,565",227860
97,Driftland: The Magic Revival,72.49%,"34,936",17,456,718650
98,Executive Assault 2,79.25%,"34,730",7,294,510500
99,Mashinky,85.89%,"34,212",42,"1,622",598960
