,Name,Rating,Followers,Online,Peak,id
0,PAYDAY 2,87.79%,"7,544,201","25,013","247,709",218620
1,Counter-Strike: Global Offensive,87.73%,"2,944,662","510,771","1,308,963",730
2,PUBG: BATTLEGROUNDS,54.52%,"2,847,944","97,647","3,257,248",578080
3,Grand Theft Auto V,82.79%,"2,336,535","96,238","364,548",271590
4,Dota 2,83.55%,"1,887,003","379,039","1,295,114",570
5,Deep Rock Galactic,95.39%,"1,346,099","5,080","36,224",548430
6,Dead by Daylight,81.53%,"1,298,168","56,841","105,093",381210
7,ARK: Survival Evolved,79.77%,"1,249,512","46,722","157,400",346110
8,Team Fortress 2,93.06%,"1,231,323","77,262","151,253",440
9,Tom Clancy's Rainbow Six® Siege,87.10%,"1,132,788","46,582","201,053",359550
10,Left 4 Dead 2,96.42%,"865,195","15,985","162,399",550
11,Rust,85.93%,"856,565","106,543","245,243",252490
12,Warframe,89.62%,"755,251","42,845","189,837",230410
13,Monster Hunter: World,83.48%,"745,080","12,441","334,684",582010
14,Rocket League®,88.30%,"618,648","64,583","147,632",252950
15,Killing Floor 2,86.81%,"617,961","2,775","69,987",232090
16,Sid Meier’s Civilization® VI,81.65%,"616,045","30,545","162,657",289070
17,Fall Guys: Ultimate Knockout,82.27%,"615,530","11,925","172,213",1097150
18,Arma 3,89.33%,"610,379","16,807","56,679",107410
19,Garry's Mod,95.76%,"605,466","31,713","73,863",4000
20,Terraria,97.11%,"586,997","27,123","489,886",105600
21,DARK SOULS™ III,93.01%,"562,806","11,105","129,975",374320
22,Z1 Battle Royale,55.26%,"517,234",87,"151,239",433850
23,Unturned,90.52%,"508,491","18,179","63,462",304930
24,Don't Starve Together,95.13%,"505,458","12,147","68,418",322330
25,Destiny 2,84.10%,"498,711","44,687","292,513",1085660
26,Squad,86.61%,"497,710","5,587","15,338",393380
27,Human: Fall Flat,93.25%,"488,573","1,473","127,517",477160
28,ASTRONEER,89.34%,"480,297","1,667","17,986",361420
29,DayZ,67.69%,"477,791","26,042","45,878",221100
30,Tom Clancy’s The Division™,67.96%,"472,315",454,"114,228",365590
31,Total War: THREE KINGDOMS,69.70%,"461,869","3,043","192,298",779340
32,Raft,91.48%,"452,909","5,666","42,288",648800
33,Halo: The Master Chief Collection,91.63%,"450,548","8,589","161,024",976730
34,Ring of Elysium,73.97%,"424,290",852,"63,435",755790
35,Hunt: Showdown,81.16%,"396,304","14,827","32,698",594650
36,The Elder Scrolls® Online,80.65%,"394,490","20,622","49,234",306130
37,Tom Clancy's Ghost Recon® Wildlands,76.83%,"394,459","1,012","45,704",460930
38,Total War: WARHAMMER II,92.11%,"379,908","25,660","84,920",594570
39,Call of Duty®: Modern Warfare® 2,90.98%,"378,221",417,"22,614",10180
40,Far Cry® 5,78.14%,"374,607","9,245","92,445",552520
41,Chivalry: Medieval Warfare,81.24%,"367,886",199,"25,145",219640
42,Just Survive,58.66%,"362,602",1,"40,335",295110
43,Valheim,94.77%,"361,047","21,933","502,387",892970
44,theHunter: Call of the Wild™,84.57%,"356,627","2,407","18,081",518790
45,Paladins®,85.03%,"331,872","10,345","60,743",444090
46,Stranded Deep,75.03%,"331,496",551,"6,036",313120
47,Factorio,97.37%,"331,424","12,415","34,700",427520
48,DOOM,93.94%,"327,579","1,827","44,271",379720
49,Total War: WARHAMMER,76.75%,"323,369",776,"113,019",364360
50,World of Warships,80.32%,"321,709","5,734","379,096",552990
51,Left 4 Dead,94.00%,"307,581",555,"30,616",500
52,Portal 2,97.64%,"303,997","2,380","98,460",620
53,Just Cause™ 3,79.83%,"302,613","1,704","23,459",225540
54,Northgard,86.40%,"301,336","2,193","15,592",466560
55,Space Engineers,87.12%,"301,241","7,854","23,888",244850
56,Sea of Thieves,89.02%,"296,832","13,196","66,906",1172620
57,Watch_Dogs® 2,81.33%,"296,713",301,"18,138",447040
58,Scrap Mechanic,90.83%,"289,374","2,730","46,643",387990
59,Heroes & Generals,67.21%,"287,451","1,697","21,026",227940
60,Borderlands 2,92.54%,"287,122","3,804","124,678",49520
61,XCOM® 2,83.18%,"285,411","5,635","133,022",268500
62,Besiege,93.79%,"281,869",260,"11,206",346010
63,Conan Exiles,77.48%,"277,541","9,411","53,402",440900
65,Among Us,92.14%,"273,036","10,760","447,476",945360
66,Hearts of Iron IV,90.59%,"272,158","31,006","46,806",394360
67,Insurgency,90.40%,"271,988",655,"121,575",222880
68,Far Cry® 4,80.87%,"269,607",680,"16,963",298110
69,Minion Masters,90.06%,"265,476",852,"10,329",489520
70,Evolve Stage 2,67.03%,"263,159",18,"51,127",273350
71,Black Squad,75.99%,"260,757","1,131","15,939",550650
72,Call of Duty®: Black Ops III,75.70%,"260,696","4,778","63,681",311210
73,Starbound,91.83%,"259,613","2,252","88,709",211820
74,FOR HONOR™,66.32%,"256,503","3,985","225,831",304390
75,Cuphead,94.74%,"255,988",878,"19,026",268910
76,Risk of Rain 2,95.19%,"248,653","6,130","71,548",632360
77,Warface,67.77%,"247,197","2,195","13,867",291480
78,Satisfactory,95.42%,"245,421","8,286","32,831",526870
79,Empyrion - Galactic Survival,79.42%,"245,220","2,928","8,829",383120
80,Call of Duty®: WWII,62.66%,"244,891",211,"19,406",476600
81,Hurtworld,75.07%,"243,334",273,"13,333",393420
82,FINAL FANTASY XV WINDOWS EDITION,80.15%,"240,939",577,"29,498",637650
83,GTFO,86.64%,"236,110",499,"5,247",493520
84,Black Mesa,94.09%,"236,029",861,"7,158",362890
85,Gang Beasts,75.42%,"232,178",471,"3,062",285900
86,HITMAN™ 2,89.37%,"231,772","1,502","361,001",863550
87,SMITE®,79.66%,"230,829","16,975","31,169",386360
89,Grim Dawn,91.74%,"223,388","2,816","61,458",219990
90,Dying Light 2 Stay Human,-,"222,355",0,34,534380
91,The Binding of Isaac: Rebirth,96.57%,"222,230","17,005","70,701",250900
92,Borderlands: The Pre-Sequel,79.47%,"219,143",508,"68,238",261640
93,Devil May Cry 5,92.69%,"218,904",527,"88,894",601150
94,Osiris: New Dawn,59.94%,"217,665",143,"4,773",402710
95,Life is Feudal: Your Own,65.03%,"217,116",466,"7,896",290080
96,Phasmophobia,96.21%,"216,528","16,044","112,717",739630
97,KurtzPel,62.65%,"214,588",391,"11,937",844870
98,PlanetSide 2,80.97%,"212,979","2,584","29,676",218230
99,Insurgency: Sandstorm,83.26%,"211,997","2,444","14,606",581320
