,Name,Rating,Followers,Online,Peak,id
0,Grand Theft Auto V,82.79%,"2,336,535","96,238","364,548",271590
1,Deep Rock Galactic,95.39%,"1,346,099","5,080","36,224",548430
2,ARK: Survival Evolved,79.77%,"1,249,512","46,722","157,400",346110
3,Cyberpunk 2077,75.05%,"1,177,161","8,222","1,054,388",1091500
4,Rust,85.93%,"856,565","106,543","245,243",252490
5,Fallout 4,78.77%,"846,011","19,979","472,962",377160
6,The Witcher® 3: Wild Hunt,97.05%,"786,023","14,549","103,329",292030
7,Monster Hunter: World,83.48%,"745,080","12,441","334,684",582010
8,Mount & Blade II: Bannerlord,86.17%,"737,748","12,929","248,216",261550
9,No Man's Sky,71.14%,"680,963","6,149","212,613",275850
10,Euro Truck Simulator 2,96.64%,"659,530","24,175","61,081",227300
11,The Forest,93.84%,"625,035","6,118","64,879",242760
12,Arma 3,89.33%,"610,379","16,807","56,679",107410
13,Dying Light: Enhanced Edition,93.98%,"603,769","4,467","45,876",239140
14,Terraria,97.11%,"586,997","27,123","489,886",105600
15,Stardew Valley,96.93%,"583,057","31,715","94,879",413150
16,DARK SOULS™ III,93.01%,"562,806","11,105","129,975",374320
17,Subnautica,94.91%,"546,416","2,376","51,156",264710
18,Z1 Battle Royale,55.26%,"517,234",87,"151,239",433850
19,Unturned,90.52%,"508,491","18,179","63,462",304930
20,Don't Starve Together,95.13%,"505,458","12,147","68,418",322330
21,Destiny 2,84.10%,"498,711","44,687","292,513",1085660
22,Squad,86.61%,"497,710","5,587","15,338",393380
23,Human: Fall Flat,93.25%,"488,573","1,473","127,517",477160
24,ASTRONEER,89.34%,"480,297","1,667","17,986",361420
25,DayZ,67.69%,"477,791","26,042","45,878",221100
26,Tom Clancy’s The Division™,67.96%,"472,315",454,"114,228",365590
27,RimWorld,96.82%,"464,522","33,423","50,907",294100
28,Sekiro™: Shadows Die Twice - GOTY Edition,93.56%,"460,471","2,405","125,315",814380
29,The Long Dark,89.86%,"460,431","1,287","14,433",305620
30,Raft,91.48%,"452,909","5,666","42,288",648800
31,NieR:Automata™,81.83%,"449,074",770,"23,908",524220
32,Ring of Elysium,73.97%,"424,290",852,"63,435",755790
33,Red Dead Redemption 2,85.24%,"411,084","14,369","55,271",1174180
34,The Elder Scrolls V: Skyrim Special Edition,89.28%,"396,812","23,596","69,906",489830
35,Hunt: Showdown,81.16%,"396,304","14,827","32,698",594650
36,The Elder Scrolls® Online,80.65%,"394,490","20,622","49,234",306130
37,Tom Clancy's Ghost Recon® Wildlands,76.83%,"394,459","1,012","45,704",460930
38,7 Days to Die,86.21%,"385,713","18,990","47,025",251570
39,Far Cry® 5,78.14%,"374,607","9,245","92,445",552520
40,Rise of the Tomb Raider™,92.63%,"368,952","1,372","44,588",391220
41,Just Survive,58.66%,"362,602",1,"40,335",295110
42,Valheim,94.77%,"361,047","21,933","502,387",892970
43,theHunter: Call of the Wild™,84.57%,"356,627","2,407","18,081",518790
44,Kingdom Come: Deliverance,80.72%,"348,750","2,356","96,069",379430
45,Metro Exodus,86.81%,"348,587",987,"15,375",412020
46,Stranded Deep,75.03%,"331,496",551,"6,036",313120
47,Factorio,97.37%,"331,424","12,415","34,700",427520
48,Oxygen Not Included,94.72%,"330,996","7,643","27,486",457140
49,Total War: WARHAMMER,76.75%,"323,369",776,"113,019",364360
50,American Truck Simulator,94.81%,"315,375","5,992","19,153",270880
51,Assassin's Creed® Origins,84.92%,"310,838",894,"41,551",582160
52,The Elder Scrolls V: Skyrim,93.81%,"310,714","5,683","287,411",72850
53,Just Cause™ 3,79.83%,"302,613","1,704","23,459",225540
54,Space Engineers,87.12%,"301,241","7,854","23,888",244850
55,Sea of Thieves,89.02%,"296,832","13,196","66,906",1172620
56,Watch_Dogs® 2,81.33%,"296,713",301,"18,138",447040
57,Elite Dangerous,76.49%,"294,215","4,736","28,923",359320
58,SCUM,72.18%,"294,185","10,110","68,322",513710
59,Middle-earth™: Shadow of War™,85.06%,"290,587","2,263","68,183",356190
60,Scrap Mechanic,90.83%,"289,374","2,730","46,643",387990
61,Heroes & Generals,67.21%,"287,451","1,697","21,026",227940
62,Borderlands 2,92.54%,"287,122","3,804","124,678",49520
63,XCOM® 2,83.18%,"285,411","5,635","133,022",268500
64,Besiege,93.79%,"281,869",260,"11,206",346010
65,Assassin's Creed® Odyssey,87.59%,"277,672","3,018","62,069",812140
66,Conan Exiles,77.48%,"277,541","9,411","53,402",440900
67,Kerbal Space Program,93.10%,"275,856","3,827","19,149",220200
68,Hearts of Iron IV,90.59%,"272,158","31,006","46,806",394360
69,Far Cry® 4,80.87%,"269,607",680,"16,963",298110
70,Hollow Knight,95.74%,"267,383","6,765","11,992",367520
71,Black Squad,75.99%,"260,757","1,131","15,939",550650
72,Starbound,91.83%,"259,613","2,252","88,709",211820
73,BeamNG.drive,94.90%,"250,756","6,991","13,572",284160
74,Warface,67.77%,"247,197","2,195","13,867",291480
75,Satisfactory,95.42%,"245,421","8,286","32,831",526870
76,Empyrion - Galactic Survival,79.42%,"245,220","2,928","8,829",383120
77,Call of Duty®: WWII,62.66%,"244,891",211,"19,406",476600
78,Hurtworld,75.07%,"243,334",273,"13,333",393420
79,METAL GEAR SOLID V: THE PHANTOM PAIN,89.06%,"241,120","1,689","91,195",287700
80,FINAL FANTASY XV WINDOWS EDITION,80.15%,"240,939",577,"29,498",637650
81,Planet Zoo,88.07%,"239,930","3,638","38,630",703080
82,Jurassic World Evolution,84.09%,"235,089","1,256","60,296",648350
83,Shadow of the Tomb Raider: Definitive Edition,82.13%,"234,624","1,222","38,268",750920
84,HITMAN™ 2,89.37%,"231,772","1,502","361,001",863550
85,Green Hell,85.30%,"230,589","1,665","20,003",815370
87,Dying Light 2 Stay Human,-,"222,355",0,34,534380
88,Slime Rancher,96.08%,"221,645","1,829","6,452",433340
89,Borderlands: The Pre-Sequel,79.47%,"219,143",508,"68,238",261640
90,Dishonored 2,85.14%,"219,057","1,613","22,411",403640
91,Osiris: New Dawn,59.94%,"217,665",143,"4,773",402710
92,Life is Feudal: Your Own,65.03%,"217,116",466,"7,896",290080
93,Subnautica: Below Zero,89.94%,"216,187","1,685","42,115",848450
94,Mad Max,89.84%,"215,925",625,"33,356",234140
95,Middle-earth™: Shadow of Mordor™,90.70%,"215,473",521,"48,668",241930
96,Ori and the Blind Forest,93.70%,"213,863",109,"13,108",261570
97,PlanetSide 2,80.97%,"212,979","2,584","29,676",218230
98,Insurgency: Sandstorm,83.26%,"211,997","2,444","14,606",581320
99,BIOMUTANT,67.29%,"210,413",266,"55,048",597820
