,Name,Rating,Followers,Online,Peak,id
0,Life is Strange - Episode 1,95.03%,"255,042",363,"18,260",319630
1,Path of Exile,89.92%,"241,945","35,108","157,103",238960
2,Disco Elysium - The Final Cut,92.42%,"163,866","1,692","8,081",632470
3,Life is Strange: Before the Storm,91.72%,"117,404",108,"16,209",554620
4,"Papers, Please",94.96%,"95,060",506,"6,129",239030
5,VA-11 Hall-A: Cyberpunk Bartender Action,95.47%,"84,842",71,"1,574",447530
6,Beholder,88.91%,"83,240",154,"2,774",475550
7,Tales from the Borderlands,92.88%,"83,190",18,"8,690",330830
8,Game of Thrones - A Telltale Games Series,74.51%,"81,296",7,"6,771",330840
9,The Vanishing of Ethan Carter,86.13%,"75,926",4,"1,443",258520
10,Life is Strange 2,82.88%,"74,964",261,"468,717",532210
11,Dreamfall Chapters,80.26%,"69,538",16,"1,711",237850
12,Danganronpa: Trigger Happy Havoc,94.32%,"65,531",357,"3,392",413410
13,Unheard,94.44%,"64,204",50,"7,754",942970
14,The Walking Dead: A New Frontier,77.84%,"63,656",49,"8,278",536220
15,Game Dev Tycoon,93.44%,"61,727",253,"7,761",239820
16,Sherlock Holmes: The Devil's Daughter,77.30%,"59,836",108,"2,968",350640
17,Mr. Prepper,80.00%,"57,622",153,"6,911",761830
18,60 Seconds!,81.48%,"56,590",38,"1,067",368360
19,Detention,77.88%,"55,156",6,"2,335",555220
20,Eternal Return,81.98%,"54,527","2,293","52,853",1049590
21,The Walking Dead,95.14%,"50,997",156,"12,114",207610
22,Obduction,77.54%,"48,755",16,"1,915",306760
23,The Council,81.91%,"47,121",23,784,287630
24,Sherlock Holmes: Crimes and Punishments,87.77%,"46,931",79,889,241260
25,Batman - The Telltale Series,79.74%,"46,279",63,"4,001",498240
26,The Walking Dead: The Final Season,91.57%,"45,337",69,"4,120",866800
27,Phoenix Wright: Ace Attorney Trilogy,94.79%,"45,052",417,"3,611",787480
28,Five Nights at Freddy's,88.74%,"44,767",78,"1,316",319510
29,Five Nights at Freddy's 2,89.88%,"42,566",36,"1,725",332800
