,Name,Rating,Followers,Online,Peak,id
0,ARK: Survival Evolved,79.77%,"1,249,512","44,370","157,400",346110
1,Team Fortress 2,93.06%,"1,231,323","79,151","151,253",440
2,Rust,85.93%,"856,565","103,658","245,243",252490
3,No Man's Sky,71.14%,"680,963","5,991","212,613",275850
4,The Forest,93.84%,"625,035","5,648","64,879",242760
5,Terraria,97.11%,"586,997","25,913","489,886",105600
6,Stardew Valley,96.93%,"583,057","30,445","94,879",413150
7,Subnautica,94.91%,"546,416","2,353","51,156",264710
8,Unturned,90.52%,"508,491","20,179","63,462",304930
9,Don't Starve Together,95.13%,"505,458","11,540","68,418",322330
10,ASTRONEER,89.34%,"480,297","1,544","17,986",361420
11,The Long Dark,89.86%,"460,431","1,221","14,433",305620
12,Raft,91.48%,"452,909","5,283","42,288",648800
13,Just Survive,58.66%,"362,602",1,"40,335",295110
14,Valheim,94.77%,"361,047","20,621","502,387",892970
15,Baldur's Gate 3,86.61%,"353,419","2,208","73,980",1086940
16,This War of Mine,93.16%,"344,261",624,"9,503",282070
17,Stranded Deep,75.03%,"331,496",516,"6,036",313120
18,Factorio,97.37%,"331,424","11,819","34,700",427520
19,Space Engineers,87.12%,"301,241","7,538","23,888",244850
20,SCUM,72.18%,"294,185","9,205","68,322",513710
21,Scrap Mechanic,90.83%,"289,374","2,431","46,643",387990
22,Conan Exiles,77.48%,"277,541","9,057","53,402",440900
23,Far Cry® 4,80.87%,"269,607",625,"16,963",298110
24,Starbound,91.83%,"259,613","2,173","88,709",211820
25,Satisfactory,95.42%,"245,421","7,887","32,831",526870
26,Empyrion - Galactic Survival,79.42%,"245,220","2,847","8,829",383120
27,Hurtworld,75.07%,"243,334",248,"13,333",393420
28,Green Hell,85.30%,"230,589","1,586","20,003",815370
30,Osiris: New Dawn,59.94%,"217,665",141,"4,773",402710
31,Life is Feudal: Your Own,65.03%,"217,116",435,"7,896",290080
32,Subnautica: Below Zero,89.94%,"216,187","1,643","42,115",848450
33,Miscreated,66.36%,"206,747",195,"5,159",299740
34,Kenshi,92.95%,"204,091","2,894","10,579",233860
35,Far Cry® Primal,81.41%,"203,247",237,"14,783",371660
36,The Solus Project,77.25%,"188,920",4,652,313630
37,Grounded,84.79%,"186,347","1,953","32,012",962130
38,Project Zomboid,88.24%,"185,227","5,513","7,191",108600
39,Eco,80.20%,"183,837","1,329","6,964",382310
40,My Time At Portia,91.04%,"176,513","1,025","13,299",666140
41,Medieval Dynasty,89.43%,"169,428","1,941","18,738",1129580
42,Portal Knights,81.02%,"168,215",193,"6,545",374040
43,We Happy Few,73.40%,"168,153",117,"3,498",320240
44,ATLAS,46.77%,"166,019","1,203","58,939",834910
45,Don't Starve,95.30%,"165,845","1,120","16,796",219740
46,Robocraft,71.96%,"160,068",284,"26,725",301520
47,The Wild Eight,69.82%,"159,714",267,"1,707",526160
48,Dark and Light,54.24%,"151,382",212,"14,089",529180
49,Craftopia,78.93%,"149,269",433,"27,246",1307550
50,Black Desert,74.46%,"140,901","20,717","60,395",582660
51,Foxhole,80.39%,"133,390","3,019","5,709",505460
52,The Escapists 2,87.54%,"132,999",321,"11,202",641990
53,Stonehearth,74.58%,"130,698",170,"1,851",253250
54,Kingdoms and Castles,89.60%,"130,527",623,"4,856",569480
55,Far Cry 3,88.81%,"128,538",591,"23,065",220240
56,Car Mechanic Simulator 2018,88.38%,"127,208","1,684","8,474",645630
57,Planet Explorers,62.40%,"124,383",13,"2,125",237870
58,DESOLATE,67.27%,"123,359",49,"1,832",671510
59,Noita,93.65%,"120,960","1,801","5,239",881100
60,Creativerse,79.24%,"120,715",215,"10,929",280790
61,Savage Lands,55.60%,"120,441",10,"2,157",307880
62,The Culling,56.80%,"117,629",0,"12,995",437220
63,Trove,79.74%,"117,499","1,943","58,949",304050
64,Medieval Engineers,55.51%,"113,689",43,"3,984",333950
65,Planetbase,76.58%,"113,392",276,"6,670",403190
66,Going Medieval,86.46%,"111,810","1,925","14,676",1029780
67,Bless Online,38.43%,"111,351",2,"34,392",681660
68,Rising World,80.77%,"111,264",50,486,324080
69,Forager,90.06%,"110,743",409,"13,438",751780
70,TerraTech,87.78%,"109,818",738,"5,726",285920
71,Days Gone,90.47%,"109,372","3,255","27,450",1259420
72,The Escapists,87.80%,"108,395",54,"3,354",298630
73,X4: Foundations,73.20%,"104,616","1,298","15,198",392160
74,Graveyard Keeper,83.43%,"103,836",826,"16,993",599140
75,Space Haven,84.82%,"103,253",419,"5,687",979110
76,Breathedge,82.99%,"102,107",132,"6,857",738520
77,Subsistence,72.03%,"101,296",473,"1,376",418030
78,Bloodstained: Ritual of the Night,93.35%,"98,360",478,"26,934",692850
79,Reign Of Kings,56.99%,"98,322",21,"13,278",344760
80,Crossout,75.81%,"98,196","2,326","9,701",386180
81,Fallout Shelter,86.81%,"97,971","1,152","42,656",588430
82,Survarium,53.95%,"97,665",285,"4,382",355840
83,Homefront®: The Revolution,58.00%,"97,544",70,"4,365",223100
84,Life is Feudal: Forest Village,64.48%,"96,003",148,"1,962",496460
85,PixARK,69.37%,"95,911",341,"14,144",593600
86,Craft The World,85.67%,"95,647",275,"3,283",248390
87,GRAV,49.46%,"91,541",1,"6,367",332500
88,Chernobylite,79.00%,"85,920",808,"3,944",1016800
89,Romero's Aftermath,48.69%,"85,438",0,"4,302",349700
90,Poly Bridge,89.25%,"84,383",97,"4,134",367450
91,Atelier Ryza: Ever Darkness & the Secret Hideout,84.43%,"83,098",43,"4,616",1121560
92,Minecraft: Story Mode - A Telltale Games Series,74.05%,"83,042",13,"6,423",376870
93,EVERSPACE™ 2,87.32%,"81,519",307,"3,072",1128920
94,Worlds Adrift,61.60%,"80,403",0,"2,057",322780
95,Cube World,38.78%,"80,174",62,"35,622",1128000
96,Citadel: Forged with Fire,67.20%,"80,130",57,"7,777",487120
97,Darkwood,91.95%,"79,010",87,"1,051",274520
98,StarMade,67.68%,"78,438",16,960,244770
99,Ancestors: The Humankind Odyssey,73.95%,"77,967",144,"3,334",536270
