,Name,Rating,Followers,Online,Peak,id
0,PAYDAY 2,87.79%,"7,544,201","27,256","247,709",218620
1,Counter-Strike: Global Offensive,87.73%,"2,944,662","478,804","1,308,963",730
2,PUBG: BATTLEGROUNDS,54.52%,"2,847,944","86,603","3,257,248",578080
3,Team Fortress 2,93.06%,"1,231,323","78,914","151,253",440
4,Tom Clancy's Rainbow Six® Siege,87.10%,"1,132,788","43,648","201,053",359550
5,Left 4 Dead 2,96.42%,"865,195","15,717","162,399",550
6,Sid Meier’s Civilization® VI,81.65%,"616,045","29,437","162,657",289070
7,Arma 3,89.33%,"610,379","15,674","56,679",107410
8,Squad,86.61%,"497,710","5,240","15,338",393380
9,Tom Clancy’s The Division™,67.96%,"472,315",418,"114,228",365590
10,Total War: THREE KINGDOMS,69.70%,"461,869","2,938","192,298",779340
11,Counter-Strike: Source,94.77%,"435,159","3,666","100,056",240
12,Ring of Elysium,73.97%,"424,290",790,"63,435",755790
13,Tom Clancy's Ghost Recon® Wildlands,76.83%,"394,459",965,"45,704",460930
14,Total War: WARHAMMER II,92.11%,"379,908","24,485","84,920",594570
15,Call of Duty®: Modern Warfare® 2,90.98%,"378,221",401,"22,614",10180
16,Total War: WARHAMMER,76.75%,"323,369",736,"113,019",364360
17,World of Warships,80.32%,"321,709","5,527","379,096",552990
18,Left 4 Dead,94.00%,"307,581",596,"30,616",500
19,Heroes & Generals,67.21%,"287,451","1,505","21,026",227940
20,XCOM® 2,83.18%,"285,411","5,424","133,022",268500
21,Hearts of Iron IV,90.59%,"272,158","29,276","46,806",394360
22,Insurgency,90.40%,"271,988",611,"121,575",222880
23,Evolve Stage 2,67.03%,"263,159",16,"51,127",273350
24,Black Squad,75.99%,"260,757","1,107","15,939",550650
25,They Are Billions,83.54%,"255,231","1,851","22,395",644930
26,Warface,67.77%,"247,197","2,045","13,867",291480
27,METAL GEAR SOLID V: THE PHANTOM PAIN,89.06%,"241,120","1,634","91,195",287700
28,GTFO,86.64%,"236,110",490,"5,247",493520
29,Dungeon Defenders II,75.26%,"234,496",802,"18,785",236110
30,Apex Legends™,88.13%,"229,969","122,292","330,879",1172470
31,Phasmophobia,96.21%,"216,528","14,985","112,717",739630
32,PlanetSide 2,80.97%,"212,979","2,325","29,676",218230
33,Insurgency: Sandstorm,83.26%,"211,997","2,256","14,606",581320
34,Plague Inc: Evolved,92.56%,"210,944",403,"17,889",246620
35,Sniper Elite 4,88.14%,"208,208",985,"15,101",312660
36,HITMAN™,80.89%,"195,303",199,"51,650",236870
