,Name,Rating,Followers,Online,Peak,id
0,DEATH STRANDING,91.89%,"202,696","1,117","32,515",1190460
1,Disco Elysium - The Final Cut,92.42%,"163,866","1,622","8,081",632470
2,The Witness,83.29%,"115,785",155,"6,185",210970
3,GRIS,94.79%,"113,596",59,959,683320
4,Hello Neighbor,76.74%,"113,472",104,"1,414",521890
5,Microsoft Flight Simulator,73.74%,"89,692","5,855","61,829",1250410
6,Control Ultimate Edition,86.93%,"88,935",620,"9,193",870780
7,Layers of Fear,87.70%,"67,945",64,"145,384",391720
8,The Stanley Parable,90.46%,"64,685",52,"4,818",221910
9,Atomic Heart,-,"60,230",0,3,668580
10,Detention,77.88%,"55,156",5,"2,335",555220
11,Pathologic 2,88.79%,"53,430",80,"1,422",505230
12,OneShot,95.74%,"53,268",45,824,420530
13,Catherine Classic,85.00%,"48,849",50,"1,265",893180
14,Obduction,77.54%,"48,755",20,"1,915",306760
15,Visage,85.00%,"45,047",108,"1,178",594330
16,Kona,80.10%,"44,603",2,349,365160
17,Superliminal,91.96%,"42,767",149,"1,439",1049410
18,Scorn,-,"42,253",0,1,698670
19,LIMBO,91.77%,"41,578",53,"27,466",48000
20,Hotline Miami,95.69%,"40,291",138,"6,878",219150
21,Samorost 3,91.19%,"39,832",14,468,421120
22,The Beginner's Guide,84.89%,"36,254",10,947,303210
23,Fran Bow,93.94%,"36,204",67,447,362680
24,Baba Is You,95.52%,"34,960",271,"1,533",736260
25,WILL: A Wonderful World / WILL：美好世界,90.62%,"32,504",4,"1,126",588040
26,LET IT DIE,70.69%,"27,526",109,"1,939",794600
27,Record of Lodoss War-Deedlit in Wonder Labyrinth-,89.88%,"26,739",19,848,1203630
28,Dreamscaper,87.26%,"26,298",485,"1,129",1040420
29,Gal*Gun: Double Peace,82.80%,"25,662",2,218,511740
30,Kentucky Route Zero: PC Edition,78.17%,"22,688",12,431,231200
31,Quern - Undying Thoughts,88.17%,"22,382",23,437,512790
32,DARQ: Complete Edition,89.90%,"21,443",6,154,433550
33,Machinarium,92.70%,"21,187",19,"1,279",40700
34,Dream,56.11%,"18,998",0,224,229580
35,E.Y.E: Divine Cybermancy,81.75%,"18,454",41,"2,481",91700
36,Antichamber,92.65%,"17,817",14,"2,369",219890
37,GRIME,77.74%,"17,556",715,"2,012",1123050
38,AMID EVIL,92.51%,"16,887",27,352,673130
39,Himno,88.25%,"16,787",6,320,931690
40,BREAK ARTS II,71.18%,"16,115",4,464,547360
41,Otaku's Adventure,90.96%,"15,888",6,"2,792",937170
42,DEEMO -Reborn-,84.10%,"15,782",9,"1,403",1282210
43,A Bird Story,81.77%,"15,641",1,"1,313",327410
44,Manifold Garden,91.77%,"15,596",20,326,473950
45,Creaks,89.94%,"15,210",8,286,956030
46,Cozy Grove,81.57%,"14,834",188,873,1458100
47,"That Dragon, Cancer",85.79%,"14,633",0,165,419460
48,Call of the Sea,85.62%,"14,603",18,213,1042490
49,Psychonauts 2,-,"14,493",0,23,607080
50,The Pedestrian,93.21%,"14,261",6,170,466630
51,Botanicula,92.51%,"13,931",9,428,207690
52,DEEEER Simulator: Your Average Everyday Deer Game,85.20%,"13,742",24,222,1018800
53,Hardland,69.42%,"13,479",1,89,321980
54,Fresh Body,73.77%,"13,458",2,175,550840
55,Tales of the Neon Sea,81.50%,"13,219",4,691,828740
56,Narcosis,72.11%,"13,214",2,67,366870
57,Neverending Nightmares,73.06%,"13,171",0,146,253330
58,Summer in Mara,74.27%,"13,143",26,"1,003",962580
59,Layers of Fear 2,70.85%,"13,011",6,739,1029890
60,Killer is Dead - Nightmare Edition,73.91%,"12,983",10,"4,255",261110
61,Those Who Remain,67.11%,"12,919",1,157,715380
62,Super Seducer 2 - Advanced Seduction Tactics,79.06%,"12,878",15,646,863570
63,Cube Escape: Paradox,93.80%,"12,855",43,"1,837",909080
64,Only If,62.25%,"12,675",3,713,298260
65,CHUCHEL,77.22%,"11,959",2,243,711660
66,My Lovely Daughter,68.88%,"11,899",3,914,580170
67,Absolute Drift,84.95%,"11,803",7,352,320140
68,Katamari Damacy REROLL,88.90%,"11,507",26,433,848350
69,Rusty Lake: Roots,92.23%,"11,395",25,337,532110
70,The Cat Lady,89.90%,"11,265",7,187,253110
71,The Gardens Between,89.26%,"10,972",1,138,600990
72,APE OUT,90.03%,"10,923",5,128,447150
73,Yume Nikki,89.39%,"10,855",30,469,650700
74,Jazzpunk: Director's Cut,89.14%,"10,609",9,546,250260
75,realMyst: Masterpiece Edition,83.19%,"10,403",13,292,244430
76,Before Your Eyes,94.69%,"10,300",15,510,1082430
77,Astebreed: Definitive Edition,84.42%,"10,142",1,133,283680
78,Little Inferno,91.17%,"9,790",21,"2,129",221260
79,Devil Girl,80.98%,"9,776",12,132,1466180
80,Year Walk,86.95%,"9,073",2,79,269050
81,Genesis Noir,78.11%,"8,817",1,85,735290
82,UNBEATABLE [white label],92.22%,"8,775",35,528,1290490
83,Everhood,92.08%,"8,711",101,819,1229380
84,YUMENIKKI -DREAM DIARY-,67.88%,"8,617",1,823,774811
85,Hypnospace Outlaw,93.10%,"8,569",38,307,844590
86,The Bridge,84.90%,"8,411",2,"1,015",204240
87,The Dream Machine: Chapter 1 & 2,84.46%,"8,378",10,864,94300
88,Cruelty Squad,93.23%,"8,300",233,360,1388770
89,killer7,91.00%,"8,277",16,224,868520
90,NaissanceE,79.40%,"8,221",4,230,265690
91,Cloud Gardens,91.25%,"8,123",4,286,1372320
92,Paradise Killer,90.11%,"8,105",41,291,1160220
93,MIND: Path to Thalamus Enhanced Edition,64.78%,"7,980",0,301,296070
94,Deadly Premonition: The Director's Cut,66.54%,"7,959",4,320,247660
95,Awkward Dimensions Redux,77.79%,"7,785",1,261,529110
96,Notch - The Innocent LunA: Eclipsed SinnerS,85.23%,"7,658",0,48,325120
97,Observer: System Redux,84.01%,"7,605",10,253,1386900
98,Muffled Warfare - Echolocation Shooter,76.05%,"7,540",0,23,545180
99,The White Door,90.24%,"7,403",10,"1,144",1145960
