,Name,Rating,Followers,Online,Peak,id
0,Sid Meier’s Civilization® VI,81.65%,"616,133","39,752","162,657",289070
1,Sid Meier's Civilization® V,94.95%,"178,884","18,796","91,363",8930
2,ENDLESS™ Legend,82.56%,"147,288",325,"10,468",289130
3,Sid Meier's Civilization®: Beyond Earth™,57.15%,"143,972",505,"86,892",65980
4,For The King,86.88%,"120,851","1,491","9,625",527230
5,Armello,80.42%,"90,900",199,"3,614",290340
6,Galactic Civilizations III,75.01%,"87,606",375,"6,297",226860
7,Pit People®,90.88%,"83,574",39,"2,504",291860
8,Age of Wonders: Planetfall,77.78%,"76,363",538,"10,462",718850
9,Age of Wonders III,78.06%,"65,015",484,"19,469",226840
10,Gloomhaven,84.65%,"60,918",427,"2,179",780290
11,Thea: The Awakening,86.96%,"47,566",77,"1,742",378720
12,"Warhammer 40,000: Gladius - Relics of War",78.13%,"47,117",347,"3,451",489630
13,Curious Expedition,87.62%,"39,664",57,"1,038",358130
14,Expeditions: Viking,81.73%,"34,221",277,"2,901",445190
15,Chaos Reborn,73.17%,"32,894",4,346,319050
16,NEO Scavenger,87.10%,"32,621",27,531,248860
17,Crying Suns,83.62%,"28,703",36,"1,479",873940
18,WARTILE,74.91%,"26,185",1,332,404200
19,Faeria,81.16%,"26,095",63,"3,675",397060
20,Scythe: Digital Edition,85.89%,"25,908",81,"1,237",718560
21,Before We Leave,75.38%,"25,246",78,"2,313",1073910
22,Urtuk: The Desolation,86.79%,"24,679",98,949,1181830
24,Panzer Corps 2,78.07%,"19,056",675,"3,480",1072040
26,Order of Battle: World War II,73.20%,"17,299",289,"2,171",312450
27,Fantasy General II,78.97%,"17,178",64,634,1025440
28,"Warhammer 40,000: Armageddon",76.50%,"16,408",11,587,312370
29,Shardbound,73.00%,"15,846",1,751,586030
30,Broken Lines,76.68%,"15,746",6,261,926580
31,Unity of Command II,77.97%,"15,742",77,614,809230
32,Sunrider: Mask of Arcadius,88.93%,"15,485",4,"1,024",313730
33,Terraforming Mars,74.12%,"15,325",442,"1,667",800270
34,Panzer Corps Gold,87.15%,"13,172",395,"1,056",268400
35,Battle for Wesnoth,90.02%,"12,925",164,"1,019",599390
36,Expeditions: Conquistador,76.62%,"12,534",95,721,237430
37,Pandora: First Contact,61.16%,"10,744",3,295,287580
38,Shadow Empire,80.74%,"10,506",70,608,1154840
39,Rising Lords,70.62%,"10,385",17,299,835650
40,Warbands: Bushido,66.84%,"9,542",4,129,556820
41,Tactical Monsters Rumble Arena,86.05%,"9,510",135,"1,283",705220
42,Blackguards,61.02%,"9,163",11,"2,360",249650
43,Gary Grigsby's War in the East,84.16%,"8,086",54,150,370540
44,Blackguards 2,64.57%,"8,077",6,610,314830
46,Last Days of Old Earth,57.02%,"7,462",0,13,376450
47,Eador. Masters of the Broken World,66.11%,"6,893",57,"118,780",232050
48,Panzer Strategy,64.09%,"6,746",3,195,769950
49,Strategic Mind: Fight for Freedom,83.51%,"6,637",13,117,1381850
50,King's Bounty: The Legend,86.98%,"6,606",358,862,25900
51,Warring States,69.88%,"6,498",1,78,282680
52,Warlock - Master of the Arcane,82.72%,"5,972",31,"3,490",203630
53,Guards of the Gate,62.31%,"5,777",0,17,815290
54,Warlock 2: The Exiled,66.95%,"5,740",40,984,205990
55,Z Dawn,72.54%,"5,705",0,99,872680
56,Tactical Genius Online,65.40%,"5,519",0,72,377150
57,MicroTown,87.76%,"5,213",4,50,931270
58,Himeko Sutori,74.45%,"5,186",5,99,669500
59,Strategic Mind: Spectre of Communism,78.32%,"5,084",16,97,1341170
60,军团战棋Legion War,85.96%,"4,898",69,226,975270
61,Battle Worlds: Kronos,64.28%,"4,496",4,372,237470
62,Braveland,79.34%,"4,438",2,"218,169",285800
63,King's Bounty: Armored Princess,86.16%,"4,278",78,401,3170
64,Fabled Lands,79.34%,"3,952",0,60,1299620
65,Codex of Victory,68.12%,"3,944",1,148,464100
66,Terroir,69.19%,"3,748",5,55,559910
67,Atlas Architect,80.78%,"3,714",3,28,1459500
68,Vietnam ‘65,77.07%,"3,699",7,127,336080
69,Crowntakers,71.66%,"3,699",2,170,294370
70,King's Bounty: Dark Side,70.00%,"3,589",197,"1,282",289520
71,King's Bounty: Warriors of the North,78.70%,"3,337",201,"2,219",203350
72,Unity of Command: Stalingrad Campaign,75.71%,"3,289",11,358,218090
73,Hexcells,93.04%,"3,271",7,384,265890
74,Strategic Command WWII: World at War,79.27%,"3,267",133,263,957720
75,Starport Delta,66.88%,"3,242",0,42,888130
76,Post Human W.A.R,74.25%,"3,202",0,66,462240
77,Flashpoint Campaigns: Red Storm Player's Edition,81.55%,"3,073",2,92,330720
78,Möbius Front '83,69.61%,"2,865",2,250,971160
79,Final Theory,74.99%,"2,823",4,56,894630
80,Steam: Rails to Riches,72.83%,"2,790",1,37,595930
81,Tank Operations: European Campaign,77.84%,"2,707",1,31,844860
82,Dogs of War Online,62.02%,"2,706",0,995,219700
84,Deity Empires,82.34%,"2,674",23,82,889080
85,King's Bounty: Crossworlds,86.37%,"2,669",186,224,63910
86,The Chronicles of Dragon Wing - Reborn,73.97%,"2,632",8,161,613670
87,Wizards and Warlords,79.84%,"2,570",8,83,567080
88,Ogre,67.83%,"2,557",1,78,517780
89,Decisive Campaigns: The Blitzkrieg from Warsaw to Paris,79.48%,"2,526",3,52,337760
90,Demise of Nations,74.58%,"2,489",8,138,338810
91,Lock 'n Load Tactical Digital: Core Game,82.75%,"2,446",7,101,1149940
92,Burned Land,63.79%,"2,343",1,14,833170
93,From Village to Empire,65.51%,"2,328",0,8,791400
94,Valor & Victory,71.94%,"2,319",2,60,963870
95,Commander: The Great War,74.90%,"2,283",13,264,312350
96,Hexcells Infinite,92.98%,"2,262",167,304,304410
97,Hex Commander: Fantasy Heroes,71.63%,"2,228",3,170,741590
99,Death Crown,83.14%,"2,117",2,20,814530
