,Name,Rating,Followers,Online,Peak,id
0,Dota 2,83.55%,"1,887,582","573,227","1,295,114",570
1,Battlerite,83.09%,"526,183",323,"45,145",504370
2,Ring of Elysium,73.96%,"424,332","1,799","63,435",755790
3,Paladins®,85.03%,"331,896","7,461","60,743",444090
4,FOR HONOR™,66.32%,"256,519","3,662","225,831",304390
5,SMITE®,79.65%,"230,856","8,642","31,169",386360
6,"Warhammer 40,000: Dawn of War III",46.94%,"117,816",146,"25,676",285190
7,NARUTO TO BORUTO: SHINOBI STRIKER,83.04%,"91,472","1,273","6,310",633230
8,Awesomenauts - the 2D moba,83.29%,"88,607",150,"12,156",204300
9,Battleborn,60.95%,"76,523",0,"12,101",394230
10,Dota Underlords,81.83%,"63,823","3,720","202,334",1046930
11,Art of War: Red Tides,76.94%,"61,689",18,"4,031",558100
12,Eternal Return,81.98%,"54,571","10,204","52,853",1049590
13,Block N Load,76.71%,"52,684",38,"8,640",299360
14,Gigantic,73.77%,"45,426",0,"8,303",327690
15,AirMech Strike,82.04%,"45,013",20,"2,336",206500
16,ArcheBlade™,71.43%,"37,614",1,"3,460",207230
17,Knight Online,48.92%,"36,793","1,666","24,594",389430
18,Steel Ocean,67.80%,"34,980",0,"2,444",390670
19,Dreadnought,63.96%,"33,816",118,"3,727",835860
20,Atlas Reactor,80.27%,"32,368",0,"3,613",402570
21,Crucible Beta,43.38%,"32,238",1,"25,145",1057240
22,Shadow Arena,55.47%,"31,792",19,"4,958",1226470
23,Battlerite Royale,71.49%,"28,727",44,"9,441",879160
24,Orcs Must Die! Unchained,67.07%,"25,131",4,"7,768",427270
25,Savage Resurrection,56.10%,"24,749",1,"1,944",366440
26,Hunger Dungeon,70.39%,"24,333",1,770,513560
27,Immortal Soul: Black Survival,79.39%,"23,596",391,"1,739",690510
28,Strife®,73.53%,"22,191",1,"3,435",339280
29,Blood of Steel,77.66%,"21,446","1,017","2,203",567630
30,Time of Dragons,61.47%,"19,006",0,365,353130
31,Heavy Metal Machines,72.07%,"18,921",9,442,331360
32,Dota 2 Player Profiles,86.64%,"18,778",0,93,411180
33,Dragons and Titans,75.42%,"18,166",0,991,263500
35,ONRAID,73.05%,"17,364",2,"1,037",511800
36,Galactic Junk League,66.60%,"17,168",0,"2,089",562590
37,Fault,62.68%,"16,256",87,"4,369",1106750
38,THE DAY Online,57.00%,"15,290",0,420,795580
39,Minimum,59.04%,"14,609",0,"1,960",214190
40,Bleeding Edge,66.05%,"13,946",2,"1,464",1189800
41,Panzar,64.02%,"13,690",39,"2,789",240320
42,Prime World,56.66%,"13,459",9,"2,912",235340
43,Warfare Online,64.79%,"13,421",0,314,468250
44,Super Mecha Champions,68.33%,"12,857","1,193","2,304",1368910
45,恐惧之间 Fear surrounds,85.77%,"12,454","2,270","7,373",1526490
46,MARVEL END TIME ARENA,65.84%,"11,356",0,"1,189",790650
47,Dropzone,66.85%,"9,840",0,"1,357",572520
48,Divine Souls F2P MMO,50.15%,"9,410",0,307,300040
49,CroNix,47.57%,"9,378",0,169,343630
50,Vainglory,63.41%,"9,318",20,"1,866",1025580
51,Steel Circus,65.73%,"9,012",0,"2,249",969680
52,Egress,59.91%,"8,368",0,48,750800
53,Clash: Mutants Vs Pirates,60.98%,"8,244",0,44,822710
54,Heroes Evolved,53.52%,"8,127",0,309,534820
55,Iron Conflict,67.19%,"7,876",14,367,1371480
56,Secret Ponchos,68.58%,"7,636",0,"1,365",265750
57,Unearned Bounty,64.08%,"7,242",0,142,377260
58,Skara - The Blade Remains,58.10%,"6,920",2,522,274620
59,DemonsAreCrazy,44.94%,"6,708",9,466,861050
60,Royal Crown,67.08%,"5,931",23,"5,442",1094710
61,Project Amalthea: Battlegrounds,62.61%,"5,724",0,61,715810
62,Tactical Genius Online,65.40%,"5,519",0,72,377150
63,Versus: Battle of the Gladiator,60.13%,"5,505",0,169,467990
64,Forge of Gods (RPG),73.36%,"5,386",0,"5,445",461910
65,Mushroom Wars,74.26%,"5,124",3,78,431250
66,Bierzerkers,47.54%,"5,098",0,374,348460
67,Soul Dossier,56.54%,"4,856",2,961,1383550
68,Rise of Legions,79.46%,"4,617",6,497,748940
69,Veterans Online - Open Beta,61.46%,"4,532",0,202,492840
71,Crush Online,58.97%,"4,515",0,725,475630
72,Nanobotic,62.53%,"4,489",0,104,978840
73,Bloodline Champions,81.85%,"4,399",1,"1,667",6370
74,Monday Night Combat,74.58%,"4,312",0,"7,981",63200
75,Genesis - 创世争霸,52.13%,"4,233",0,154,755080
76,Spellsworn,83.95%,"4,171",7,"1,517",360620
77,ACE - Arena: Cyber Evolution,64.77%,"4,100",0,288,285580
78,BATTLECREW™ Space Pirates,52.87%,"4,000",0,153,411480
79,Games of Glory,55.39%,"3,901",0,180,342150
80,Subsiege,55.31%,"3,840",0,100,338640
81,墲人之境：探索 - 1V4古墓对决,79.82%,"3,777",6,"1,399",1242700
82,AXYOS,52.50%,"3,485",1,"2,243",318100
83,Iron League,68.97%,"3,484",0,507,771060
84,GUILTY GEAR 2 -OVERTURE-,64.23%,"3,418",1,135,437000
85,Sky Hunter,45.50%,"3,169",0,7,690460
86,忍者村大战2,48.79%,"3,106",4,115,754350
87,Esports Life Tycoon,60.13%,"2,998",4,423,897410
88,Demigod,71.40%,"2,992",7,786,202710
89,GoD Factory: Wingmen,65.41%,"2,952",0,731,262750
90,Endless Battle,45.47%,"2,837",0,468,895150
91,MINImax Tinyverse,68.82%,"2,820",0,96,914700
92,Agents: Biohunters,39.02%,"2,781",0,211,765800
93,Dogs of War Online,62.02%,"2,706",0,995,219700
94,The Chronicles of Dragon Wing - Reborn,73.97%,"2,632",8,161,613670
95,变量 Variables,81.41%,"2,615",15,"1,541",1054800
