,Name,Rating,Followers,Online,Peak,id
0,Darkest Dungeon®,89.51%,"302,542","4,050","19,357",262060
1,Path of Exile,89.92%,"241,945","33,741","157,103",238960
2,Grim Dawn,91.74%,"223,388","2,668","61,458",219990
3,The Binding of Isaac: Rebirth,96.57%,"222,230","15,952","70,701",250900
4,Hades,97.40%,"211,213","5,776","37,749",1145360
5,Wolcen: Lords of Mayhem,55.62%,"192,095",829,"127,542",424370
6,Slay the Spire,96.40%,"178,205","7,188","33,086",646570
7,Portal Knights,81.02%,"168,215",190,"6,545",374040
8,Enter the Gungeon,94.47%,"147,633","1,067","15,792",311690
9,Noita,93.65%,"120,960","1,767","5,239",881100
10,Trove,79.74%,"117,499","1,932","58,949",304050
11,Ni no Kuni™ II: Revenant Kingdom,82.39%,"112,275",148,"10,805",589360
12,Stoneshard,77.05%,"111,500",226,"10,738",625960
13,Wizard of Legend,89.15%,"98,914",369,"6,487",445980
14,Lost Castle / 失落城堡,86.44%,"96,912",70,"4,701",434650
15,Torchlight II,91.67%,"93,820",342,"54,821",200710
16,Moonlighter,81.21%,"86,073",90,"6,229",606150
17,Children of Morta,89.27%,"79,260",127,"3,064",330020
18,Exanima,79.90%,"78,046",108,838,362490
19,Crypt of the NecroDancer,93.79%,"74,562",147,"2,282",247080
20,Gunfire Reborn,92.02%,"74,275","2,632","35,263",1217060
21,Last Epoch,84.68%,"71,981",973,"7,273",899770
22,Battle Chasers: Nightwar,85.57%,"69,344",63,"5,375",451020
23,Hand of Fate 2,82.74%,"62,198",48,"2,873",456670
24,Titan Quest Anniversary Edition,89.37%,"61,234",724,"11,043",475150
25,Gloomhaven,84.66%,"60,910",519,"2,179",780290
26,Gauntlet™ Slayer Edition,78.33%,"60,099",50,"12,730",258970
27,Darksiders Genesis,82.54%,"57,934",425,"6,433",710920
28,Crawl,91.64%,"57,454",23,319,293780
29,Dungeons & Dragons: Dark Alliance,50.41%,"56,437",114,"9,912",623280
30,Torchlight III,47.87%,"54,209",92,"5,692",1030210
31,Dungeons 3,92.35%,"53,087",184,"3,289",493900
32,Curse of the Dead Gods,84.38%,"52,853",127,"3,004",1123770
33,The Binding of Isaac,93.86%,"51,467",202,"12,575",113200
34,War for the Overworld,83.21%,"50,085",79,"2,227",230190
35,NECROPOLIS: BRUTAL EDITION,64.20%,"48,577",6,"5,148",384490
36,Neon Abyss,85.38%,"48,313",316,"5,141",788100
37,Victor Vran ARPG,83.87%,"48,282",16,"2,485",345180
38,Dungeon of the ENDLESS™,85.72%,"47,502",87,"6,323",249050
39,The Dungeon Of Naheulbeuk: The Amulet Of Chaos,86.44%,"45,383",115,"4,878",970830
40,The Legend of Heroes: Trails of Cold Steel,91.80%,"44,234",133,"1,628",538680
41,Niffelheim,70.16%,"43,680",9,880,351100
