,Name,Rating,Followers,Online,Peak,id
0,Dead by Daylight,81.53%,"1,298,168","55,425","105,093",381210
1,Metro Exodus,86.81%,"348,587",917,"15,375",412020
2,Undertale,95.23%,"307,354",829,"10,484",391540
3,Call of Duty®: WWII,62.66%,"244,891",223,"19,406",476600
4,Phasmophobia,96.21%,"216,528","15,261","112,717",739630
5,Half-Life: Alyx,96.82%,"207,624",565,"42,858",546560
6,Friday the 13th: The Game,77.50%,"207,391",906,"16,096",438740
7,DEATH STRANDING,91.89%,"202,696","1,171","32,515",1190460
8,Resident Evil 7 Biohazard,92.68%,"191,836",516,"20,449",418370
9,The Solus Project,77.25%,"188,920",4,652,313630
10,Getting Over It with Bennett Foddy,81.08%,"177,602",413,"5,054",240720
11,Break the G̵amè̢̢͘,72.17%,"169,159",0,165,739540
12,We Happy Few,73.40%,"168,153",126,"3,498",320240
13,RAID: World War II,51.11%,"166,893",5,"1,530",414740
14,ATLAS,46.77%,"166,019","1,223","58,939",834910
15,Outlast 2,88.52%,"165,571",180,"5,966",414700
16,Prey,88.45%,"161,647",647,"24,594",480490
17,Deceit,77.94%,"154,404",677,"16,923",466240
18,Little Nightmares,92.73%,"152,199",621,"78,169",424840
19,Doki Doki Literature Club!,95.52%,"132,697",955,"7,402",698780
20,Alien: Isolation,91.18%,"131,821",239,"10,870",214490
21,DESOLATE,67.27%,"123,359",48,"1,832",671510
22,SOMA,93.76%,"120,403",100,"4,072",282140
23,Resident Evil Village,93.64%,"119,425","1,345","106,631",1196590
24,World of Tanks Blitz,79.02%,"118,293","11,141","48,598",444200
25,Life is Strange: Before the Storm,91.72%,"117,404",108,"16,209",554620
26,Hello Neighbor,76.74%,"113,472",104,"1,414",521890
27,SCP: Secret Laboratory,90.19%,"108,404","4,437","7,679",700330
28,Outlast,94.60%,"94,352",314,"11,827",238320
29,Little Nightmares II,92.88%,"93,366",164,"7,103",860510
30,The Evil Within 2,90.22%,"90,861",216,"9,918",601430
31,Control Ultimate Edition,86.93%,"88,935",635,"9,193",870780
32,Outer Wilds,92.63%,"87,697",524,"4,463",753640
33,What Remains of Edith Finch,93.22%,"87,406",20,329,501300
34,X-Plane 11,89.09%,"87,233","1,292","4,210",269950
35,The Evil Within,82.48%,"83,110",201,"4,499",268050
36,STEINS;GATE,94.62%,"82,691",61,"1,238",412830
