,Name,Rating,Followers,Online,Peak,id
0,Catherine Classic,85.00%,"48,848",45,"1,265",893180
1,Baba Is You,95.51%,"34,971",275,"1,533",736260
2,SAWKOBAN,62.24%,"27,563",0,26,757350
3,Seek Girl Ⅵ,75.58%,"5,607",7,432,1419730
4,Seek Girl Ⅶ,69.01%,"5,414",8,350,1464930
5,Tailwind,73.20%,"4,089",0,5,674800
6,A Monster's Expedition,90.26%,"3,918",38,254,1052990
7,Ittle Dew,87.43%,"3,885",3,146,241320
8,Felix The Reaper,69.89%,"2,770",4,115,919410
9,Brain Break,75.93%,"2,629",0,15,1459360
10,Seek Girl V,66.82%,"2,519",3,229,1393410
11,Stephen's Sausage Roll,89.58%,"2,183",5,90,353540
12,A Good Snowman Is Hard To Build,88.36%,"2,035",1,64,316610
13,Waifu Secret,65.98%,"1,739",2,405,1505620
14,Sokobond,85.96%,"1,537",2,81,290260
16,SOK,77.04%,"1,253",2,5,765940
17,Snakebird,87.26%,"1,238",2,199,357300
18,Night Lights,80.69%,"1,225",0,9,590850
19,Play With Me: Escape room,65.97%,"1,196",0,46,725780
20,Soulless: Ray Of Hope,70.02%,"1,046",0,475,528300
22,Chip's Challenge 1,84.79%,"1,027",14,259,346850
23,Schein,69.79%,"1,010",0,"1,990",321920
24,Parcel,78.22%,910,0,47,316080
25,Kine,83.90%,862,1,13,824570
26,Button Button Up!,86.62%,845,0,32,623320
27,DERU - The Art of Cooperation,73.21%,712,0,8,632250
28,Dungeon and Puzzles,84.21%,686,2,20,1229060
29,Mess Adventures,74.05%,680,7,167,1381530
30,Swim Out,72.09%,652,1,4,662200
31,Pharmakon - Tactical Puzzle,54.02%,639,0,3,654660
34,Unlock Me,75.62%,553,0,14,1004650
35,Hexologic,88.35%,501,0,74,785890
36,Puddle Knights,86.61%,462,0,23,1180540
37,Wyvern,67.26%,454,9,35,1541710
38,Red Ronin,82.54%,444,2,17,1222570
39,Chip's Challenge 2,78.87%,443,2,82,348300
41,Chuck's Challenge 3D 2020,79.65%,407,0,32,262590
42,English Country Tune,75.38%,393,0,165,207570
45,Luna and the Moonling,67.59%,294,0,6,577360
46,THE IMPOSSIBLE,81.17%,286,0,7,1363850
47,Room to Grow,85.31%,280,1,25,1471960
48,Pipe Push Paradise,85.19%,279,2,8,721390
49,Unlock The King,87.61%,278,1,35,1172510
50,Mushroom Quest,71.76%,277,0,4,868230
51,AV Company | AV会社大冒险,60.95%,264,1,9,1508620
53,The Prism,67.70%,258,0,922,399420
54,Maze Of Adventures,78.11%,248,0,2,766740
55,Forklift Load,78.22%,231,1,10,1392490
56,MacGuffin's Curse,75.62%,229,0,339,58230
57,Sokoban: The RPG,63.45%,215,1,4,915080
58,Resynth,72.22%,206,0,3,819960
59,An Interesting Journey of Monsieur PAF,78.44%,203,0,6,1276530
60,I'm on Observation Duty 3,64.14%,184,3,14,1458560
61,Altered,81.11%,182,0,11,973250
62,Knight Swap,81.07%,177,0,8,1145410
63,Polyology,75.44%,172,0,50,450650
64,Akin,79.41%,168,0,947,487370
65,Flux Caves,80.90%,165,0,5,1086750
66,Tooki,74.19%,148,0,2,731520
67,Hentai ASMR,50.00%,145,0,3,1465390
68,Woodways,85.11%,136,0,7,818760
69,Unit 404,78.83%,133,0,5,1384960
70,Little Square Things,75.14%,127,0,665,945490
71,Rainbow Hero,74.20%,127,0,7,343570
72,汉字大冒险,79.05%,126,5,46,1658880
73,Dinosaur Hunt Puzzle,70.58%,126,0,271,874400
74,Molecule - a chemical challenge,63.75%,118,0,4,796840
75,Chess Brain,80.90%,117,0,5,1404190
76,Hiding Spot,84.24%,116,0,7,950140
78,Salad Fields,77.41%,113,0,5,1162430
79,Explosive Jake,64.35%,112,0,7,1162440
80,Unlock The King 2,69.35%,111,0,8,1201810
81,Super BoxMan Ultra,62.00%,111,0,6,742340
82,SOK PRO,83.63%,110,0,7,1399300
83,Knight Swap 2,80.07%,110,0,4,1201800
84,Circuit Dude,79.05%,110,0,5,662410
85,Snaliens,79.89%,108,0,14,1214850
86,SMIB: Mission Cure,79.39%,107,0,7,1300060
87,StartBolita,60.28%,105,0,2,364850
88,Abyssal Zone,64.08%,104,0,2,537380
89,Soko Match,62.21%,102,0,20,518320
90,Dis Pontibus,75.86%,97,0,6,996980
91,Santa's Workshop,60.76%,97,0,5,727200
92,Sokoban Land DX,68.80%,97,0,4,670850
93,窓の中の先にあるもの,75.71%,96,0,14,1618220
94,余烬,45.52%,95,0,4,1424640
95,Pepe Porcupine,54.52%,95,0,123,487590
96,Unlock The King 3,70.59%,93,0,5,1255130
97,Princess Castle Quest,82.55%,93,0,6,1103550
98,Chess Brain: Dark Troops,79.32%,90,0,6,1524690
99,Happy New Hentai,32.94%,88,0,2,1474580
