,Name,Rating,Followers,Online,Peak,id
0,7 Days to Die,86.21%,"385,713","17,363","47,025",251570
1,Portal Knights,81.02%,"168,215",175,"6,545",374040
2,LEGO® Worlds,75.78%,"139,002",283,"4,911",332310
3,Stonehearth,74.58%,"130,698",161,"1,851",253250
4,Planet Explorers,62.40%,"124,383",11,"2,125",237870
5,Creativerse,79.24%,"120,715",208,"10,929",280790
6,Trove,79.74%,"117,499","1,769","58,949",304050
7,Teardown,92.84%,"114,047","1,325","8,339",1167630
8,Medieval Engineers,55.51%,"113,689",45,"3,984",333950
9,Rising World,80.77%,"111,264",34,486,324080
10,PixARK,69.37%,"95,911",326,"14,144",593600
11,Cube World,38.78%,"80,174",61,"35,622",1128000
12,StarMade,67.68%,"78,438",11,960,244770
13,Planet Nomads,66.20%,"75,122",18,372,504050
14,Colony Survival,87.91%,"74,140",159,"1,488",366090
15,Industries of Titan,68.75%,"68,229",56,"2,217",427940
16,From the Depths,87.43%,"66,625",472,"1,700",268650
17,Cloudpunk,87.11%,"66,010",44,932,746850
18,Boundless,69.77%,"62,202",63,"1,160",324510
19,Starbase,68.44%,"54,384","6,677","9,969",454120
20,Block N Load,76.71%,"52,682",19,"8,640",299360
21,Staxel,77.09%,"47,128",60,"2,644",405710
22,Unrailed!,90.33%,"43,271",286,"9,852",1016920
23,Paint the Town Red,91.86%,"40,424",406,"1,230",337320
24,Stellar Overload,67.91%,"37,396",0,245,397150
25,DRAGON QUEST BUILDERS™ 2,87.58%,"35,296",206,"3,358",1072420
26,Castle Story,60.37%,"35,034",63,"1,565",227860
27,Ace of Spades: Battle Builder,63.96%,"32,022",0,"16,309",224540
28,Blockscape,47.04%,"29,558",0,88,223490
29,Murder Miners,82.95%,"28,433",11,"1,769",274900
30,Voxel Tycoon,82.44%,"26,243",77,"1,728",732050
31,FortressCraft Evolved!,70.98%,"25,601",49,732,254200
32,Zelter,53.43%,"24,472",2,886,1193340
33,Clone Drone in the Danger Zone,94.21%,"22,821",574,"1,944",597170
34,8-Bit Armies,78.00%,"21,148",7,600,427250
35,Kubifaktorium,75.05%,"20,601",6,240,898720
37,TUG,39.29%,"20,128",0,159,277930
38,Embark,62.88%,"19,832",4,243,1055090
39,Blockstorm,78.05%,"16,437",0,"1,411",263060
40,Astral Terra,52.03%,"15,262",0,8,266190
41,Minimum,59.04%,"14,610",0,"1,960",214190
42,8-Bit Invaders!,76.93%,"13,574",1,192,531680
43,Starship EVO,82.49%,"13,557",22,193,711980
44,Barony,88.50%,"12,545",56,536,371970
45,Time Clickers,85.67%,"10,838",213,"7,003",385770
46,Timber and Stone,48.97%,"10,061",7,538,408990
47,8-Bit Hordes,77.41%,"9,099",1,424,497850
48,Gunscape,67.31%,"9,021",0,181,342480
49,Evospace,75.92%,"7,983",10,56,1013540
50,Eldritch Reanimated,84.09%,"7,755",4,436,252630
51,Hakoniwa Explorer Plus,79.99%,"7,740",4,123,705280
52,Krunker,76.39%,"7,503",524,"2,255",1408720
53,Forge Quest,76.50%,"6,904",2,493,249950
54,NewCity,76.95%,"6,654",5,92,1067860
55,Heart&Slash,76.70%,"6,435",2,110,326840
56,Sector's Edge,79.13%,"6,360",17,"1,645",1024890
57,Islet Online,74.33%,"6,172",9,145,428180
59,Time Rifters,81.96%,"6,057",0,61,270010
61,Genesis Online,33.04%,"5,915",0,391,409510
62,Total Miner,69.59%,"5,895",3,104,347600
63,One More Dungeon,73.17%,"5,753",0,139,415030
64,Out of Ammo,78.57%,"5,443",6,57,451840
65,Outcast 1.1,84.08%,"5,409",2,130,336610
66,EARTH DEFENSE FORCE: WORLD BROTHERS,76.95%,"5,340",21,882,1497950
68,cyubeVR,81.56%,"5,103",20,34,619500
70,Big Bia,84.87%,"4,690",4,"1,840",585020
71,Fugl,77.03%,"4,536",0,18,643810
72,Dieselpunk Wars,68.72%,"4,531",0,51,952240
73,Time Warpers,81.75%,"4,439",52,280,676500
74,Block Story™,73.26%,"4,271",22,45,270110
75,It came from space and ate our brains,77.32%,"4,267",0,190,342620
76,Voxel Turf,80.78%,"4,252",5,263,404530
77,ANNIE:Last Hope,86.56%,"4,249",0,76,1174390
78,Lemma,78.54%,"3,940",0,189,300340
79,Paranautical Activity: Deluxe Atonement Edition,65.85%,"3,844",0,305,250580
80,2Dark,71.28%,"3,795",1,110,435100
81,Gamecraft,74.67%,"3,444",3,457,1078000
82,Shooty Skies,86.82%,"3,440",1,345,702810
83,GeoVox,50.00%,"3,391",0,8,368470
84,Slayaway Camp,89.40%,"3,109",4,186,530390
85,NavalArt,82.62%,"2,994",24,97,842780
88,RPG in a Box,82.56%,"2,738",1,10,498310
89,Cube Life: Island Survival,68.55%,"2,731",1,70,760800
90,Lord of Dwarves,73.47%,"2,713",2,35,477900
91,Long Live Santa!,84.01%,"2,657",2,400,763410
92,Desktop Farm,71.23%,"2,635",15,704,1357610
93,变量 Variables,81.40%,"2,617",0,"1,541",1054800
94,Brain Break,75.93%,"2,615",1,15,1459360
95,I Hate Running Backwards,75.35%,"2,557",1,38,575820
96,Vangers,85.28%,"2,455",1,73,264080
98,Riverbond,68.87%,"2,115",1,15,459370
99,Enemy,77.98%,"2,032",1,49,339570
