,Name,Rating,Followers,Online,Peak,id
0,Counter-Strike: Global Offensive,87.73%,"2,944,662","458,201","1,308,963",730
1,Rocket League®,88.30%,"618,648","59,533","147,632",252950
2,Battlerite,83.09%,"526,206",310,"45,145",504370
3,DOOM,93.94%,"327,579","1,670","44,271",379720
4,DOOM Eternal,89.24%,"206,899","3,936","104,891",782330
5,Dirty Bomb®,80.02%,"176,211",181,"13,113",333930
6,DRAGON BALL FighterZ,88.11%,"166,488","3,332","44,303",678950
7,SUPERHOT,87.82%,"137,038",51,"5,584",322500
8,Beat Saber,94.42%,"135,326","1,367","4,472",620980
9,DiRT Rally,85.97%,"126,734",215,"20,343",310560
10,Ghostrunner,89.68%,"106,914",205,"11,294",1139900
11,Keep Talking and Nobody Explodes,94.99%,"105,733",151,"1,767",341800
12,Bayonetta,89.65%,"102,934",77,"4,194",460790
13,Wizard of Legend,89.15%,"98,914",369,"6,487",445980
14,DRAGON BALL XENOVERSE,86.44%,"97,809",52,"22,850",323470
16,Titanfall® 2,94.04%,"89,968","1,515","27,631",1237970
17,Call of Duty®: Advanced Warfare - Gold Edition,62.16%,"84,489",30,"12,675",209650
18,EVERSPACE™ 2,87.32%,"81,519",315,"3,072",1128920
19,My Friend Pedro,93.79%,"81,141",66,"7,117",557340
20,Aim Lab,93.64%,"79,055","4,820","10,381",714010
21,Hotline Miami 2: Wrong Number,91.21%,"74,917",265,"18,950",274170
22,Katana ZERO,96.28%,"74,326",122,"1,575",460950
23,Gunfire Reborn,92.02%,"74,275","2,632","35,263",1217060
24,Move or Die,88.01%,"74,040",94,"2,038",323850
25,RUINER,87.70%,"69,233",19,918,464060
26,BATTALION 1944,60.60%,"67,666",1,"16,771",489940
27,Clustertruck,89.91%,"66,026",65,"2,658",397950
28,SpeedRunners,91.84%,"65,857",334,"17,212",207140
29,Quake Champions,71.30%,"59,232",725,"17,476",611500
30,Serious Sam 4,81.04%,"58,639",103,"8,522",257420
31,Duck Game,94.36%,"53,686",398,"5,047",312530
32,TOXIKK™,74.58%,"51,160",406,"1,646",324810
33,Distance,89.67%,"48,822",35,463,233610
34,Rodina,88.27%,"48,780",1,224,314230
35,Vanquish,85.72%,"47,717",16,"2,418",460810
36,AirMech Strike,82.04%,"45,011",33,"2,336",206500
37,Furi,88.16%,"43,371",43,640,423230
38,Five Nights at Freddy's 2,89.88%,"42,566",41,"1,725",332800
39,Sonic Mania,90.88%,"42,046",229,"11,937",584400
40,Hotline Miami,95.69%,"40,291",138,"6,878",219150
41,Tribes: Ascend,77.97%,"38,960",8,"7,444",17080
42,The Mean Greens - Plastic Warfare,80.04%,"38,543",13,"2,836",360940
43,Blacklight: Retribution,73.91%,"38,144",0,"12,131",209870
44,Dying Light: Bad Blood,68.88%,"37,713",4,"1,374",766370
45,Overgrowth,74.49%,"37,614",33,606,25000
46,DUSK,95.32%,"35,966",135,551,519860
47,Splitgate (Beta),88.93%,"35,502","50,169","67,724",677620
48,Call of Duty®: Ghosts,59.78%,"35,002",47,"13,831",209160
49,Devil May Cry HD Collection,87.19%,"34,812",78,591,631510
50,Ballistic Overkill,73.78%,"34,806",18,"1,091",296300
51,Loadout,85.19%,"33,957",0,"29,424",208090
52,DmC: Devil May Cry,91.56%,"32,797",47,"5,757",220440
53,METAL GEAR RISING: REVENGEANCE,91.30%,"31,310",163,"12,205",235460
54,Aim Hero,83.38%,"31,085",12,524,518030
55,Hot Lava,90.00%,"30,941",34,"1,030",382560
56,Sunset Overdrive,87.68%,"29,954",72,"2,326",847370
57,Redout: Enhanced Edition,83.67%,"29,360",13,"1,118",517710
58,Quake Live™,83.63%,"28,369",405,"6,154",282440
59,Vindictus,68.88%,"26,568",327,"4,124",212160
60,Ziggurat,83.39%,"25,869",8,809,308420
61,"Pirates, Vikings, and Knights II",84.65%,"25,730",31,878,17570
62,Unreal Tournament 3 Black,86.37%,"25,630",35,"1,514",13210
63,Lethal League,90.89%,"25,130",10,"1,929",261180
64,Robot Roller-Derby Disco Dodgeball,88.88%,"24,880",5,373,270450
65,Just Shapes & Beats,95.12%,"24,535",193,966,531510
66,Pagan: Absent Gods,51.38%,"24,313",1,"3,030",992640
67,Rayman® Legends,88.23%,"23,999",43,"1,266",242550
68,Super Meat Boy,92.86%,"23,876",52,"5,153",40800
69,Descenders,91.13%,"22,467",362,"1,563",681280
70,Ion Fury,87.71%,"22,401",31,"1,471",562860
71,Prodeus,92.74%,"22,267",20,547,964800
72,Knockout City™,84.79%,"22,265",421,"6,027",1301210
73,King Arthur's Gold,81.25%,"22,150",38,"1,294",219830
74,GRIP: Combat Racing,82.14%,"22,087",28,622,396900
75,Hover,77.81%,"22,043",7,428,280180
76,Trackmania® Turbo,63.21%,"22,035",21,"2,085",375900
77,Project Nimbus: Complete Edition,82.88%,"21,934",1,99,257030
78,ScourgeBringer,87.06%,"20,567",15,380,1037020
79,NOT A HERO,83.16%,"20,379",0,224,274270
80,Lethal League Blaze,93.00%,"19,830",89,"2,673",553310
81,XERA: Survival,64.18%,"19,482",414,"3,079",625340
82,Heavy Metal Machines,72.07%,"18,919",23,442,331360
83,DeadCore,81.52%,"17,939",1,273,284460
84,Devil Daggers,92.27%,"17,817",29,358,422970
85,Thumper,88.25%,"17,547",13,246,356400
86,Sonic Forces,62.17%,"17,376",29,"2,058",637100
87,Nidhogg,86.30%,"17,257",15,"2,215",94400
88,Burnout Paradise: The Ultimate Box,84.87%,"17,076",45,"6,284",24740
89,Sonic Generations Collection,90.69%,"16,632",170,"1,686",71340
90,Sonic & All-Stars Racing Transformed Collection,91.70%,"16,487",117,"5,861",212480
91,Blazing Sails,85.41%,"16,453",89,"1,680",1158940
92,GunZ 2: The Second Duel,65.14%,"16,392",7,"10,441",242720
93,BREAK ARTS II,71.18%,"16,115",4,464,547360
94,Iron Snout,95.35%,"15,921",16,"1,373",424280
95,Freedom Planet,91.77%,"15,475",2,347,248310
96,Downwell,93.58%,"15,173",37,405,360740
97,Fury Unleashed,87.08%,"15,044",20,305,465200
98,MOTHERGUNSHIP,75.37%,"14,991",17,611,574090
99,AudioSurf,92.97%,"14,799",20,"5,977",12900
