,Name,Rating,Followers,Online,Peak,id
0,Besiege,93.79%,"281,872",502,"11,206",346010
1,LEGO® Worlds,75.77%,"139,019",318,"4,911",332310
2,Trailmakers,88.44%,"48,664",566,"2,132",585420
3,Brick Rigs,90.35%,"47,128",638,"1,963",552100
4,Nimbatus - The Space Drone Constructor,79.58%,"45,612",49,"1,349",383840
6,LEGO® STAR WARS™: The Force Awakens,81.75%,"29,703",183,"2,586",438640
7,LEGO® Jurassic World,86.79%,"28,002",285,"3,498",352400
8,LEGO® Star Wars™ - The Complete Saga,93.71%,"24,149",278,"2,004",32440
9,LEGO® Marvel Super Heroes 2,82.72%,"23,388",592,"1,047",647830
10,LEGO® The Hobbit™,78.03%,"23,123",213,"5,550",285160
11,LEGO® MARVEL's Avengers,84.15%,"22,515",248,"2,112",405310
12,Blockland,71.24%,"21,520",9,"2,358",250340
13,LEGO® Marvel™ Super Heroes,91.56%,"21,028",470,"5,953",249130
14,LEGO® Batman™ 3: Beyond Gotham,85.16%,"17,437",182,"2,186",313690
15,LEGO® The Lord of the Rings™,86.99%,"13,319",324,"5,045",214510
16,LEGO® DC Super-Villains,86.95%,"12,698",419,866,829110
17,LEGO® City Undercover,82.37%,"12,516",440,833,578330
18,LEGO® Star Wars™ III - The Clone Wars™,90.13%,"10,630",154,832,32510
19,The LEGO® Movie - Videogame,82.54%,"10,458",79,"1,402",267530
20,LEGO® Builder's Journey,74.88%,"10,051",11,727,1544360
21,LEGO® Harry Potter: Years 1-4,82.68%,"8,059",375,"1,018",21130
22,LEGO® Harry Potter: Years 5-7,85.31%,"7,545",124,326,204120
23,LEGO® Batman™ 2: DC Super Heroes,88.25%,"7,165",130,447,213330
24,The LEGO® NINJAGO® Movie Video Game,82.57%,"6,849",150,"5,434",640590
25,LEGO® The Incredibles,83.40%,"6,719",90,285,818320
26,Islet Online,74.33%,"6,172",23,145,428180
27,LEGO® Pirates of the Caribbean: The Video Game,85.19%,"5,274",106,371,311770
28,LEGO® Batman™: The Videogame,83.56%,"5,075",142,446,21000
29,The LEGO Movie 2 Videogame,69.81%,"3,462",64,250,881320
30,The Architect: Paris,73.75%,"3,461",2,182,1525620
31,Gamecraft,74.67%,"3,443",4,457,1078000
32,LEGO® Indiana Jones™: The Original Adventures,82.17%,"3,137",37,161,32330
33,LEGO® Indiana Jones™ 2: The Adventure Continues,77.62%,"3,056",22,93,32450
34,NightZ,35.55%,"1,126",0,"1,499",548480
35,King Rabbit - Puzzle,86.47%,746,2,62,852340
36,LEGO® Batman 'The Batmersive Experience',62.00%,713,0,16,630980
37,Zup! Z,90.58%,455,14,"1,288",1218900
38,Diorama Builder,84.79%,416,2,31,1370170
39,Messy Room Simulator,67.76%,406,0,10,1368120
41,Factory Coin Mining,53.52%,349,0,9,1069910
42,FortressCraft : Chapter 1,74.53%,329,0,8,1558210
43,Mason: Building Bricks,69.91%,293,0,5,1441400
45,Jamie's Toy Box,67.93%,224,0,5,1550280
46,ChaosTower,72.86%,198,0,12,354280
48,The Awakening of Mummies,78.11%,123,0,4,1593410
49,Brick Building,57.26%,118,0,31,1352440
50,Magicolors,81.47%,109,0,4,1090790
51,SMIB: Mission Cure,79.39%,107,0,7,1300060
53,Bulk Dominoes VR: Kinetic Rush,65.93%,98,0,3,1244140
54,Chess Knights: High Noon,75.41%,97,0,7,1486800
55,Home Creator,32.94%,71,0,3,1551990
58,Shadowforge,70.84%,62,0,3,1247240
59,Sunset Shapes,74.99%,61,0,5,1300390
61,LouveSystems' TrackMasters,55.69%,56,0,6,1383120
62,Qube Qross,65.42%,55,0,3,1301580
63,4Prot,64.08%,54,0,16,1632020
66,Colorful 3D II,35.22%,41,0,2,1251760
67,Box Nation [] Lets Go Build and Fight,33.38%,38,0,2,1270420
68,Ladder Box,59.42%,35,0,1,1444390
69,Doggo Dig Down,57.18%,34,0,3,905130
70,Cargo Transportation: Low Poly,52.78%,32,0,2,1509400
71,Ellie's Travel Diary,59.60%,31,0,1,1450020
73,Color Cube,73.26%,28,0,2,1496620
74,Boxfight,67.06%,25,0,4,1372270
75,Bilal Go!,-,23,0,1,1433530
76,Table Soccer Club,59.42%,23,0,2,1402010
78,Px Art,64.08%,20,0,2,1378250
79,战斗俄罗斯方块,40.58%,18,0,4,1674370
80,Head Bumper: Editcraft,40.58%,18,0,3,1398130
83,HUNDUN,40.58%,15,0,2,1554020
84,Military Base War,-,9,0,1,1216740
87,Forza Horizon 4: LEGO® Speed Champions,80.10%,-,-,-,1443092
88,LEGO® Worlds: Showcase Collection Pack 2,81.03%,-,-,-,1046500
89,LEGO® The Incredibles - Parr Family Vacation Character Pack,40.90%,-,-,-,818330
90,LEGO® Worlds: Showcase Collection Pack 1,79.22%,-,-,-,816880
91,LEGO® Worlds: Monster Pack,75.03%,-,-,-,720960
92,LEGO® Marvel Super Heroes 2 - Marvel's Avengers: Infinity War Movie Level Pack,67.30%,-,-,-,720780
93,LEGO® Marvel Super Heroes 2 - Out of Time Character Pack,64.35%,-,-,-,720710
94,LEGO® Marvel Super Heroes 2 - Season Pass,75.14%,-,-,-,720680
95,LEGO® Worlds: Classic Space Pack,78.50%,-,-,-,641000
96,The Phantom Limb Level Pack,55.36%,-,-,-,466546
97,The Jedi Character Pack,73.19%,-,-,-,466541
98,LEGO® MARVEL's Avengers DLC - Spider-Man Character Pack,80.70%,-,-,-,449394
99,LEGO® MARVEL's Avengers DLC - Marvel’s Ant-Man Pack,47.95%,-,-,-,449393
