,Name,Rating,Followers,Online,Peak,id
0,Tabletop Simulator,94.38%,"171,957","5,096","37,198",286160
1,UNO,71.84%,"121,038",476,"5,639",470220
2,For The King,86.88%,"120,832","1,120","9,625",527230
3,Pummel Party,88.19%,"106,280","1,273","17,021",880940
4,Armello,80.42%,"90,904",202,"3,614",290340
5,Hand of Fate,87.68%,"75,554",12,"2,178",266510
6,Gloomhaven,84.66%,"60,910",501,"2,179",780290
7,Ultimate General: Civil War,86.29%,"59,813",649,"1,678",502520
8,TaleSpire,89.71%,"53,433",263,"1,416",720620
9,"Gremlins, Inc.",83.56%,"41,507",120,"1,716",369990
10,Blood Bowl 2,75.95%,"35,836",473,"6,511",236690
11,Fantasy Grounds Classic,77.40%,"31,298",56,991,252690
12,Richman10,51.33%,"30,810",186,"10,791",1162520
13,Card Hunter,83.38%,"30,540",113,"5,800",293260
14,Cultist Simulator,76.80%,"30,315",130,"3,143",718670
15,WARTILE,74.88%,"26,184",0,332,404200
16,Scythe: Digital Edition,85.89%,"25,909",111,"1,237",718560
17,雀魂麻將(MahjongSoul),68.74%,"25,218","1,110","13,679",1329410
18,Business Tour - Board Game with Online Multiplayer,60.24%,"24,347","1,514","7,707",397900
19,MONOPOLY® PLUS,43.41%,"18,139",174,"3,180",562810
20,RISK: Global Domination,82.35%,"17,869","1,713","11,716",1128810
21,WARMACHINE: Tactics,44.82%,"17,628",2,939,253510
22,Warhammer Underworlds: Online,61.88%,"16,994",13,793,1022310
23,Radio Commander,73.95%,"16,188",10,660,871530
24,Talisman: Digital Edition,75.50%,"15,402",258,"3,590",247000
25,Terraforming Mars,74.19%,"15,322",507,"1,667",800270
26,Curious Expedition 2,83.71%,"15,121",38,"3,043",1040230
27,Root,89.06%,"15,018",70,496,965580
28,Wingspan,90.94%,"14,993",287,855,1054490
29,The Witcher Adventure Game,75.56%,"12,305",6,294,303800
30,Rento Fortune: Online Dice Board Game (大富翁),49.89%,"12,063",13,"3,485",663390
31,YUME,54.80%,"11,676",4,"1,691",1471200
32,A Game of Thrones: The Board Game - Digital Edition,71.54%,"11,650",47,"1,080",1075190
33,Popup Dungeon,75.31%,"10,872",14,661,349730
34,Field of Glory II,83.80%,"10,757",45,309,660160
35,Through the Ages,85.83%,"10,690",135,747,758370
36,Epic Tavern,65.17%,"10,279",1,56,517720
37,Twilight Struggle,83.29%,"9,588",100,672,406290
38,Axis & Allies 1942 Online,73.77%,"9,165",558,"1,227",898920
39,Catan Universe,53.97%,"8,904","1,467","7,376",544730
40,Tabletopia,62.29%,"8,313",35,"1,207",402560
41,Fantasy Grounds Unity,81.45%,"8,110",202,420,1196310
43,The Warlock of Firetop Mountain,72.53%,"6,907",4,264,324740
44,Ticket to Ride,86.47%,"6,898",375,"2,164",108200
45,Blood Bowl: Chaos Edition,77.57%,"6,301",14,"1,945",216890
46,Carcassonne - Tiles & Tactics,78.47%,"6,179",117,"1,050",598810
47,Clue/Cluedo: The Classic Mystery Game,82.35%,"5,719",78,355,794800
48,Struggle Offensive,63.79%,"5,609",0,22,1403280
49,Throne of Lies®: Medieval Politics,75.80%,"5,539",28,"1,381",595280
50,D&D Lords of Waterdeep,88.01%,"5,514",84,394,644390
51,Chess Ultra,73.07%,"5,495",33,179,518060
52,Pandemic: The Board Game,57.10%,"5,344",25,169,622440
53,Fated Kingdom,74.57%,"5,328",0,44,837400
54,Simply Chess,73.66%,"5,258",28,596,312280
55,Blood Rage: Digital Edition,49.00%,"5,117",7,502,1015930
56,DungeonTop,80.24%,"4,739",4,270,1146230
57,Big Bia,84.87%,"4,690",3,"1,840",585020
58,Field of Glory II: Medieval,79.50%,"4,535",22,318,1368870
59,Rezrog,46.36%,"4,491",0,220,548370
60,No Time to Relax,88.47%,"4,454",82,"1,649",829660
61,Chessaria: The Tactical Adventure (Chess),69.79%,"4,447",0,19,575340
63,Sentinels of the Multiverse,84.76%,"4,248",44,330,337150
64,Small World,69.53%,"3,769",23,462,235620
65,One Deck Dungeon,75.07%,"3,724",13,266,770100
66,Super Dungeon Tactics,71.73%,"3,710",0,135,463160
67,Longsword - Tabletop Tactics,56.17%,"3,701",0,28,428610
68,Wintermoor Tactics Club,85.86%,"3,635",2,66,917840
69,THE GAME OF LIFE 2,70.95%,"3,570",76,433,1455630
70,THE GAME OF LIFE,71.16%,"3,543",20,340,403120
71,The Dark Eye : Book of Heroes,42.97%,"3,465",0,450,1139870
72,Juicy Memory Card,41.03%,"3,257",0,2,1352050
73,Achtung! Cthulhu Tactics,67.30%,"3,208",3,79,874460
74,Untrusted,80.35%,"3,186",5,335,1502660
75,Chroma: Bloom And Blight,75.01%,"3,160",0,346,1140740
76,Tabletop Playground,57.86%,"3,105",5,39,838410
77,Ascension: Deckbuilding Game,83.77%,"3,095",74,197,320430
78,Game Master Engine,66.85%,"2,858",1,27,1451680
79,Space Food Truck,67.73%,"2,793",2,157,397390
80,The Far Kingdoms: Forgotten Relics,74.19%,"2,742",0,3,1608200
81,Shopping Mahjong connect,47.22%,"2,639",0,4,1663890
82,Spirit Island,83.59%,"2,622",39,174,1236720
83,Ogre,67.83%,"2,556",1,78,517780
84,Kyvir: Rebirth,79.55%,"2,493",3,276,1520270
85,Lock 'n Load Tactical Digital: Core Game,82.75%,"2,443",8,101,1149940
86,Here Be Dragons,69.57%,"2,354",0,19,945680
87,Valor & Victory,71.94%,"2,315",3,60,963870
88,The Conquest of Go,82.08%,"2,214",1,91,1264970
89,Descent: Road to Legend,82.39%,"2,212",16,112,477200
90,Mysterium: A Psychic Clue Game,75.92%,"2,204",7,470,556180
91,Revolution : Virtual Playspace,51.93%,"2,182",0,9,387090
92,Eight-Minute Empire,70.63%,"2,168",0,13,656590
93,Fury of Dracula: Digital Edition,69.36%,"2,157",2,107,958530
94,RISK™: Factions,68.36%,"2,146",11,175,47800
95,The Solitaire Conspiracy,86.13%,"2,081",1,189,1424980
96,Elder Sign: Omens,72.48%,"2,064",0,85,257670
97,Splendor,76.04%,"2,005",65,329,376680
98,Chinese Chess/ Elephant Game: 象棋/ 中国象棋/ 中國象棋,73.03%,"1,969",0,604,722670
99,Talisman: Origins,69.53%,"1,945",2,89,1033170
