,Name,Rating,Followers,Online,Peak,id
0,Cyberpunk 2077,75.05%,"1,177,161","8,358","1,054,388",1091500
1,Fallout 4,78.77%,"846,011","20,107","472,962",377160
2,The Witcher® 3: Wild Hunt,97.05%,"786,023","14,931","103,329",292030
3,Dying Light: Enhanced Edition,93.98%,"603,769","4,546","45,876",239140
4,DARK SOULS™ III,93.01%,"562,806","11,237","129,975",374320
5,Sekiro™: Shadows Die Twice - GOTY Edition,93.56%,"460,471","2,440","125,315",814380
6,Divinity: Original Sin 2 - Definitive Edition,94.75%,"455,425","8,640","93,701",435150
7,Halo: The Master Chief Collection,91.63%,"450,548","8,671","161,024",976730
8,NieR:Automata™,81.83%,"449,074",786,"23,908",524220
9,Red Dead Redemption 2,85.24%,"411,084","14,501","55,271",1174180
10,The Elder Scrolls V: Skyrim Special Edition,89.28%,"396,812","23,717","69,906",489830
11,The Elder Scrolls® Online,80.65%,"394,490","20,792","49,234",306130
12,Total War: WARHAMMER II,92.11%,"379,908","25,953","84,920",594570
13,Call of Duty®: Modern Warfare® 2,90.98%,"378,221",405,"22,614",10180
14,Far Cry® 5,78.14%,"374,607","9,300","92,445",552520
15,Rise of the Tomb Raider™,92.63%,"368,952","1,407","44,588",391220
16,Baldur's Gate 3,86.61%,"353,419","2,279","73,980",1086940
17,Kingdom Come: Deliverance,80.72%,"348,750","2,424","96,069",379430
18,Metro Exodus,86.81%,"348,587",999,"15,375",412020
19,This War of Mine,93.16%,"344,261",665,"9,503",282070
20,Total War: WARHAMMER,76.75%,"323,369",806,"113,019",364360
21,Assassin's Creed® Origins,84.92%,"310,838",891,"41,551",582160
22,The Elder Scrolls V: Skyrim,93.81%,"310,714","5,765","287,411",72850
23,Undertale,95.23%,"307,354",867,"10,484",391540
24,Portal 2,97.64%,"303,997","2,395","98,460",620
25,Middle-earth™: Shadow of War™,85.06%,"290,587","2,264","68,183",356190
26,Assassin's Creed® Odyssey,87.59%,"277,672","3,051","62,069",812140
27,Far Cry® 4,80.87%,"269,607",671,"16,963",298110
28,Hollow Knight,95.74%,"267,383","6,786","11,992",367520
29,Resident Evil 2,95.77%,"263,717",810,"74,227",883710
30,Call of Duty®: Black Ops III,75.70%,"260,696","4,763","63,681",311210
31,FOR HONOR™,66.32%,"256,503","4,055","225,831",304390
32,Life is Strange - Episode 1,95.03%,"255,042",387,"18,260",319630
33,Call of Duty®: WWII,62.66%,"244,891",220,"19,406",476600
34,METAL GEAR SOLID V: THE PHANTOM PAIN,89.06%,"241,120","1,723","91,195",287700
35,FINAL FANTASY XV WINDOWS EDITION,80.15%,"240,939",566,"29,498",637650
36,Black Mesa,94.09%,"236,029",870,"7,158",362890
37,Shadow of the Tomb Raider: Definitive Edition,82.13%,"234,624","1,250","38,268",750920
38,Dying Light 2 Stay Human,-,"222,355",0,34,534380
39,Dishonored 2,85.14%,"219,057","1,650","22,411",403640
40,Devil May Cry 5,92.69%,"218,904",520,"88,894",601150
41,Subnautica: Below Zero,89.94%,"216,187","1,704","42,115",848450
42,Mad Max,89.84%,"215,925",629,"33,356",234140
43,Middle-earth™: Shadow of Mordor™,90.70%,"215,473",529,"48,668",241930
44,Ori and the Blind Forest,93.70%,"213,863",111,"13,108",261570
45,Hades,97.40%,"211,213","5,856","37,749",1145360
46,BIOMUTANT,67.29%,"210,413",263,"55,048",597820
47,Half-Life: Alyx,96.82%,"207,624",603,"42,858",546560
48,DOOM Eternal,89.24%,"206,899","4,317","104,891",782330
49,DEATH STRANDING,91.89%,"202,696","1,215","32,515",1190460
50,Horizon Zero Dawn™ Complete Edition,81.45%,"195,641","3,080","56,557",1151640
51,HITMAN™,80.89%,"195,303",209,"51,650",236870
52,Firewatch,86.64%,"192,787",62,"17,568",383870
53,Resident Evil 7 Biohazard,92.68%,"191,836",529,"20,449",418370
54,Dragon's Dogma: Dark Arisen,87.84%,"189,412",715,"27,368",367500
55,The Solus Project,77.25%,"188,920",4,652,313630
56,DARK SOULS™ II: Scholar of the First Sin,85.01%,"185,308","2,833","12,106",335300
57,Mafia III: Definitive Edition,54.85%,"184,243",539,"47,822",360430
58,Hellblade: Senua's Sacrifice,89.88%,"183,286",125,"5,653",414340
59,The Talos Principle,93.53%,"180,221",146,"4,007",257510
60,Getting Over It with Bennett Foddy,81.08%,"177,602",416,"5,054",240720
61,Tomb Raider,95.16%,"175,016","1,062","89,538",203160
62,Subverse,80.55%,"174,461",56,"25,318",1034140
63,Assassin's Creed® Unity,71.33%,"172,839",293,"12,180",289650
64,STAR WARS Jedi: Fallen Order™,88.86%,"171,904",923,"46,550",1172380
65,Assassin's Creed® Syndicate,77.22%,"170,210",256,"4,729",368500
66,鬼谷八荒,86.35%,"170,182","1,420","184,171",1468810
67,Break the G̵amè̢̢͘,72.17%,"169,159",1,165,739540
68,The Outer Worlds,83.86%,"168,639","1,247","20,349",578650
69,TEKKEN 7,81.66%,"166,853","3,756","18,966",389730
70,DRAGON BALL FighterZ,88.11%,"166,488","3,325","44,303",678950
71,Outlast 2,88.52%,"165,571",193,"5,966",414700
72,Disco Elysium - The Final Cut,92.42%,"163,866","1,728","8,081",632470
73,NARUTO SHIPPUDEN: Ultimate Ninja STORM 4,88.75%,"162,979",932,"7,185",349040
74,GreedFall,77.26%,"162,378",325,"16,345",606880
75,Prey,88.44%,"161,647",636,"24,594",480490
76,INSIDE,94.26%,"161,351",71,"4,170",304430
77,Pillars of Eternity,85.98%,"158,922",750,"41,906",291650
78,ELEX,73.17%,"157,235",733,"22,969",411300
80,Little Nightmares,92.73%,"152,199",725,"78,169",424840
81,It Takes Two,93.70%,"151,273","1,978","21,567",1426210
82,A Plague Tale: Innocence,92.08%,"151,055",213,"4,058",752590
83,Vampyr,74.29%,"146,859",175,"16,120",427290
84,Deus Ex: Mankind Divided,72.84%,"146,537",528,"52,485",337000
85,Vampire: The Masquerade® - Bloodlines™ 2,-,"144,041",0,10,532790
86,Ori and the Will of the Wisps,94.75%,"142,463",458,"34,807",1057090
87,Batman™: Arkham Knight,79.91%,"142,276","1,140","27,406",208650
88,Resident Evil 3,75.82%,"141,564",311,"60,293",952060
89,Temtem,85.88%,"139,665",980,"39,572",745920
90,DRAGON BALL XENOVERSE 2,85.07%,"136,669",855,"19,416",454650
91,OCTOPATH TRAVELER™,83.84%,"135,832",256,"6,177",921570
92,Fallout: New Vegas,95.09%,"135,706","7,167","51,038",22380
93,Doki Doki Literature Club!,95.52%,"132,697",929,"7,402",698780
94,Tales of Zestiria,80.50%,"132,519",84,"9,696",351970
95,Divinity: Original Sin - Enhanced Edition,88.33%,"128,891",771,"7,565",373420
96,Far Cry 3,88.81%,"128,538",652,"23,065",220240
97,Portal,96.85%,"128,459",524,"20,672",400
98,Dawn of Man,84.96%,"127,454",845,"23,864",858810
99,Mirror,95.43%,"126,433",292,"7,565",644560
