,Name,Rating,Followers,Online,Peak,id
0,Skater XL - The Ultimate Skateboarding Game,83.93%,"37,532",534,"5,741",962730
1,Session: Skateboarding Sim Game,83.61%,"21,785",102,"1,356",861650
3,Pogostuck: Rage With Your Friends,81.13%,"3,358",121,674,688130
4,OlliOlli2: Welcome to Olliwood,78.61%,"2,507",1,118,365660
5,Tanuki Sunset,86.49%,"2,112",1,75,1251460
6,Wave Break,80.18%,"2,101",1,42,761010
7,The Ramp,89.71%,"1,823",9,110,1506510
8,OlliOlli,74.97%,"1,424",1,271,274250
9,BMX The Game,65.68%,"1,210",4,112,987150
10,VR Skater,80.01%,920,0,33,1285920
12,Skate City,74.81%,749,0,46,1361670
14,Griptape Backbone,86.46%,667,0,14,581120
15,RoboSkate,79.35%,403,0,18,1404530
16,Hover Skate VR,47.97%,401,0,7,566570
18,Crayola Scoot,68.78%,210,2,9,772530
19,Epic Skater 2,75.64%,192,0,5,879740
20,hoVRboard,80.51%,157,0,4,1081120
21,Urban Trial Tricky™ Deluxe Edition,52.78%,138,2,5,1380060
22,Skater Frog,82.72%,132,0,9,1127470
23,Rocket Skates VR,80.69%,130,0,11,1535200
25,AFTERGRINDER,68.59%,123,0,149,618310
26,Pixel Skater,-,117,0,5,699560
27,Longboard Stunts and Tricks,36.12%,100,0,3,838420
28,Magic Trick,76.34%,65,0,2,1394320
29,Planet Surf: The Last Wave,79.05%,53,0,4,1612030
30,Dr. Tacocat,62.51%,48,0,2,1114630
31,Hero Express,72.22%,43,0,3,1080630
32,Grind: Skateboarding,50.00%,41,0,2,1105710
33,Skateboarding pro,44.31%,28,0,2,908090
36,Hoverboard Chase,40.58%,12,0,2,1656890
37,Altidudes®,67.06%,10,0,1,1296550
