,Name,Rating,Followers,Online,Peak,id
0,Hunt: Showdown,81.16%,"396,304","12,373","32,698",594650
1,Darkest Dungeon®,89.51%,"302,542","3,992","19,357",262060
2,XCOM® 2,83.18%,"285,411","5,184","133,022",268500
3,Hades,97.40%,"211,213","5,633","37,749",1145360
4,Don't Starve,95.30%,"165,845","1,137","16,796",219740
5,Noita,93.65%,"120,960","1,785","5,239",881100
6,My Summer Car,91.47%,"90,992",682,"5,509",516750
7,State of Decay 2: Juggernaut Edition,77.17%,"89,835","1,598","19,211",495420
8,Mordheim: City of the Damned,68.78%,"79,481",162,"2,715",276810
9,Age of Wonders: Planetfall,77.82%,"76,367",481,"10,462",718850
10,Crypt of the NecroDancer,93.79%,"74,562",153,"2,282",247080
11,State of Decay: YOSE,78.04%,"70,361",123,"3,339",329430
12,Battle Brothers,85.84%,"59,292","1,115","8,060",365360
13,FTL: Faster Than Light,94.33%,"56,554","1,744","19,301",212680
14,Nuclear Throne,93.67%,"52,555",185,"1,213",242680
15,"Invisible, Inc.",88.61%,"51,866",55,"2,401",243970
16,The Binding of Isaac,93.86%,"51,467",190,"12,575",113200
17,XCOM: Enemy Unknown,92.74%,"49,346","1,119","70,568",200510
18,NECROPOLIS: BRUTAL EDITION,64.20%,"48,577",5,"5,148",384490
19,Risk of Rain,91.72%,"48,438",93,"5,462",248820
20,Dungeon of the ENDLESS™,85.72%,"47,502",87,"6,323",249050
21,Vagante,87.34%,"44,910",116,518,323220
22,Abandon Ship,72.27%,"43,687",2,734,551860
23,Magicite,82.96%,"42,588",22,"1,985",268750
24,Five Nights at Freddy's 2,89.88%,"42,566",41,"1,725",332800
25,Bomber Crew,85.82%,"41,480",73,"9,898",537800
26,Heat Signature,91.32%,"39,955",62,"3,877",268130
27,Bad North: Jotunn Edition,87.94%,"39,750",50,"1,136",688420
28,Othercide,79.94%,"39,162",42,"1,696",798490
29,Roguelands,77.90%,"38,525",22,"1,150",364420
30,Realm of the Mad God Exalt,83.13%,"38,390","2,284","10,051",200210
31,The Last Spell,88.27%,"37,210",330,"6,755",1105670
32,Tempest: Pirate Action RPG,68.42%,"35,647",14,"1,109",418180
33,ZOMBI,62.41%,"34,648",0,961,339230
34,NEO Scavenger,87.10%,"32,621",39,531,248860
35,Crying Suns,83.64%,"28,699",33,"1,479",873940
36,Spelunky,89.95%,"27,438",175,"2,919",239350
37,BELOW,68.64%,"26,896",6,765,250680
38,Ziggurat,83.39%,"25,869",10,809,308420
39,Urtuk: The Desolation,86.72%,"24,676",63,949,1181830
41,Delver,83.85%,"22,197",25,684,249630
42,Caves of Qud,91.98%,"22,141",226,"1,221",333640
43,Phoenix Point: Year One Edition,69.39%,"22,078",437,"4,993",839770
44,Spelunky 2,90.63%,"21,843",643,"9,702",418530
45,Crown Trick,84.06%,"21,836",28,"6,594",1000010
46,ScourgeBringer,87.06%,"20,567",14,380,1037020
47,MASSIVE CHALICE,69.69%,"20,491",4,697,246110
48,Subterrain,74.96%,"20,209",2,567,340490
49,Star Traders: Frontiers,83.30%,"20,167",103,"1,111",335620
50,RAD,72.96%,"18,937",7,580,722560
51,Dungeon Souls,72.32%,"17,221",3,327,383230
52,Tower Hunter: Erza's Trial,74.48%,"17,148",7,288,844850
53,Trials of Fire,84.48%,"16,327",36,"1,765",1038370
54,Caveblazers,84.39%,"16,326",81,723,452060
55,Phantom Abyss,82.25%,"15,828",41,"1,607",989440
56,Broken Lines,76.68%,"15,749",4,261,926580
57,Tales of Maj'Eyal,92.15%,"15,209",156,867,259680
