,Name,Rating,Followers,Online,Peak,id
0,PUBG: BATTLEGROUNDS,54.52%,"2,847,944","71,542","3,257,248",578080
1,Fall Guys: Ultimate Knockout,82.27%,"615,530","10,856","172,213",1097150
2,Z1 Battle Royale,55.26%,"517,234",61,"151,239",433850
3,Ring of Elysium,73.97%,"424,290",694,"63,435",755790
4,Hunt: Showdown,81.16%,"396,304","11,412","32,698",594650
5,NARAKA: BLADEPOINT,67.85%,"249,815","19,814","70,731",1203220
6,Apex Legends™,88.13%,"229,969","114,705","330,879",1172470
7,UNO,71.84%,"121,038",408,"5,639",470220
8,The Culling,56.80%,"117,629",1,"12,995",437220
9,Last Man Standing,60.52%,"83,988",0,"11,857",506540
10,Battlefield V,66.10%,"83,357","2,268","30,881",1238810
11,CRSED: F.O.A.D.,79.37%,"77,871",441,"12,266",884660
12,Realm Royale,73.47%,"74,910",886,"105,440",813820
13,Totally Accurate Battlegrounds,85.49%,"71,707","1,115","29,438",823130
14,Darwin Project,79.81%,"57,490",23,"12,513",544920
16,SOS,29.59%,"50,797",1,"2,606",619080
17,Fear The Wolves,51.21%,"45,676",0,611,819500
18,武侠乂 The Swordsmen X,48.34%,"44,269",1,"5,075",840140
19,Islands of Nyne: Battle Royale,50.87%,"41,316",2,"9,281",728540
20,Dying Light: Bad Blood,68.88%,"37,713",2,"1,374",766370
21,Z1 Battle Royale: Test Server,52.77%,"36,980",1,"8,554",439700
22,Crucible Beta,43.39%,"32,243",1,"25,145",1057240
23,Shadow Arena,55.48%,"31,786",30,"4,958",1226470
24,Heliborne Collection,72.43%,"31,117",24,"1,349",433530
25,BattleBeasts,31.31%,"30,750",1,46,830580
26,Super Animal Royale,92.58%,"29,258",735,"6,547",843380
27,Pandemic Express - Zombie Escape,57.93%,"28,978",4,897,939510
28,Battlerite Royale,71.50%,"28,724",40,"9,441",879160
29,VALHALL: Harbinger - Pre-Beta Testing,46.05%,"28,589",1,44,908740
30,Murder Miners,82.95%,"28,433",11,"1,769",274900
31,Spellbreak,82.85%,"27,868",443,"5,504",1399780
32,Hide Or Die,57.22%,"26,609",2,"1,314",731620
33,Scavengers,57.00%,"26,250",403,"16,787",1183940
34,Immortal Soul: Black Survival,79.38%,"23,586",112,"1,739",690510
35,Skyforge,58.37%,"22,764",115,"3,499",414530
36,PlanetSide Arena,45.16%,"22,087",0,"1,506",987350
38,Hunter's Arena: Legends,59.33%,"20,162",77,"1,079",1061100
39,九劫曲：诅咒之地 NINE TRIALS,60.10%,"19,967",3,"6,151",976800
40,Maelstrom,79.65%,"19,201",2,"1,327",764050
41,Radical Heights,59.93%,"18,260",0,"12,757",809960
42,Ironsight,71.54%,"16,768",471,"4,669",783770
43,Blazing Sails,85.41%,"16,453",75,"1,680",1158940
44,Battle Royale Trainer,57.47%,"15,867",4,"1,313",772540
45,Vampire: The Masquerade - Bloodhunt,-,"15,832",0,22,760160
46,Rapture Rejects,41.75%,"15,766",0,962,686600
47,Last Tide,62.77%,"15,217",0,998,858590
48,ANAREA Battle Royale,47.54%,"14,571",0,"5,547",1103950
49,Modern Combat 5,53.19%,"14,520",82,"1,097",921060
50,DEATH FIELD: The Battle Royale of Disaster,36.21%,"14,456",0,137,779610
52,Super Mecha Champions,68.32%,"12,817",514,"2,304",1368910
53,Creative Destruction,77.28%,"12,438",178,"6,330",893520
54,恐惧之间 Fear surrounds,85.77%,"12,429",480,"7,373",1526490
55,RUSSIA BATTLEGROUNDS,74.26%,"12,426",3,525,805940
56,Home Sweet Home : Survive,58.15%,"11,899",68,"5,565",1056600
57,Worms Rumble,68.48%,"11,833",16,767,1186040
58,Cyber Hunter,74.81%,"11,464",358,"1,994",1209040
59,Out of Reach: Treasure Royale,63.47%,"10,644",1,129,867400
60,STAND OUT : VR Battle Royale,71.11%,"9,873",4,147,748370
61,BattleRush,66.94%,"9,827",11,434,734580
62,King of Crabs,76.98%,"9,465",131,"1,876",1273710
63,Rules Of Survival,60.45%,"9,420",20,"7,484",788260
65,Rogue Company,69.99%,"8,876","3,357","12,189",872200
66,Not My Car – Battle Royale,46.42%,"8,860",2,735,694720
67,Egress,59.91%,"8,369",0,48,750800
68,Fractured Lands,52.97%,"8,195",0,183,751240
69,Bombergrounds: Battle Royale,88.20%,"7,026",103,"1,945",1104450
70,Geneshift,78.08%,"7,009",10,"214,143",308600
71,Combat Arms: Reloaded,55.05%,"6,914",67,531,905640
72,Stellar Warfare,74.38%,"6,724",9,115,1113030
74,天际起源 The Ark of Horizon,52.95%,"6,695",1,253,994200
75,Battle Royale Tycoon,68.22%,"6,671",2,75,851930
76,Soul Saber 2,58.55%,"6,644",0,41,581230
77,RAMS,54.59%,"6,584",0,8,809580
78,POPULATION: ONE,82.48%,"6,488",57,545,691260
79,Zula Türkiye,41.86%,"6,328",123,"3,041",714210
80,Magnificent 5,41.47%,"6,219",5,55,801220
81,PROXIMA UNIVERSE,-,"6,204",0,5,796530
82,Royal Crown,67.08%,"5,928",14,"5,442",1094710
83,Zeus' Battlegrounds,55.61%,"5,785",0,718,682290
84,九劫曲:诅咒之地 NineTrials Test Server,52.72%,"5,706",1,300,1012730
85,Down To One,39.59%,"5,663",0,266,334040
86,Taboos: Cracks,76.08%,"5,584",0,219,1060670
87,CODE2040,41.59%,"5,528",2,897,993870
88,Super Bomberman R Online,51.87%,"5,401",180,"6,906",1308380
89,Fatal Twelve,89.08%,"5,278",0,56,620210
91,Soldat 2,80.88%,"4,545",1,156,474220
92,Soulfire,70.59%,"4,243",1,579,822800
93,Spellsworn,83.94%,"4,172",7,"1,517",360620
94,P.A.S.,46.98%,"4,117",0,225,805110
95,War Blade,55.13%,"4,106",0,221,392040
96,GENSOU Skydrift,83.39%,"4,085",6,172,1065260
97,Bro Falls: Ultimate Showdown,74.87%,"3,865","1,200","1,954",1590320
98,墲人之境：探索 - 1V4古墓对决,79.82%,"3,777",1,"1,399",1242700
99,Zula Global,66.04%,"3,552",601,781,747610
