,Name,Rating,Followers,Online,Peak,id
0,Counter-Strike: Global Offensive,87.73%,"2,944,662","484,514","1,308,963",730
1,PUBG: BATTLEGROUNDS,54.52%,"2,847,944","88,206","3,257,248",578080
2,Dota 2,83.55%,"1,887,003","371,527","1,295,114",570
3,Rust,85.93%,"856,565","104,530","245,243",252490
4,Dying Light: Enhanced Edition,93.98%,"603,769","4,235","45,876",239140
5,DARK SOULS™ III,93.01%,"562,806","10,730","129,975",374320
6,Battlerite,83.09%,"526,206",340,"45,145",504370
7,Z1 Battle Royale,55.26%,"517,234",84,"151,239",433850
8,Destiny 2,84.10%,"498,711","43,718","292,513",1085660
9,DayZ,67.69%,"477,791","25,113","45,878",221100
10,Divinity: Original Sin 2 - Definitive Edition,94.75%,"455,425","8,264","93,701",435150
11,Counter-Strike: Source,94.77%,"435,159","3,739","100,056",240
12,Ring of Elysium,73.97%,"424,290",793,"63,435",755790
13,Hunt: Showdown,81.16%,"396,304","13,916","32,698",594650
14,Tom Clancy's Ghost Recon® Wildlands,76.83%,"394,459",968,"45,704",460930
15,Call of Duty®: Modern Warfare® 2,90.98%,"378,221",396,"22,614",10180
16,Chivalry: Medieval Warfare,81.24%,"367,886",181,"25,145",219640
17,Valheim,94.77%,"361,047","20,902","502,387",892970
18,War Thunder,78.91%,"337,799","21,504","63,406",236390
19,Paladins®,85.03%,"331,872","10,089","60,743",444090
20,World of Warships,80.32%,"321,709","5,583","379,096",552990
21,Sea of Thieves,89.02%,"296,832","12,359","66,906",1172620
22,SCUM,72.18%,"294,185","9,416","68,322",513710
23,Conan Exiles,77.48%,"277,541","9,184","53,402",440900
25,Among Us,92.14%,"273,036","10,127","447,476",945360
26,Insurgency,90.40%,"271,988",622,"121,575",222880
27,Minion Masters,90.06%,"265,476",845,"10,329",489520
28,Evolve Stage 2,67.03%,"263,159",16,"51,127",273350
29,Black Squad,75.99%,"260,757","1,126","15,939",550650
30,FOR HONOR™,66.32%,"256,503","3,759","225,831",304390
31,NARAKA: BLADEPOINT,67.75%,"249,815","20,996","70,731",1203220
32,Warface,67.77%,"247,197","2,068","13,867",291480
33,Hurtworld,75.07%,"243,334",257,"13,333",393420
34,Path of Exile,89.92%,"241,945","35,108","157,103",238960
35,SMITE®,79.66%,"230,829","17,145","31,169",386360
36,Apex Legends™,88.13%,"229,969","123,079","330,879",1172470
38,KurtzPel,62.65%,"214,588",363,"11,937",844870
39,PlanetSide 2,80.97%,"212,979","2,326","29,676",218230
40,Miscreated,66.36%,"206,747",189,"5,159",299740
