,Name,Rating,Followers,Online,Peak,id
0,Chaos Reborn,73.17%,"32,894",5,346,319050
1,Screeps: World,85.54%,"30,829",76,359,464350
2,"Warhammer 40,000: Regicide",67.41%,"29,073",1,516,322910
3,LET IT DIE,70.69%,"27,530",139,"1,939",794600
4,"Warhammer 40,000: Battlesector",85.88%,"22,631",472,"2,598",1295500
5,Order of Battle: World War II,73.20%,"17,299",294,"2,171",312450
6,Project CARS 3,53.67%,"15,664",116,"1,218",958400
7,Root,89.06%,"15,026",72,496,965580
8,Wingspan,90.95%,"14,995",277,855,1054490
9,Kind Words (lo fi chill beats to write to),94.79%,"13,403",27,362,1070710
10,Field of Glory II,83.80%,"10,757",32,309,660160
11,Euro Fishing,61.82%,"10,633",4,414,314520
12,GLADIABOTS - AI Combat Arena,85.96%,"10,585",10,284,871930
13,Clandestine,74.06%,"10,527",0,136,290530
14,Shadow Empire,80.74%,"10,506",67,608,1154840
15,Antihero,83.00%,"10,379",3,333,505640
16,Twilight Struggle,83.25%,"9,592",108,672,406290
17,Torque Drift,64.50%,"8,491",341,"1,264",1029550
19,Frozen Synapse 2,65.32%,"7,084",0,413,445020
20,Ticket to Ride,86.47%,"6,898",320,"2,164",108200
21,Frozen Synapse,79.24%,"6,527",2,"2,155",98200
22,Monstrum 2,62.37%,"5,981",3,406,1093170
23,TASTEE: Lethal Tactics,75.22%,"5,551",0,86,365190
24,Just Fishing,72.16%,"4,508",1,437,703950
25,Battle Worlds: Kronos,64.28%,"4,496",3,372,237470
26,Heroes of Normandie,67.06%,"4,470",1,235,365890
27,Skulls of the Shogun,84.14%,"4,290",5,402,228960
28,CONFLICT OF NATIONS: WORLD WAR 3,68.22%,"3,972",321,577,784950
29,Bro Falls: Ultimate Showdown,74.90%,"3,928","1,723","1,954",1590320
30,Small World,69.53%,"3,768",19,462,235620
31,Labyrinth,65.08%,"3,714",0,79,412310
32,MARVEL Puzzle Quest,67.95%,"3,644",416,"3,002",234330
34,Hell,47.88%,"2,817",0,30,312420
35,Space Food Truck,67.73%,"2,793",0,157,397390
36,Steam: Rails to Riches,72.83%,"2,790",1,37,595930
37,Star Realms,81.61%,"2,731",71,233,438140
38,Ogre,67.83%,"2,557",0,78,517780
39,Mirador,56.09%,"2,456",0,157,799350
40,Therian Saga,66.96%,"2,416",26,658,542480
41,Frozen Synapse Prime,60.60%,"2,402",0,226,328600
42,The Conquest of Go,82.14%,"2,215",5,91,1264970
43,Eight-Minute Empire,70.63%,"2,167",1,13,656590
44,Eclipse: New Dawn for the Galaxy,62.24%,"2,089",0,102,522030
45,Grimmwood Open Beta,65.78%,"1,971",0,214,850290
46,Battle of the Bulge,66.77%,"1,819",0,86,365560
47,Craftlands Workshoppe,68.26%,"1,811",1,65,1197820
48,Charterstone: Digital Edition,71.73%,"1,662",3,292,1046660
49,Mass Exodus Redux,72.58%,"1,491",1,26,566530
50,Hive,80.94%,"1,468",3,801,251210
51,Istanbul: Digital Edition,84.03%,"1,436",7,50,943410
52,MONOLISK,72.29%,"1,376",4,137,1454520
53,Drive on Moscow,72.16%,"1,305",0,26,520610
55,Khet 2.0,81.10%,"1,237",0,902,312720
56,Freemium Way,-,"1,198",0,2,504030
57,Battle for the Galaxy,48.26%,"1,188",15,226,716610
58,Brass: Birmingham,53.36%,"1,043",14,117,1287920
59,Hex Gambit,67.40%,"1,027",0,9,458040
60,Animated Puzzles,79.81%,918,3,14,379610
61,Cauldrons of War - Barbarossa,83.57%,897,3,21,1265220
64,Football Club Simulator - FCS #21,64.04%,771,4,35,324090
65,Lucid Trips,73.25%,718,0,18,389260
66,Hero Academy,66.21%,717,0,"1,785",209270
67,Feud,82.30%,689,0,21,863400
68,Clash of Chefs VR,71.95%,648,6,20,960040
69,Tsuro - The Game of The Path,82.84%,645,1,30,1397470
70,Cauldrons of War - Stalingrad,76.08%,596,1,20,1497230
71,Front Wars,51.86%,565,0,21,370160
72,Blight of the Immortals,60.38%,552,0,35,494220
75,Bot Land,66.42%,523,0,48,1119870
76,Warhammer Combat Cards,59.11%,467,79,111,1641990
77,Airline Manager 4,45.11%,427,186,199,1641650
78,Rockets are Super Hard,70.57%,393,0,6,675270
79,Beat Aim - Rhythm FPS Shooter,76.19%,392,2,15,1142220
80,Rocket Boots Mania,84.87%,391,0,7,942200
81,Steam Bandits: Outpost,50.51%,388,0,32,261350
82,Monstrum 2 Beta,53.06%,377,0,401,1452650
83,Epic Card Game,69.26%,362,2,54,590670
84,Farmer And Tree,78.91%,349,3,18,1387480
85,Gem Rush,73.19%,314,0,6,845860
86,Race.a.bit,66.60%,307,0,36,336030
87,Zombieland VR: Headshot Fever,76.97%,301,2,18,1296970
88,Spuds Unearthed,69.76%,301,0,7,909570
90,Magic Rampage,83.30%,295,5,7,704920
91,Hnefatafl,82.55%,291,0,8,1249510
92,Musclecar Online,59.66%,284,0,6,346440
93,Astraeus,68.15%,266,0,3,863280
94,T-Kara Puzzles,74.99%,233,1,23,423220
95,Super High Ball: Pinball Platformer,78.30%,229,0,5,719930
96,Dr. Derk's Mutant Battlegrounds,72.21%,222,0,19,1102370
99,Codename: Terranova,67.20%,200,0,9,1236670
