,Name,Rating,Followers,Online,Peak,id
0,Touhou Luna Nights,94.90%,"45,568",45,"1,368",851100
1,永远消失的幻想乡 ～ The Disappearing of Gensokyo,82.38%,"35,894",10,934,776490
2,Gensokyo Night Festival,86.08%,"23,095",8,"1,333",1122050
3,Touhou Tenkuushou ~ Hidden Star in Four Seasons.,94.82%,"22,749",10,649,745880
4,Touhou Genso Wanderer -Reloaded-,89.56%,"17,833",62,"1,183",931500
5,東方憑依華　～ Antinomy of Common Flowers.,86.01%,"16,259",12,"1,463",716710
6,Touhou Big Big Battle,78.26%,"12,916",47,954,878380
7,Touhou: Scarlet Curiosity | 東方紅輝心,87.58%,"10,612",5,164,845880
9,Re-Legion,56.96%,"7,905",1,253,782140
10,Touhou Mystia's Izakaya,92.95%,"7,881",88,664,1584090
11,Remyadry,82.28%,"6,759",1,291,867490
12,Touhou Blooming Chaos 2,91.24%,"5,997",81,530,1260810
13,東方幕華祭 TouHou Makuka Sai ~ Fantastic Danmaku Festival,91.41%,"5,500",11,87,882710
14,Touhou Ibunseki - Ayaria Dawn: ReCreation,82.01%,"5,343",14,486,1138100
15,Touhou Kikeijuu ~ Wily Beast and Weakest Creature.,91.24%,"5,239",18,387,1079160
16,TouHou Makuka Sai ~ Fantastic Danmaku Festival Part II,92.50%,"4,300",10,656,1031480
17,Touhou Kouryudou ~ Unconnected Marketeers.,92.31%,"4,274",49,"3,416",1566410
18,GENSOU Skydrift,83.39%,"4,085",12,172,1065260
19,Saint Kotar: The Yellow Mask,71.65%,"3,735",1,72,868770
20,Touhou Fantasia / 东方梦想曲,90.36%,"3,463",3,103,1010890
21,Touhou Mechanical Scrollery | 幻想討幻経,51.85%,"3,297",0,256,1222050
23,NitorInc.: Touhou Microgames!,-,"3,241",0,1,772260
24,东方试闻广纪 ~ Perfect Memento of Touhou Question,89.97%,"2,979",1,145,904740
25,TOUHOU SKY ARENA MATSURI CLIMAX,82.42%,"2,729",2,51,1086860
26,東方翠神廻廊 〜 Faith in the Goddess of Suwa.,70.16%,"2,664",1,51,1010850
27,Gun Wings,77.96%,"2,656",0,58,348240
28,变量 Variables,81.41%,"2,615",15,"1,541",1054800
29,Touhou Blooming Chaos,83.28%,"2,531",0,64,1124830
30,Touhou Kanjuden ~ Legacy of Lunatic Kingdom.,91.43%,"2,528",21,47,937580
31,Touhou Genso Wanderer -Lotus Labyrinth R-,75.46%,"2,364",29,655,1005120
32,Hifuu Nightmare Diary ~ Violet Detector.,70.23%,"2,171",1,167,924650
33,Tempest of the Heavens and Earth,83.63%,"2,127",1,52,994020
34,东方幻灵录~Touhou Hakanai Cards,82.03%,"2,022",6,245,1283960
35,TouHou Nil Soul,76.44%,"2,022",1,44,941300
36,祈風 Inorikaze,90.90%,"1,976",0,50,992740
37,月夜下的紅茶杯 ~ Blacktea With Moon,87.89%,"1,693",0,22,836490
38,MarisaLand Legacy,73.06%,"1,619",0,29,961510
39,Touhou Fuujinroku ~ Mountain of Faith.,91.68%,"1,579",19,81,1100140
40,Azure Reflections,78.01%,"1,429",0,29,928440
41,3rd eye,79.92%,"1,427",0,85,1131900
42,Touhou Shoujo Tale of Beautiful Memories / 東方少女綺想譚,83.92%,"1,357",2,43,1124060
43,神社的百合香 ~ Floral Aroma in the Shrine,88.50%,"1,349",0,20,925440
44,Gensokyo Defenders,83.10%,"1,316",1,58,1019920
45,Touhou Kikamu ~ Elegant Impermanence of Sakura,90.02%,"1,250",2,313,1252320
46,Touhou Kishinjou ~ Double Dealing Character.,89.93%,"1,234",7,21,1043240
48,Touhou Shinreibyou ~ Ten Desires.,87.06%,"1,161",5,21,1043230
49,Eden's Ritter - Paladins of Ecstasy,76.60%,"1,158",1,14,1127540
50,KAMIKO,79.20%,"1,135",1,12,1022480
51,Danmaku Amanojaku ~ Impossible Spell Card.,86.76%,"1,091",0,18,937570
52,Touhou Chireiden ~ Subterranean Animism.,87.69%,"1,032",12,48,1100150
53,东方栖霞园 ~ Blue devil in the Belvedere.,84.07%,"1,010",5,335,1365750
54,ENCODE,54.30%,938,0,9,1359520
55,[東方二次] Senran Meisuishu Tactics / 戦乱命萃酒タクティクス,70.68%,922,0,6,785750
56,RAIN Project - a touhou fangame,73.96%,877,0,17,810780
57,樱雪集～Yuyuko's Butterfly Dream,79.60%,865,0,31,765030
59,东方龙隐談 ~ Touhou Chaos of Black Loong,79.77%,858,0,41,915130
60,Sakuya Izayoi Gives You Advice And Dabs,93.10%,804,11,164,1232180
62,Touhou: Dreaming Butterfly | 东方蝶梦志,77.65%,786,0,12,941410
63,Touhou Seirensen ~ Undefined Fantastic Object.,86.20%,780,2,21,1100160
64,与雾雨魔理沙一起偷重要的东西 ~ Happy Stealing with Kirisame Marisa,83.93%,736,0,17,880490
66,子夜之章:历史的终局～MidNights of Desperado～,87.30%,659,2,23,1209770
68,Yousei Daisensou ~ Touhou Sangetsusei,85.20%,635,1,10,1100180
69,秘封旅行 ~ Secret Sealing Travel,89.63%,611,27,138,1176050
70,幻想四倍剣^2 悔悟棒の謎 / GensoYonbaiKen^2,81.11%,567,0,9,806720
71,東方幻夢箋 ~ Touhou Phantasm Dream,74.65%,565,0,22,1161930
72,Double Spoiler,80.92%,541,3,7,1100170
73,Marisa's Marvelous Magic Shop,66.34%,533,0,15,1144330
74,東方催狐譚 ～ Servants of Harvest Wish,87.42%,506,3,50,1351170
75,绽于枝垂樱下~Flowering Across the Hakugyokurou,85.40%,502,0,13,1063190
76,"Save Me, Sakuya-san!",87.37%,473,6,21,1639610
77,Eden's Ritter 1:2 - Priestess of Pleasure,79.39%,466,1,5,1566840
78,Oracle of Forgotten Testament,70.81%,459,0,6,786510
79,Touhou : Shooting Star | 東方流星譚,78.48%,458,0,11,1299420
80,Touhou Double Focus,69.36%,457,0,37,1270670
81,社稷终于幻想 ~ A Finality with Sheji,80.07%,451,0,11,992750
82,Jeanne at the Clock Tower,59.60%,450,1,6,1605130
83,亭上满月映西枝~The Forever Moon,84.96%,445,0,18,1327020
86,Cirno's Perfect Summer Vacation,74.37%,381,0,5,1211650
87,幻想异乡曲 Butterfly~Rin,76.92%,373,0,16,1094290
88,Lost Harem,45.45%,364,0,9,1540490
89,天风之光 ~ Touhou Fan of Destiny,21.01%,362,0,5,938940
91,CBT With Yuuka Kazami,90.74%,352,6,32,1430420
92,东方百问~TouHouAsked,78.21%,345,1,16,930840
93,Hate Free Heroes RPG 3.0 [Upgrading to 3D and Leaving Steam / Final Sale],70.84%,337,0,"1,474",514540
94,Unforgotten,73.57%,321,0,7,1294310
95,Gensokyo Rolling Force / 幻想郷ローリングフォース,46.68%,318,0,4,877590
96,秘封フラグメント,80.53%,315,3,39,1568880
97,東方逆妙乱 ~ Ephemeral Unnatural Balance,81.69%,312,0,6,834580
98,鬼王~Oni,67.65%,308,0,25,1447870
99,Religion inc God Simulator,62.05%,288,0,5,1388130
