,Name,Rating,Followers,Online,Peak,id
0,Descenders,91.14%,"22,498",370,"1,563",681280
1,Lonely Mountains: Downhill,87.69%,"12,639",16,230,711540
2,Pro Cycling Manager 2017,68.71%,"3,962",46,"3,355",525920
3,Pro Cycling Manager 2020,80.80%,"3,616",622,"2,884",1178400
4,Monster Energy Supercross - The Official Videogame,75.98%,"3,002",4,611,711750
5,Pro Cycling Manager 2019,76.30%,"2,957",214,"3,467",936140
6,Pro Cycling Manager 2016,62.50%,"2,706",36,"2,377",408760
7,Pro Cycling Manager 2018,69.36%,"2,462",147,"2,565",704230
8,Pro Cycling Manager 2015,58.85%,"2,398",34,"2,451",322850
9,Tennis Manager 2021,75.33%,"2,010",26,338,1433010
10,Pro Cycling Manager 2021,63.57%,"1,878","1,099","2,328",1453850
11,Tour de France 2020,73.55%,"1,061",33,191,1287590
12,Pro Cycling Manager 2014,63.97%,826,11,"1,198",255260
13,DUCATI - 90th Anniversary,65.66%,707,0,33,456780
14,Trials of Wilderness,68.80%,628,0,3,934180
15,Tour de France 2021,65.65%,449,52,162,1454050
17,The Cyclist: Tactics,81.66%,334,28,55,1237070
18,MTB Dirt,75.10%,154,2,9,1639730
19,Teenage Blob: Paperperson - The First Single,81.47%,94,0,3,1361240
20,WREN,59.42%,88,0,2,1101960
21,SOL Cycling,64.08%,56,0,5,1431340
22,Personal Gold: An Underdog Story,64.08%,55,0,1,503020
23,Athletics 3: Summer Sports,40.03%,53,0,8,1648580
25,Police Chase,37.49%,11,0,3,1370430
26,Baby Racer,-,9,0,1,1534040
