,Name,Rating,Followers,Online,Peak,id
0,UBOAT,77.35%,"103,850",627,"5,755",494840
1,Barotrauma,89.86%,"78,581","1,058","5,284",602960
2,Cold Waters,82.58%,"56,828",171,865,541210
3,Trailmakers,88.44%,"48,664",571,"2,132",585420
4,We Need To Go Deeper,83.83%,"25,710",51,879,307110
5,Wolfpack,87.41%,"23,692",22,384,490920
6,Diluvion: Resubmerged,62.33%,"15,044",4,621,446790
7,ICBM,86.86%,"9,590",35,700,1178220
9,IronWolf VR,90.68%,"6,557",5,45,552080
10,Silent Hunter® III,82.85%,"5,858",76,237,15210
11,Silent Hunter 5®: Battle of the Atlantic,44.27%,"5,607",36,394,48110
12,Dieselpunk Wars,68.72%,"4,530",2,51,952240
13,KURSK,47.06%,"3,671",5,110,860620
14,Plasticalypse - Submarine Adventures,56.05%,"3,119",0,3,1252480
15,NavalArt,82.65%,"3,001",71,97,842780
16,The Fisherman - Fishing Planet,62.03%,"2,549",73,644,1072480
17,Silent Hunter®: Wolves of the Pacific,64.83%,"2,473",47,118,15200
19,NAVYFIELD,62.60%,"2,089",367,472,675560
20,Crash Dive,78.92%,"1,893",3,55,365260
21,Crush Depth: U-Boat Simulator,85.20%,"1,868",2,12,1530920
23,Silent Hunter®: Wolves of the Pacific U-Boat Missions,72.41%,"1,649",16,45,15240
24,Dangerous Waters,70.97%,"1,335",8,24,1600
26,Fleet Command,78.03%,968,9,37,2910
28,Crash Dive 2,83.33%,822,7,27,1449630
29,688(I) Hunter/Killer,70.33%,665,3,19,2900
30,Insiders,80.07%,664,0,8,1488860
31,Silent Depth 3D Submarine Simulation,50.00%,568,5,12,846050
32,Sub Command,69.26%,528,3,14,2920
34,Arden's Wake,73.63%,471,0,9,1550230
35,INFLUXIS,60.85%,459,0,8,1393830
37,Magnificent Ships: Volume 1,74.53%,454,0,3,557850
38,One Ping Only,83.03%,423,0,13,828030
39,Submorse,79.81%,411,0,12,912380
40,Silent Service 2,55.97%,397,1,12,329670
41,Tactics: Bludgeons Blessing,30.80%,326,0,2,517500
42,Retro Commander,-,285,0,1,338820
44,Depths of Sanity,78.30%,247,0,4,848080
45,Tactics 2: War,39.72%,239,0,3,707770
47,Silent Service,58.21%,237,0,3,329660
48,Magnificent Ships: Volume 2,68.15%,235,0,2,628450
50,SHIPS AT WAR,64.78%,189,0,6,1557420
52,Sea Bubble,84.22%,159,0,10,1103310
53,Submarine War,72.86%,157,1,5,1674440
55,"20,000 Miles Under the Sea",40.17%,100,0,14,1360620
57,Submarine Attack!,62.10%,69,1,3,1068910
59,Subterene,54.17%,59,0,2,1493950
61,S.U.B.,50.00%,43,0,3,765140
63,Discoveries of the Deep,-,33,0,1,1568430
64,Search for the Titanic,59.42%,31,0,1,1568450
69,Escape The Tank,59.42%,17,0,2,1444370
70,Big Fish,-,16,0,1,1689530
72,Pearls of the Oceans,59.42%,10,0,2,1580250
75,Fish Heads,-,9,0,1,1682870
77,Fish Glutton,-,9,0,1,1436450
