,Name,Rating,Followers,Online,Peak,id
0,Volcanoids,82.06%,"65,661",102,"1,722",951440
1,Mr. Prepper,80.00%,"57,631",231,"6,911",761830
2,War for the Overworld,83.21%,"50,084",101,"2,227",230190
3,while True: learn(),88.95%,"30,482",13,844,619150
4,Until We Die,76.97%,"18,173",154,"2,335",1197570
5,THE LONGING,88.82%,"17,682",71,"1,063",893850
6,Mr. Prepper: Prologue,81.54%,"17,570",28,"1,089",1340530
7,Paradise Lost,71.29%,"12,456",4,367,982720
9,Arx Fatalis,82.89%,"6,034",27,93,1700
10,The Falconeer,73.85%,"5,684",5,67,1135260
11,Mercury Fallen,78.22%,"5,048",5,122,704510
13,Escort Simulator,59.49%,"4,537",2,23,1347800
15,STATIONflow,81.69%,"4,134",9,306,1122120
16,墲人之境：探索 - 1V4古墓对决,79.82%,"3,777",6,"1,399",1242700
17,The Ice Caves,80.57%,"2,916",0,14,1339640
18,Deepest Chamber,67.92%,"2,790",8,110,1552080
19,Gem Deeps,68.15%,"2,534",0,2,1479830
20,Super Motherload,72.57%,"1,975",3,219,269110
21,Skeletal Avenger,81.42%,"1,907",2,39,1277500
22,CONCLUSE,72.45%,"1,743",1,63,826230
23,MetaMorph: Dungeon Creatures,55.50%,"1,449",0,968,606870
25,Subway Simulator,53.02%,"1,282",1,15,785660
26,Ergastulum: Dungeon Nightmares III,77.75%,"1,242",0,8,598430
27,Ayahuasca,76.68%,"1,235",0,11,1212940
28,Deep Despair,67.26%,"1,201",0,60,1241040
29,Tales From Off-Peak City Vol. 1,90.65%,"1,133",1,27,1129920
30,Hashiriya Drifter-Online Drift Racing Multiplayer (DRIFT/DRAG/RACING),69.06%,"1,127",14,132,1336560
31,Fossil Hunters,76.64%,"1,073",0,20,690150
32,Dragonpath,74.44%,"1,073",0,16,425820
33,Drawngeon: Dungeons of Ink and Paper,72.60%,"1,034",1,15,1000470
34,Egyptian Senet,72.79%,908,0,32,391580
35,The Commission 1920: Organized Crime Grand Strategy,69.36%,832,0,18,1330960
37,Object N,78.40%,766,1,50,1508030
38,Miasma Caves,71.52%,724,0,3,812190
39,MUSICUS!,79.89%,716,2,27,1418180
41,Underworld Idle,65.08%,669,492,755,1540960
43,Ayano the Exorcist,63.89%,635,0,10,1360290
44,Das Geisterschiff / The Ghost Ship,72.75%,632,0,4,975230
45,Sandmason,73.16%,582,0,12,350620
46,Promesa,77.54%,564,0,8,1345370
47,The Door in the Basement,73.89%,562,0,10,1436810
48,Myastere -Ruins of Deazniff-,62.10%,550,0,27,1557510
49,Miner: Dig Deep,79.28%,547,4,67,1441790
50,Nexoria: Dungeon Rogue Heroes,66.85%,535,0,6,932210
51,Eye of the Temple,-,531,0,1,589940
52,The 18th Floor,52.03%,501,0,8,855320
53,Tunnels of Despair,62.24%,458,0,16,635900
54,The Long Gate,74.41%,436,1,12,1147110
55,RITE,81.91%,416,0,21,1322650
56,Dead Dungeon,85.60%,412,0,12,751640
57,One More Dungeon 2,74.53%,410,0,13,1483100
58,The Emulator,54.48%,385,0,15,989490
59,The Lost Legends of Redwall™: Escape the Gloomer,79.39%,368,0,5,930630
60,Hyper Train Corporation,23.75%,361,0,10,867620
61,Path of Sacrifice,79.25%,359,5,18,1624830
62,Throne of Fate,68.75%,356,0,14,1403190
63,Dead Hand,65.93%,350,0,11,1117480
64,Miska's Cave,80.03%,342,2,33,1517830
65,Dynamite Jack,80.23%,327,1,80,202730
67,Molemen Must Die!,82.44%,314,0,45,602120
68,Torgar's Quest,65.93%,303,0,5,448810
69,As We Know It,71.52%,289,0,4,806490
71,DeMagnete VR,75.00%,286,0,6,995270
72,ChronoBreach,89.37%,273,0,28,971210
73,The Dwarves of Glistenveld,70.84%,269,0,5,805520
74,Dungeon Limbus,56.53%,267,0,33,1366520
75,Darkness Under My Bed,76.12%,262,1,9,1527880
76,No Parachute,83.01%,259,0,7,1575300
77,AMOK,42.65%,241,0,"1,470",446780
78,My Hole is a Mouth of Dirt,82.25%,238,0,14,1251690
79,Drugs and Crime Idle,65.95%,219,10,88,1481970
81,Caverns: Lost Sky,54.17%,210,0,3,863150
82,Rescue Operation,77.51%,198,0,8,1593490
83,Chunker,64.87%,194,0,7,1231670
84,holedown,80.48%,182,1,74,1268370
85,Terrene - An Evidence Of Life Game,78.11%,181,0,6,1472600
86,Dungeons Of The Deep,42.82%,178,0,3,1511850
88,The guard of dungeon,50.00%,173,1,801,601640
89,"A Fear Of Heights, And Other Things",75.14%,171,0,9,535460
91,AccidentHouse,72.20%,167,0,5,1351290
93,Carebotz,73.19%,162,0,6,1468240
94,Synthetic Hazard,55.17%,160,0,4,1440470
98,Cursed Gem,82.70%,143,2,9,1194480
99,BATTLESCAR: Punk Was Invented By Girls,47.89%,138,0,2,1367270
