,Name,Rating,Followers,Online,Peak,id
0,Stardew Valley,96.93%,"583,299","42,691","94,879",413150
1,My Time At Portia,91.04%,"176,524","1,845","13,299",666140
2,Farming Simulator 19,91.78%,"142,370","22,077","59,466",787860
3,Farming Simulator 17,91.05%,"118,489","1,126","32,313",447020
4,Forager,90.06%,"110,761",478,"13,438",751780
5,Graveyard Keeper,83.44%,"103,838","1,028","16,993",599140
6,Farming Simulator 15,88.88%,"80,388",269,"18,711",313160
7,Yonder: The Cloud Catcher Chronicles,79.30%,"66,752",16,"1,305",580200
8,Farm Together,91.61%,"62,516","1,309","3,671",673950
9,Staxel,77.10%,"47,129",64,"2,644",405710
10,Kynseed,84.56%,"46,270",36,433,758870
11,Ostriv,88.23%,"39,808",166,"1,148",773790
13,Grand Ages: Medieval,46.63%,"36,887",20,"4,274",310470
14,Littlewood,91.74%,"35,339",238,"1,678",894940
15,DYSMANTLE,89.22%,"35,094",165,"1,457",846770
16,Sakuna: Of Rice and Ruin,89.44%,"32,543",256,"7,043",1356670
17,CryoFall,76.50%,"28,629",203,"3,681",829590
18,Ooblets,-,"27,784",0,2,593150
19,Sun Haven,84.11%,"27,704",247,"1,626",1432860
20,Farmer's Dynasty,76.14%,"26,121",81,"1,044",678900
21,Stranded Sails - Explorers of the Cursed Islands,70.53%,"25,613",12,671,943260
22,STORY OF SEASONS: Friends of Mineral Town,90.98%,"25,273",412,"3,706",978780
23,Automation Empire,67.02%,"23,816",59,"4,721",1112790
24,Farm Manager 2021,72.76%,"21,140",176,"3,227",1123830
26,Autonauts,86.37%,"20,043",158,"3,598",979120
28,RPG MO,76.55%,"19,395",100,810,372800
29,Farm Manager 2018,69.30%,"19,126",137,"3,940",495560
30,Re:Legend,61.69%,"18,239",13,"2,589",823950
32,Viridi,88.93%,"15,139",22,"1,282",375950
33,Farming Simulator 2013 Titanium Edition,88.44%,"14,406",56,"4,639",220260
34,No Place Like Home,80.69%,"13,718",137,392,1472660
35,Garden Paws,87.04%,"13,472",63,340,840010
36,Wild Terra 2: New Lands,56.90%,"13,464",97,"1,530",1134700
37,Summer in Mara,74.27%,"13,147",29,"1,003",962580
38,Flower,80.50%,"12,821",10,171,966330
39,Professional Farmer: Cattle and Crops,71.93%,"12,175",31,"1,308",704030
41,Garden Story,82.58%,"12,021",194,334,1062140
43,Hundred Days - Winemaking Simulator,69.41%,"11,052",27,813,1042380
44,Farm Manager 2021: Prologue,73.11%,"10,418",21,748,1415410
45,Plantera,85.44%,"9,990",20,"1,937",421040
46,The Stillness of the Wind,69.76%,"9,686",4,99,828900
47,Pure Farming 2018,69.35%,"9,547",21,"1,890",534370
48,Harvest Moon: Light of Hope Special Edition,74.15%,"9,498",29,556,585900
50,EARTHLOCK,70.15%,"8,239",3,142,761030
51,Lawn Mowing Simulator,69.33%,"7,742",888,"2,108",1480560
52,World's Dawn,76.66%,"7,316",4,265,432010
53,Sumerians,80.20%,"7,146",3,158,1079510
54,Atomicrops,88.50%,"7,089",89,563,757320
55,Zompiercer,80.41%,"6,297",33,68,1262460
56,Circadian City,72.49%,"6,245",1,83,1045430
59,Farmer's Life,65.16%,"5,993",228,417,1137750
61,Fantasy Farming: Orange Season,84.35%,"5,288",3,30,416000
62,Voodoo Garden,72.69%,"5,142",3,158,502770
63,Mercury Fallen,78.22%,"5,048",4,122,704510
65,Harvest Life,50.69%,"4,932",1,25,649790
66,Real Farm,42.46%,"4,376",1,37,573680
68,Gleaner Heights,68.28%,"4,340",3,187,786580
69,Lemon Cake,84.48%,"4,303",9,218,1338330
70,Alchemy Garden,74.65%,"4,283",3,32,935400
71,Summer in Mara Prologue,82.71%,"4,250",5,205,1318420
73,Pumpkin Days,79.43%,"3,899",18,478,618850
74,Terroir,69.19%,"3,748",5,55,559910
75,Verdant Skies,77.98%,"3,716",1,59,730050
79,Vilmonic,70.13%,"3,254",1,11,458330
83,The Islander,68.32%,"3,103",1,35,715050
84,Warm Village 暖暖村物语,65.04%,"3,087",2,234,747850
85,PaperCraft,73.19%,"2,915",0,3,1543820
86,Alchemy Story,76.27%,"2,885",0,45,1040630
87,Farm for your Life,77.20%,"2,687",0,337,266390
88,Wild Season,38.81%,"2,678",0,52,328220
90,Luna's Fishing Garden,87.76%,"2,656",9,172,1477790
91,Desktop Farm,71.23%,"2,636",20,704,1357610
93,Farm Expert 2017,46.23%,"2,531",5,234,424590
95,Lumberjack Simulator,66.16%,"2,261",0,39,763100
96,Wasted World,73.71%,"1,950",1,59,1281390
97,Farmer's Fairy Tale,48.29%,"1,944",1,32,821820
98,Wilderness,38.82%,"1,869",0,22,1405180
99,XenoBloom,56.73%,"1,829",0,10,391440
